序号,单词,词性,中文释义,释义状态,自动检查,来源义项ID,补充说明
0054,adult,noun；adjective,noun. 成年人；成年动物；adjective. 成年的；成人的,AI初稿完成,通过,adult%5:00:00:mature:01|adult%1:18:00::,
0055,advance,noun；verb；adjective,noun. 前进；进步；预付款；verb. 前进；推进；促进；adjective. 预先的；先行的,AI初稿完成,通过,advance%1:11:00::|advance%1:11:01::|advance%1:21:00::,
0056,advantage,noun；verb,noun. 优势；有利条件；好处；verb. 使处于有利地位,AI初稿完成,通过,advantage%1:07:00::|advantage%1:07:01::|advantage%2:41:00::,
0057,adventure,noun；verb,noun. 冒险；奇遇；verb. 冒险,AI初稿完成,通过,adventure%1:04:00::|adventure%2:41:01::,
0058,advertise,verb,verb. 做广告；宣传；公布,AI初稿完成,通过,advertise%2:32:01::|advertise%2:32:00::,
0059,advertisement,noun,noun. 广告；启事,AI初稿完成,通过,advertisement%1:10:00::,
0060,advice,noun,noun. 建议；忠告,AI初稿完成,通过,advice%1:10:00::,
0061,advise,verb,verb. 建议；劝告；通知,AI初稿完成,通过,advise%2:32:00::|advise%2:32:01::|advise%2:32:02::,
0062,advocate,noun；verb,noun. 拥护者；倡导者；verb. 提倡；主张；拥护,AI初稿完成,通过,advocate%1:18:00::|advocate%2:32:00::|advocate%2:32:01::,
0063,affair,noun,noun. 事情；事务；事件；正式活动,AI初稿完成,通过,affair%1:09:00::|affair%1:11:00::,
0064,affect,verb,verb. 影响；使感动,AI初稿完成,通过,affect%2:30:00::|affect%2:37:00::,
0065,afford,verb,verb. 买得起；承担得起；提供,AI初稿完成,通过,afford%2:34:00::|afford%2:42:00::|afford%2:40:00::,
0066,afraid,adjective,adjective. 害怕的；担心的；不愿意的,AI初稿完成,通过,afraid%3:00:00::|afraid%5:00:02:concerned:00|afraid%5:00:00:disinclined:00,
0067,Africa,proper_noun,proper_noun. 非洲,AI初稿完成,通过,,通用地理专名；OEWN 无对应候选义项，未使用旧词表释义。
0068,African,adjective；noun,adjective. 非洲的；非洲人的；noun. 非洲人,AI初稿完成,通过,african%3:01:00::|african%1:18:00::,
0069,after,preposition；conjunction；adverb；adjective,preposition. 在……之后；在……后面；conjunction. 在……以后；adverb. 后来；以后；adjective. 后来的,AI初稿完成,通过,after%4:02:01::|after%4:02:00::,补充中学阶段常用介词和连词用法。
0070,afternoon,noun,noun. 下午；午后,AI初稿完成,通过,afternoon%1:28:00::|afternoon%1:10:00::,
0071,afterward,adverb,adverb. 后来；以后,AI初稿完成,通过,afterward%4:02:00::,
0072,again,adverb,adverb. 再一次；又；重新,AI初稿完成,通过,again%4:02:00::,
0073,against,preposition,preposition. 反对；倚靠；与……竞争；以……为背景；防备,AI初稿完成,通过,,按课标中的常用介词用法补充；OEWN 无对应候选义项。
0074,age,noun；verb,noun. 年龄；时代；时期；verb. 变老；使老化,AI初稿完成,通过,age%1:07:00::|age%1:28:00::|age%1:28:02::|age%2:30:00::,
0075,agency,noun,noun. 机构；代理处；政府部门,AI初稿完成,通过,agency%1:14:00::|agency%1:14:01::,
0076,agenda,noun,noun. 议程；待办事项,AI初稿完成,通过,agenda%1:09:00::|agenda%1:10:00::,
0077,ago,adverb,adverb. 以前；……之前,AI初稿完成,通过,ago%5:00:00:past:00|ago%4:02:00::,
0078,agree,verb,verb. 同意；赞成；一致；相符,AI初稿完成,通过,agree%2:32:00::|agree%2:32:01::|agree%2:42:00::,
0079,agreement,noun,noun. 协议；同意；一致,AI初稿完成,通过,agreement%1:10:01::|agreement%1:26:01::|agreement%1:09:00::,
0080,agriculture,noun,noun. 农业；农学,AI初稿完成,通过,agriculture%1:04:00::|agriculture%1:04:01::,
0081,ahead,adverb；adjective,adverb. 在前面；向前；提前；领先；adjective. 领先的,AI初稿完成,通过,ahead%4:02:00::|ahead%4:02:06::|ahead%4:02:02::|ahead%5:00:00:up:00,
0082,aid,noun；verb,noun. 帮助；援助；辅助物；verb. 帮助；援助,AI初稿完成,通过,aid%1:04:00::|aid%1:21:00::|aid%2:41:00::,
0083,aim,noun；verb,noun. 目标；目的；瞄准；verb. 瞄准；旨在；力求,AI初稿完成,通过,aim%1:09:00::|aim%1:09:01::|aim%1:04:00::|aim%2:33:00::|aim%2:31:01::,
0084,air,noun；verb,noun. 空气；空中；神态；广播；verb. 播出；晾晒；表达,AI初稿完成,通过,air%1:27:00::|air%1:15:00::|air%1:07:00::|air%1:10:02::,
0085,airline,noun,noun. 航空公司；航线,AI初稿完成,通过,airline%1:06:00::,
0086,airport,noun,noun. 机场；航空站,AI初稿完成,通过,airport%1:06:00::,
0087,alarm,noun；verb,noun. 惊恐；警报；闹钟；verb. 使惊恐；向……报警,AI初稿完成,通过,alarm%1:12:00::|alarm%1:06:00::|alarm%1:10:00::|alarm%2:37:00::|alarm%2:32:00::,
0088,alcohol,noun,noun. 酒精；含酒精饮料,AI初稿完成,通过,alcohol%1:13:00::|alcohol%1:27:00::,
0089,alive,adjective,adjective. 活着的；有活力的；意识到的,AI初稿完成,通过,alive%3:00:01::|alive%5:00:00:lively:00|alive%5:00:00:aware:00,
0090,all,determiner；pronoun；adverb,determiner. 所有的；全部的；pronoun. 全部；所有人或事物；adverb. 完全；全然,AI初稿完成,通过,all%3:00:00::|all%4:02:00::,将 OEWN 的量词形容词标签规范为中学语法中的限定词，并补充代词用法。
0091,allow,verb,verb. 允许；准许；使有可能；留出,AI初稿完成,通过,allow%2:41:00::|allow%2:32:00::|allow%2:42:00::,
0092,almost,adverb,adverb. 几乎；差不多,AI初稿完成,通过,almost%4:02:00::,
0093,alone,adjective；adverb,adjective. 独自的；单独的；adverb. 独自；仅仅,AI初稿完成,通过,alone%5:00:00:unaccompanied:00|alone%5:00:00:exclusive:00|alone%4:02:00::|alone%4:02:01::,
0094,along,preposition；adverb,preposition. 沿着；顺着；adverb. 向前；一起；沿着,AI初稿完成,通过,along%4:02:01::|along%4:02:00::|along%4:02:04::,补充中学阶段常用介词用法。
0095,alongside,preposition；adverb,preposition. 在……旁边；与……一起；adverb. 在旁边；并排地,AI初稿完成,通过,alongside%4:02:00::,补充中学阶段常用介词用法。
0096,aloud,adverb,adverb. 出声地；大声地,AI初稿完成,通过,aloud%4:02:00::|aloud%4:02:01::,
0097,already,adverb,adverb. 已经；早已,AI初稿完成,通过,already%4:02:00::,
0098,also,adverb,adverb. 也；而且；此外,AI初稿完成,通过,also%4:02:00::,
0099,alternative,noun；adjective,noun. 可供选择的事物；替代方案；adjective. 可替代的；供选择的；非传统的,AI初稿完成,通过,alternative%5:00:00:secondary:01|alternative%5:00:00:disjunctive:00|alternative%1:09:00::,
0100,although,conjunction,conjunction. 虽然；尽管；不过,AI初稿完成,通过,,按课标中的连词用法补充；OEWN 无对应候选义项。
0101,altogether,adverb,adverb. 完全；总共；总的说来,AI初稿完成,通过,altogether%4:02:04::|altogether%4:02:00::|altogether%4:02:03::,主动排除 OEWN 中非教学常用的名词义。
0102,always,adverb,adverb. 总是；一直；永远,AI初稿完成,通过,always%4:02:00::|always%4:02:01::,
0103,a.m.,noun；adverb,noun. 午夜至正午的时段；adverb. 上午；午前,AI初稿完成,通过,a.m.%1:28:02::|a.m.%4:02:03::,
0104,amateur,noun；adjective,noun. 业余爱好者；业余运动员；adjective. 业余的；不熟练的,AI初稿完成,通过,amateur%1:18:00::|amateur%1:18:01::|amateur%5:00:00:nonprofessional:00|amateur%5:00:01:unprofessional:00,
0105,amazing,adjective,adjective. 令人惊奇的；了不起的,AI初稿完成,通过,amazing%5:00:00:surprising:00|amazing%5:00:00:impressive:00,
0106,ambition,noun,noun. 抱负；雄心；渴望,AI初稿完成,通过,ambition%1:12:00::|ambition%1:07:00::,
0107,ambitious,adjective,adjective. 有抱负的；雄心勃勃的；要求高的,AI初稿完成,通过,ambitious%3:00:00::|ambitious%5:00:00:difficult:00,
0108,ambulance,noun,noun. 救护车,AI初稿完成,通过,ambulance%1:06:00::,
0109,America,proper_noun,proper_noun. 美国；美洲,AI初稿完成,通过,,通用国家和洲名；OEWN 无对应候选义项，未使用旧词表释义。
0110,American,adjective；noun,adjective. 美国的；美洲的；noun. 美国人；美洲人,AI初稿完成,通过,american%3:01:01::|american%3:01:00::|american%1:18:00::|american%1:18:01::,
0111,among,preposition,preposition. 在……之中；在……之间；为……所共有,AI初稿完成,通过,,按课标中的常用介词用法补充；OEWN 无对应候选义项。
0112,amount,noun；verb,noun. 数量；数额；总数；verb. 总计；等同于,AI初稿完成,通过,amount%1:03:00::|amount%1:21:00::|amount%2:42:01::|amount%2:42:03::,
0113,amuse,verb,verb. 逗乐；使娱乐,AI初稿完成,通过,amuse%2:41:00::|amuse%2:32:00::,
0114,analyse,verb,verb. 分析；分解研究,AI初稿完成,通过,analyse%2:31:00::|analyse%2:31:04::,
0115,ancestor,noun,noun. 祖先；祖宗,AI初稿完成,通过,ancestor%1:18:00::,
0116,ancient,adjective；noun,adjective. 古代的；古老的；noun. 古人,AI初稿完成,通过,ancient%5:00:00:past:00|ancient%5:00:00:old:02|ancient%1:18:00::,
0117,and,conjunction,conjunction. 和；与；而且；然后,AI初稿完成,通过,,按课标中的并列连词用法补充；OEWN 无对应候选义项。
0118,anger,noun；verb,noun. 愤怒；怒气；verb. 使生气；发怒,AI初稿完成,通过,anger%1:12:00::|anger%1:26:00::|anger%2:37:00::|anger%2:37:01::,
0119,angle,noun；verb,noun. 角；角度；观点；verb. 使成角度；斜移,AI初稿完成,通过,angle%1:25:00::|angle%1:09:00::|angle%2:38:01::|angle%2:38:00::,
0120,angry,adjective,adjective. 生气的；愤怒的,AI初稿完成,通过,angry%3:00:00::,
0121,animal,noun；adjective,noun. 动物；adjective. 动物的；肉体的,AI初稿完成,通过,animal%1:03:00::|animal%5:00:00:physical:00,
0122,ankle,noun,noun. 脚踝；踝关节,AI初稿完成,通过,ankle%1:08:00::,
0123,announce,verb,verb. 宣布；公布；播报,AI初稿完成,通过,announce%2:32:00::|announce%2:32:02::|announce%2:32:07::,
0124,annoy,verb,verb. 使恼怒；打扰,AI初稿完成,通过,annoy%2:37:00::,
0125,annual,adjective；noun,adjective. 每年的；年度的；noun. 年刊；一年生植物,AI初稿完成,通过,annual%5:00:00:periodic:00|annual%1:10:00::|annual%1:20:00::,
0126,another,determiner；pronoun,determiner. 又一；另一；另外的；pronoun. 另一个；又一个,AI初稿完成,通过,another%5:00:00:other:00,将 OEWN 的形容词标签规范为中学语法中的限定词和代词用法。
0127,answer,noun；verb,noun. 回答；答复；答案；verb. 回答；回应；符合需要,AI初稿完成,通过,answer%1:10:01::|answer%1:10:02::|answer%2:32:00::,
0128,ant,noun,noun. 蚂蚁,AI初稿完成,通过,ant%1:05:00::,
0129,anticipate,verb,verb. 预料；预期；提前处理；期待,AI初稿完成,通过,anticipate%2:31:00::|anticipate%2:41:00::|anticipate%2:37:00::,
0130,antique,noun；adjective,noun. 古董；adjective. 古老的；古董的,AI初稿完成,通过,antique%1:06:00::|antique%5:00:00:old:01|antique%5:00:01:old:01,
0131,anxiety,noun,noun. 焦虑；忧虑；渴望,AI初稿完成,通过,anxiety%1:12:00::|anxiety%1:26:00::,
0132,anxious,adjective,adjective. 焦虑的；担心的；渴望的,AI初稿完成,通过,anxious%5:00:00:troubled:00|anxious%5:00:00:eager:00,
0133,any,determiner；pronoun；adverb,determiner. 任何的；任一的；一些；pronoun. 任何一个；任何一些；adverb. 丝毫；多少,AI初稿完成,通过,any%5:00:00:some:00|any%4:02:00::,将 OEWN 的形容词标签规范为限定词，并补充分列的代词用法。
0134,anybody,pronoun,pronoun. 任何人；随便哪个人,AI初稿完成,通过,,按课标中的不定代词用法补充；OEWN 无对应候选义项。
0135,anyhow,adverb,adverb. 无论如何；不管怎样；以任何方式,AI初稿完成,通过,anyhow%4:02:00::|anyhow%4:02:01::,
0136,anyone,pronoun,pronoun. 任何人；任一人,AI初稿完成,通过,,按课标中的不定代词用法补充；OEWN 无对应候选义项。
0137,anything,pronoun,pronoun. 任何事物；任何事情,AI初稿完成,通过,,按课标中的不定代词用法补充；OEWN 无对应候选义项。
0138,anyway,adverb,adverb. 无论如何；不管怎样；反正,AI初稿完成,通过,anyway%4:02:00::|anyway%4:02:01::,
0139,anywhere,adverb,adverb. 在任何地方；到任何地方,AI初稿完成,通过,anywhere%4:02:00::,
0140,apart,adjective；adverb,adjective. 分开的；相隔的；adverb. 分开；相距；除外,AI初稿完成,通过,apart%5:00:00:unconnected:00|apart%4:02:03::|apart%4:02:01::,
0141,apartment,noun,noun. 公寓；一套住房,AI初稿完成,通过,apartment%1:06:00::,
0142,apologise,verb,verb. 道歉；辩解,AI初稿完成,通过,apologise%2:32:00::|apologise%2:32:01::,
0143,apparently,adverb,adverb. 看来；显然；据说,AI初稿完成,通过,apparently%4:02:00::|apparently%4:02:01::,
0144,appeal,noun；verb,noun. 呼吁；请求；吸引力；上诉；verb. 呼吁；请求；吸引；上诉,AI初稿完成,通过,appeal%1:10:00::|appeal%1:07:00::|appeal%1:04:00::|appeal%2:41:00::|appeal%2:32:00::,
0145,appear,verb,verb. 出现；显得；出版；登台,AI初稿完成,通过,appear%2:30:00::|appear%2:39:00::|appear%2:30:01::|appear%2:36:00::,
0146,appetite,noun,noun. 食欲；欲望,AI初稿完成,通过,appetite%1:12:00::,
0147,applaud,verb,verb. 鼓掌；称赞,AI初稿完成,通过,applaud%2:32:01::|applaud%2:32:00::,
0148,apple,noun,noun. 苹果；苹果树,AI初稿完成,通过,apple%1:13:00::|apple%1:20:00::,
0149,applicant,noun,noun. 申请人,AI初稿完成,通过,applicant%1:18:00::,
0150,application,noun,noun. 申请；申请书；应用；应用程序；用功,AI初稿完成,通过,application%1:10:00::|application%1:04:02::|application%1:10:01::|application%1:04:01::,
0151,apply,verb,verb. 申请；应用；适用；涂抹,AI初稿完成,通过,apply%2:32:00::|apply%2:34:00::|apply%2:42:00::|apply%2:35:00::,
0152,appointment,noun,noun. 约会；预约；任命；职位,AI初稿完成,通过,appointment%1:14:00::|appointment%1:04:00::|appointment%1:04:01::,
0153,appreciate,verb,verb. 欣赏；感激；理解；升值,AI初稿完成,通过,appreciate%2:37:00::|appreciate%2:31:00::|appreciate%2:30:00::,
0154,approach,noun；verb,noun. 方法；靠近；通道；verb. 接近；着手处理；与……接洽,AI初稿完成,通过,approach%1:04:02::|approach%1:04:00::|approach%1:06:00::,OEWN 候选义项支持名词核心义；补充与其对应的常用动词用法。
0155,appropriate,adjective；verb,adjective. 合适的；恰当的；verb. 拨出；占用,AI初稿完成,通过,appropriate%3:00:00::|appropriate%5:00:01:fit:02|appropriate%2:31:00::|appropriate%2:40:00::,
0156,approve,verb,verb. 赞成；批准；认可,AI初稿完成,通过,approve%2:32:00::|approve%2:31:00::,
0157,April,proper_noun,proper_noun. 四月,AI初稿完成,通过,april%1:28:00::,按月份专名规范展示词性。
0158,arch,noun；verb；adjective,noun. 拱；拱形结构；verb. 使成拱形；呈弧形；adjective. 调皮的；傲慢的,AI初稿完成,通过,arch%1:25:00::|arch%1:06:00::|arch%5:00:00:playful:00|arch%5:00:00:superior:01,OEWN 候选支持名词和形容词义；补充对应的常用动词用法。
0159,architect,noun,noun. 建筑师；设计者,AI初稿完成,通过,architect%1:18:00::,
0160,area,noun,noun. 地区；区域；领域；面积,AI初稿完成,通过,area%1:15:01::|area%1:09:00::|area%1:06:00::|area%1:07:00::,
0161,argue,verb,verb. 争论；争辩；主张；表明,AI初稿完成,通过,argue%2:32:00::|argue%2:32:02::|argue%2:32:01::,
0162,arise,verb,verb. 出现；产生；起身；由……引起,AI初稿完成,通过,arise%2:42:00::|arise%2:42:01::|arise%2:38:00::|arise%2:30:00::,
0163,arm,noun；verb,noun. 手臂；扶手；武器；部门；verb. 武装；装备,AI初稿完成,通过,arm%1:08:00::|arm%1:06:02::|arm%1:06:01::|arm%1:14:00::,OEWN 候选支持名词核心义；补充其常用动词用法。
0164,army,noun,noun. 陆军；军队；大批人群,AI初稿完成,通过,army%1:14:00::|army%1:14:01::,
0165,around,preposition；adverb,preposition. 围绕；在……附近；到处；adverb. 在周围；大约；到处,AI初稿完成,通过,around%4:02:01::|around%4:02:04::|around%4:02:06::|around%4:02:03::,补充中学阶段常用介词用法。
0166,arrangement,noun,noun. 安排；布置；约定；编曲,AI初稿完成,通过,arrangement%1:09:01::|arrangement%1:14:00::|arrangement%1:10:00::,
0167,arrest,noun；verb,noun. 逮捕；停止；verb. 逮捕；制止；吸引,AI初稿完成,通过,arrest%1:04:00::|arrest%1:26:00::|arrest%2:35:00::|arrest%2:33:00::|arrest%2:35:01::,
0168,arrive,verb,verb. 到达；取得成功,AI初稿完成,通过,arrive%2:38:00::|arrive%2:41:00::,
0169,arrow,noun,noun. 箭；箭头符号,AI初稿完成,通过,arrow%1:06:00::|arrow%1:10:00::,
0170,art,noun,noun. 艺术；美术；技艺,AI初稿完成,通过,art%1:06:00::|art%1:04:00::|art%1:09:00::,
0171,article,noun,noun. 文章；物品；条款；冠词,AI初稿完成,通过,article%1:10:00::|article%1:03:00::|article%1:10:02::|article%1:10:01::,
0172,artificial,adjective,adjective. 人工的；人造的；不自然的,AI初稿完成,通过,artificial%3:00:00::|artificial%5:00:00:affected:01,
0173,artist,noun,noun. 艺术家；美术家,AI初稿完成,通过,artist%1:18:00::,
0174,as,conjunction；preposition；adverb,conjunction. 当……时；因为；正如；尽管；preposition. 作为；像；adverb. 同样地；和……一样,AI初稿完成,通过,as%4:02:00::,补充课标中常用的连词和介词用法；OEWN 候选仅覆盖程度副词义。
0175,ashamed,adjective,adjective. 羞愧的；惭愧的,AI初稿完成,通过,ashamed%3:00:00::,
0176,Asia,proper_noun,proper_noun. 亚洲,AI初稿完成,通过,asia%1:14:00::,按洲名专名规范展示词性。
0177,Asian,adjective；noun,adjective. 亚洲的；亚洲人的；noun. 亚洲人,AI初稿完成,通过,asian%3:01:00::|asian%1:18:00::,
0178,aside,noun；adverb,noun. 旁白；题外话；adverb. 在一旁；撇开；留出,AI初稿完成,通过,aside%1:10:00::|aside%1:10:01::|aside%4:02:00::|aside%4:02:04::,
0179,ask,verb,verb. 问；请求；要求；邀请,AI初稿完成,通过,ask%2:32:02::|ask%2:32:01::|ask%2:42:00::|ask%2:41:00::,
0180,asleep,adjective；adverb,adjective. 睡着的；adverb. 进入睡眠状态,AI初稿完成,通过,asleep%3:00:00::|asleep%4:02:00::,
0181,aspect,noun,noun. 方面；特征；外观；（语法）体,AI初稿完成,通过,aspect%1:09:00::|aspect%1:07:02::|aspect%1:07:01::|aspect%1:24:00::,
0182,assess,verb,verb. 评估；评价；估算,AI初稿完成,通过,assess%2:31:00::|assess%2:31:01::,
0183,assign,verb,verb. 分配；指派；指定；归因于,AI初稿完成,通过,assign%2:41:00::|assign%2:40:01::|assign%2:31:00::|assign%2:31:02::,
0184,assistant,noun；adjective,noun. 助手；助理；adjective. 助理的；辅助的,AI初稿完成,通过,assistant%1:18:00::|assistant%5:00:00:subordinate:01,
0185,association,noun,noun. 协会；联合；联系；联想,AI初稿完成,通过,association%1:14:00::|association%1:04:00::|association%1:26:00::|association%1:09:00::,
0186,assume,verb,verb. 假定；认为；承担；呈现,AI初稿完成,通过,assume%2:31:00::|assume%2:41:00::|assume%2:30:00::,
0187,assumption,noun,noun. 假定；假设；承担；取得,AI初稿完成,通过,assumption%1:10:00::|assumption%1:09:00::|assumption%1:04:01::,
0188,astonish,verb,verb. 使惊讶；使震惊,AI初稿完成,通过,astonish%2:31:00::,
0189,astronaut,noun,noun. 宇航员；航天员,AI初稿完成,通过,astronaut%1:18:00::,
0190,astronomer,noun,noun. 天文学家,AI初稿完成,通过,astronomer%1:18:00::,
0191,at,preposition,preposition. 在；于；向；以；按照……速度,AI初稿完成,通过,,按课标中的常用介词用法补充；OEWN 候选是老挝计量单位的生僻名词义，未采用。
0192,athlete,noun,noun. 运动员；体育健儿,AI初稿完成,通过,athlete%1:18:00::,
0193,Atlantic,proper_noun；adjective,proper_noun. 大西洋；adjective. 大西洋的,AI初稿完成,通过,atlantic%3:01:00::,补充通用海洋专名的名词用法。
0194,atmosphere,noun,noun. 大气；大气层；气氛；环境,AI初稿完成,通过,atmosphere%1:15:00::|atmosphere%1:17:00::|atmosphere%1:26:01::|atmosphere%1:07:00::,
