token,earliest_level,document_levels,source_ids,source_entry_count,source_entries
absorb,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,absorb absorption || absorb**
absorption,cet4,cet4,cet-english-2016-revised-word-list,1,absorb absorption
abstract,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,abstract || abstract**
absurd,cet6,cet6,cet-english-2016-revised-word-list,1,★ absurd absurdity
absurdity,cet6,cet6,cet-english-2016-revised-word-list,1,★ absurd absurdity
abundance,cet4,cet4,cet-english-2016-revised-word-list,1,abundant abundance
abundant,cet4,cet4,cet-english-2016-revised-word-list,1,abundant abundance
abuse,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,abuse abusive || abuse**
abusive,cet4,cet4,cet-english-2016-revised-word-list,1,abuse abusive
academic,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,academic** || academy academic academician
academician,cet4,cet4,cet-english-2016-revised-word-list,1,academy academic academician
academy,cet4,cet4,cet-english-2016-revised-word-list,1,academy academic academician
accelerate,cet4,cet4,cet-english-2016-revised-word-list,1,accelerate acceleration
acceleration,cet4,cet4,cet-english-2016-revised-word-list,1,accelerate acceleration
accent,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,accent || accent**
accept,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,accept || accept acceptance acceptable
acceptable,cet4,cet4,cet-english-2016-revised-word-list,1,accept acceptance acceptable
acceptance,cet4,cet4,cet-english-2016-revised-word-list,1,accept acceptance acceptable
access,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,access accessible || access**
accessible,cet4,cet4,cet-english-2016-revised-word-list,1,access accessible
accessory,cet6,cet6,cet-english-2016-revised-word-list,1,★ accessory
accident,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,accident || accident accidental
accidental,cet4,cet4,cet-english-2016-revised-word-list,1,accident accidental
acclaim,cet6,cet6,cet-english-2016-revised-word-list,1,★ acclaim
accommodate,cet4,cet4,cet-english-2016-revised-word-list,1,accommodate accommodation
accommodation,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,accommodate accommodation || accommodation**
accompany,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,accompany || accompany**
accomplish,cet4,cet4,cet-english-2016-revised-word-list,1,accomplish accomplishment
accomplishment,cet4,cet4,cet-english-2016-revised-word-list,1,accomplish accomplishment
accord,cet4,cet4,cet-english-2016-revised-word-list,1,accord
accordance,cet4,cet4,cet-english-2016-revised-word-list,1,accordance
according,junior,junior,moe-hs-english-2017-2025-appendix-2,1,according (to)
accordingly,cet4,cet4,cet-english-2016-revised-word-list,1,accordingly
accordingto,cet4,cet4,cet-english-2016-revised-word-list,1,accordingto
account,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,account || account accounting accountant accountancy
accountability,cet4,cet4,cet-english-2016-revised-word-list,1,accountable accountability
accountable,cet4,cet4,cet-english-2016-revised-word-list,1,accountable accountability
accountancy,cet4,cet4,cet-english-2016-revised-word-list,1,account accounting accountant accountancy
accountant,cet4,cet4,cet-english-2016-revised-word-list,1,account accounting accountant accountancy
accounting,cet4,cet4,cet-english-2016-revised-word-list,1,account accounting accountant accountancy
accumulate,cet4,cet4,cet-english-2016-revised-word-list,1,accumulate accumulation accumulative
accumulation,cet4,cet4,cet-english-2016-revised-word-list,1,accumulate accumulation accumulative
accumulative,cet4,cet4,cet-english-2016-revised-word-list,1,accumulate accumulation accumulative
accuracy,cet4,cet4,cet-english-2016-revised-word-list,1,accurate accuracy
accurate,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,accurate accuracy || accurate**
accusation,cet4,cet4,cet-english-2016-revised-word-list,1,accuse accusation
accuse,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,accuse accusation || accuse**
accustom,cet4,cet4,cet-english-2016-revised-word-list,1,accustom accustomed
accustomed,cet4,cet4,cet-english-2016-revised-word-list,1,accustom accustomed
ace,cet4,cet4,cet-english-2016-revised-word-list,1,ace
ache,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,ache
achieve,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,achieve || achieve achievement
achievement,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,achieve achievement || achievement*
acid,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,acid acidity || acid**
acidity,cet4,cet4,cet-english-2016-revised-word-list,1,acid acidity
acknowledge,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,acknowledge acknowledgement || acknowledge**
acknowledgement,cet4,cet4,cet-english-2016-revised-word-list,1,acknowledge acknowledgement
acquaint,cet4,cet4,cet-english-2016-revised-word-list,1,acquaint acquaintance
acquaintance,cet4,cet4,cet-english-2016-revised-word-list,1,acquaint acquaintance
acquire,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,acquire acquisition || acquire*
acquisition,cet4,cet4,cet-english-2016-revised-word-list,1,acquire acquisition
acre,cet4,cet4,cet-english-2016-revised-word-list,1,acre
across,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,across
act,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,act || act action acting
acting,cet4,cet4,cet-english-2016-revised-word-list,1,act action acting
action,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,act action acting || action
activate,cet6,cet6,cet-english-2016-revised-word-list,1,★ activate
active,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,active || active activity activist
activist,cet4,cet4,cet-english-2016-revised-word-list,1,active activity activist
activity,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,active activity activist || activity
actor,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,actor actress || actor/actress
actress,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,actor actress || actor/actress
actual,cet4,cet4,cet-english-2016-revised-word-list,1,actual actually
actually,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,actual actually || actually
acupuncture,cet6,cet6,cet-english-2016-revised-word-list,1,★ acupuncture
acute,cet4,cet4,cet-english-2016-revised-word-list,1,acute
ad,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,ad (=advertisement) || advertise advertisement/ad advertising
adapt,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,adapt adaptation adaptive || adapt*
adaptation,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,adapt adaptation adaptive || adaptation**
adaptive,cet4,cet4,cet-english-2016-revised-word-list,1,adapt adaptation adaptive
add,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,add || add addition additional
addict,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,addict addiction addictive || addict*
addiction,cet4,cet4,cet-english-2016-revised-word-list,1,addict addiction addictive
addictive,cet4,cet4,cet-english-2016-revised-word-list,1,addict addiction addictive
addition,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,add addition additional || addition*
additional,cet4,cet4,cet-english-2016-revised-word-list,1,add addition additional
address,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,address
adequacy,cet4,cet4,cet-english-2016-revised-word-list,1,adequate adequacy adequately
adequate,cet4,cet4,cet-english-2016-revised-word-list,1,adequate adequacy adequately
adequately,cet4,cet4,cet-english-2016-revised-word-list,1,adequate adequacy adequately
adhere,cet6,cet6,cet-english-2016-revised-word-list,1,★ adhere adherence
adherence,cet6,cet6,cet-english-2016-revised-word-list,1,★ adhere adherence
adjacent,cet6,cet6,cet-english-2016-revised-word-list,1,★ adjacent
adjective,cet4,cet4,cet-english-2016-revised-word-list,1,adjective
adjust,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,adjust adjustment || adjust**
adjustment,cet4,cet4,cet-english-2016-revised-word-list,1,adjust adjustment
administer,cet4,cet4,cet-english-2016-revised-word-list,1,administer/administrate administration administrative
administrate,cet4,cet4,cet-english-2016-revised-word-list,1,administer/administrate administration administrative
administration,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,administer/administrate administration administrative || administration**
administrative,cet4,cet4,cet-english-2016-revised-word-list,1,administer/administrate administration administrative
admirable,cet4,cet4,cet-english-2016-revised-word-list,1,admire admiration admirable
admiration,cet4,cet4,cet-english-2016-revised-word-list,1,admire admiration admirable
admire,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,admire || admire admiration admirable
admission,cet4,cet4,cet-english-2016-revised-word-list,1,admit admission admittance admittedly
admit,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,admit admission admittance admittedly || admit*
admittance,cet4,cet4,cet-english-2016-revised-word-list,1,admit admission admittance admittedly
admittedly,cet4,cet4,cet-english-2016-revised-word-list,1,admit admission admittance admittedly
adolescence,cet6,cet6,cet-english-2016-revised-word-list,1,★ adolescent adolescence
adolescent,cet6,cet6,cet-english-2016-revised-word-list,1,★ adolescent adolescence
adopt,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,adopt adoption || adopt**
adoption,cet4,cet4,cet-english-2016-revised-word-list,1,adopt adoption
adorable,senior_high,senior_high|cet6,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,adorable** || ★ adore adorable
adore,cet6,cet6,cet-english-2016-revised-word-list,1,★ adore adorable
adult,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,adult || adult adulthood
adulthood,cet4,cet4,cet-english-2016-revised-word-list,1,adult adulthood
advance,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,advance advancement advanced || advance*
advanced,cet4,cet4,cet-english-2016-revised-word-list,1,advance advancement advanced
advancement,cet4,cet4,cet-english-2016-revised-word-list,1,advance advancement advanced
advantage,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,advantage || advantage advantageous
advantageous,cet4,cet4,cet-english-2016-revised-word-list,1,advantage advantageous
advent,cet6,cet6,cet-english-2016-revised-word-list,1,★ advent
adventure,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,adventure adventurer adventurous || adventure*
adventurer,cet4,cet4,cet-english-2016-revised-word-list,1,adventure adventurer adventurous
adventurous,cet4,cet4,cet-english-2016-revised-word-list,1,adventure adventurer adventurous
adverb,cet4,cet4,cet-english-2016-revised-word-list,1,adverb
adversary,cet6,cet6,cet-english-2016-revised-word-list,1,★ adversary
adverse,cet6,cet6,cet-english-2016-revised-word-list,1,★ adverse adversity
adversity,cet6,cet6,cet-english-2016-revised-word-list,1,★ adverse adversity
advertise,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,advertise advertisement/ad advertising || advertise**
advertisement,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,ad (=advertisement) || advertise advertisement/ad advertising
advertising,cet4,cet4,cet-english-2016-revised-word-list,1,advertise advertisement/ad advertising
advice,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,advice
advisable,cet4,cet4,cet-english-2016-revised-word-list,1,advise advisor/Ｇer advisory advisable
advise,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,advise || advise advisor/Ｇer advisory advisable
advisor,cet4,cet4,cet-english-2016-revised-word-list,1,advise advisor/Ｇer advisory advisable
advisory,cet4,cet4,cet-english-2016-revised-word-list,1,advise advisor/Ｇer advisory advisable
advocacy,cet4,cet4,cet-english-2016-revised-word-list,1,advocate advocacy
advocate,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,advocate advocacy || advocate**
aerial,cet4,cet4,cet-english-2016-revised-word-list,1,aerial
aeroplane,cet4,cet4,cet-english-2016-revised-word-list,1,airplane/aeroplane
aesthetic,cet6,cet6,cet-english-2016-revised-word-list,2,★ aesthetic aesthetics || ★ esthetic/aesthetic esthetics/aesthetics
aesthetics,cet6,cet6,cet-english-2016-revised-word-list,2,★ aesthetic aesthetics || ★ esthetic/aesthetic esthetics/aesthetics
affair,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,affair || affair*
affect,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,affect || affect**
affection,cet4,cet4,cet-english-2016-revised-word-list,1,affection affectionate
affectionate,cet4,cet4,cet-english-2016-revised-word-list,1,affection affectionate
affiliate,cet6,cet6,cet-english-2016-revised-word-list,1,★ affiliate affiliation
affiliation,cet6,cet6,cet-english-2016-revised-word-list,1,★ affiliate affiliation
affirm,cet6,cet6,cet-english-2016-revised-word-list,1,★ affirm affirmation affirmative
affirmation,cet6,cet6,cet-english-2016-revised-word-list,1,★ affirm affirmation affirmative
affirmative,cet6,cet6,cet-english-2016-revised-word-list,1,★ affirm affirmation affirmative
affix,cet6,cet6,cet-english-2016-revised-word-list,1,★ affix affixation
affixation,cet6,cet6,cet-english-2016-revised-word-list,1,★ affix affixation
affluence,cet4,cet4,cet-english-2016-revised-word-list,1,affluent affluence
affluent,cet4,cet4,cet-english-2016-revised-word-list,1,affluent affluence
afford,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,afford || afford affordable affordability
affordability,cet4,cet4,cet-english-2016-revised-word-list,1,afford affordable affordability
affordable,cet4,cet4,cet-english-2016-revised-word-list,1,afford affordable affordability
afloat,cet6,cet6,cet-english-2016-revised-word-list,1,★ afloat
afraid,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,afraid
africa,senior_high,senior_high,moe-hs-english-2017-2025-appendix-2,1,Africa*
after,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,after
aftermath,cet6,cet6,cet-english-2016-revised-word-list,1,★ aftermath
afternoon,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,afternoon
afterward,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,afterward(s) || afterward**
ag,cet4,cet4,cet-english-2016-revised-word-list,1,age aged ag(e)ing
again,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,again
against,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,against
age,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,age || age aged ag(e)ing
aged,cet4,cet4,cet-english-2016-revised-word-list,1,age aged ag(e)ing
agency,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,agency** || agent agency
agenda,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,agenda || agenda**
agent,cet4,cet4,cet-english-2016-revised-word-list,1,agent agency
aggravate,cet6,cet6,cet-english-2016-revised-word-list,1,★ aggravate aggravation
aggravation,cet6,cet6,cet-english-2016-revised-word-list,1,★ aggravate aggravation
aggregate,cet6,cet6,cet-english-2016-revised-word-list,1,★ aggregate
aggression,cet4,cet4,cet-english-2016-revised-word-list,1,aggressive aggression
aggressive,cet4,cet4,cet-english-2016-revised-word-list,1,aggressive aggression
agitate,cet6,cet6,cet-english-2016-revised-word-list,1,★ agitate agitation
agitation,cet6,cet6,cet-english-2016-revised-word-list,1,★ agitate agitation
ago,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,ago
agony,cet6,cet6,cet-english-2016-revised-word-list,1,★ agony
agree,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,agree || agree agreement agreeable
agreeable,cet4,cet4,cet-english-2016-revised-word-list,1,agree agreement agreeable
agreement,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,agree agreement agreeable || agreement*
agricultural,cet4,cet4,cet-english-2016-revised-word-list,1,agriculture agricultural
agriculture,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,agriculture agricultural || agriculture*
ahead,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,ahead
ai,junior,junior,moe-hs-english-2017-2025-appendix-2,1,AI (=artificial intelligence)
aid,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,aid
aide,cet6,cet6,cet-english-2016-revised-word-list,1,★ aide
aids,cet4,cet4,cet-english-2016-revised-word-list,1,AIDS
ail,cet6,cet6,cet-english-2016-revised-word-list,1,★ ail ailment
ailment,cet6,cet6,cet-english-2016-revised-word-list,1,★ ail ailment
aim,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,aim
air,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,air
airborne,cet6,cet6,cet-english-2016-revised-word-list,1,★ airborne
airconditioner,cet4,cet4,cet-english-2016-revised-word-list,1,airＧconditioning airＧconditioner
airconditioning,cet4,cet4,cet-english-2016-revised-word-list,1,airＧconditioning airＧconditioner
aircraft,cet4,cet4,cet-english-2016-revised-word-list,1,aircraft
airline,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,airline || airline**
airplane,cet4,cet4,cet-english-2016-revised-word-list,1,airplane/aeroplane
airport,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,airport
aisle,cet4,cet4,cet-english-2016-revised-word-list,1,aisle
akin,cet6,cet6,cet-english-2016-revised-word-list,1,★ akin
al,cet4,cet4|cet6,cet-english-2016-revised-word-list,9,alphabet alphabetic(al) || analyze/Ｇyse analysis analytic(al) analyst || electricity electric(al) electrician || irony ironic(al) ironically || symbol symbolic(al) || therapy therapist therapeutic(al) || ★ autobiography autobiographic(al) || ★ logistics logistic(al) || ★ symmetry symmetric(al)
alarm,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,alarm
album,cet4,cet4,cet-english-2016-revised-word-list,1,album
alcohol,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,alcohol alcoholic || alcohol**
alcoholic,cet4,cet4,cet-english-2016-revised-word-list,1,alcohol alcoholic
ale,cet6,cet6,cet-english-2016-revised-word-list,1,★ ale
alert,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,alert || alert**
algebra,cet4,cet4,cet-english-2016-revised-word-list,1,algebra
alien,cet6,cet6,cet-english-2016-revised-word-list,1,★ alien alienate alienation
alienate,cet6,cet6,cet-english-2016-revised-word-list,1,★ alien alienate alienation
alienation,cet6,cet6,cet-english-2016-revised-word-list,1,★ alien alienate alienation
align,cet6,cet6,cet-english-2016-revised-word-list,1,★ align alignment
alignment,cet6,cet6,cet-english-2016-revised-word-list,1,★ align alignment
alike,cet4,cet4,cet-english-2016-revised-word-list,1,alike
alive,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,alive
all,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,all
allegation,cet4,cet4,cet-english-2016-revised-word-list,1,allege allegation alleged allegedly
allege,cet4,cet4,cet-english-2016-revised-word-list,1,allege allegation alleged allegedly
alleged,cet4,cet4,cet-english-2016-revised-word-list,1,allege allegation alleged allegedly
allegedly,cet4,cet4,cet-english-2016-revised-word-list,1,allege allegation alleged allegedly
allergic,cet6,cet6,cet-english-2016-revised-word-list,1,★ allergic allergy
allergy,cet6,cet6,cet-english-2016-revised-word-list,1,★ allergic allergy
alleviate,cet6,cet6,cet-english-2016-revised-word-list,1,★ alleviate alleviation
alleviation,cet6,cet6,cet-english-2016-revised-word-list,1,★ alleviate alleviation
alley,cet4,cet4,cet-english-2016-revised-word-list,1,alley
alliance,cet4,cet4,cet-english-2016-revised-word-list,1,ally alliance
allocate,cet6,cet6,cet-english-2016-revised-word-list,1,★ allocate allocation
allocation,cet6,cet6,cet-english-2016-revised-word-list,1,★ allocate allocation
allot,cet6,cet6,cet-english-2016-revised-word-list,1,★ allot allotment
allotment,cet6,cet6,cet-english-2016-revised-word-list,1,★ allot allotment
allow,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,allow
allowance,cet4,cet4,cet-english-2016-revised-word-list,1,allowance
alloy,cet6,cet6,cet-english-2016-revised-word-list,1,★ alloy
allude,cet6,cet6,cet-english-2016-revised-word-list,1,★ allude allusion
allure,cet6,cet6,cet-english-2016-revised-word-list,1,★ allure allurement
allurement,cet6,cet6,cet-english-2016-revised-word-list,1,★ allure allurement
allusion,cet6,cet6,cet-english-2016-revised-word-list,1,★ allude allusion
ally,cet4,cet4,cet-english-2016-revised-word-list,1,ally alliance
almighty,cet6,cet6,cet-english-2016-revised-word-list,1,★ almighty
almost,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,almost
aloft,cet6,cet6,cet-english-2016-revised-word-list,1,★ aloft
alone,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,alone
along,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,along
alongside,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,alongside || alongside**
aloud,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,aloud
alphabet,cet4,cet4,cet-english-2016-revised-word-list,1,alphabet alphabetic(al)
alphabetic,cet4,cet4,cet-english-2016-revised-word-list,1,alphabet alphabetic(al)
already,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,already
also,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,also
alter,cet4,cet4,cet-english-2016-revised-word-list,1,alter alteration
alteration,cet4,cet4,cet-english-2016-revised-word-list,1,alter alteration
alternate,cet6,cet6,cet-english-2016-revised-word-list,1,★ alternate alternation alternately
alternately,cet6,cet6,cet-english-2016-revised-word-list,1,★ alternate alternation alternately
alternation,cet6,cet6,cet-english-2016-revised-word-list,1,★ alternate alternation alternately
alternative,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,alternative || alternative**
although,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,although
altitude,cet4,cet4,cet-english-2016-revised-word-list,1,altitude
altogether,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,altogether || altogether**
alumin,cet4,cet4,cet-english-2016-revised-word-list,1,alumin(i)um
always,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,1,always
am,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,"am || be (am, are, is)"
amass,cet6,cet6,cet-english-2016-revised-word-list,1,★ amass
amateur,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,amateur || amateur**
amaze,cet4,cet4,cet-english-2016-revised-word-list,1,amaze amazing amazement
amazement,cet4,cet4,cet-english-2016-revised-word-list,1,amaze amazing amazement
amazing,junior,junior|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,amaze amazing amazement || amazing
ambassador,cet4,cet4,cet-english-2016-revised-word-list,1,ambassador
ambiguity,cet6,cet6,cet-english-2016-revised-word-list,1,★ ambiguous ambiguity
ambiguous,cet6,cet6,cet-english-2016-revised-word-list,1,★ ambiguous ambiguity
ambition,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,ambition ambitious || ambition**
ambitious,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,ambition ambitious || ambitious**
ambulance,senior_high,senior_high|cet4,cet-english-2016-revised-word-list|moe-hs-english-2017-2025-appendix-2,2,ambulance || ambulance**
