word,variants,part_of_speech,theme_candidates,selection_route,relevance_score,selection_reason
acute,,a|n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 3249；当代语料 5255；评分 8/9）
addicted,,a,人与自我,promoted_from_low_frequency_semantic_review,2,健康、习惯与社会问题阅读中有明确价值
adequate,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2398；当代语料 3297；评分 9/9）
adjustment,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3424；当代语料 3121；评分 9/9）
admirable,,a,一般阅读,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
admission,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2768；当代语料 3031；评分 9/9）
adolescence,,n,人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 8812；当代语料 6897；评分 7/9）
adolescent,,a|n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 8678；当代语料 3386；评分 8/9）
adore,,v,人与自我,strong_independent_frequency,7,独立语料频率支持较强（BNC 8708；当代语料 7705；评分 7/9）
aeroplane,airplane,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
affection,,n,人与自我,strong_independent_frequency,8,独立语料频率支持较强（BNC 4103；当代语料 5137；评分 8/9）
agent,,n,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 1214；当代语料 1020；评分 9/9）
aggression,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4772；当代语料 4521；评分 9/9）
aggressive,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3648；当代语料 2514；评分 9/9）
agricultural,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2188；当代语料 3104；评分 9/9）
aircraft,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1538；当代语料 2803；评分 9/9）
airspace,,n,人与自然,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
album,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2991；当代语料 2215；评分 9/9）
alcoholic,,a|n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 7952；当代语料 7755；评分 7/9）
algebra,,n,人与自我,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
alike,,a|r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 4989；当代语料 4389；评分 9/9）
allergic,,a,一般阅读,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
alley,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 6528；当代语料 4340；评分 8/9）
allocate,,v,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 3035；当代语料 6763；评分 8/9）
allowance,,n|v,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 2481；当代语料 7677；评分 8/9）
alphabet,,n,人与自我|人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
altitude,,n,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 8085；当代语料 6370；评分 7/9）
aluminium,,n,人与自然,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
amaze,,v,人与自我,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
ambassador,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4614；当代语料 4520；评分 9/9）
ambiguous,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6442；当代语料 7071；评分 7/9）
ample,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6351；当代语料 6289；评分 7/9）
amusement,,n,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5357；当代语料 6732；评分 7/9）
analysis,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 707；当代语料 811；评分 9/9）
anchor,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 7686；当代语料 4961；评分 8/9）
anecdote,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 9719；当代语料 8925；评分 7/9）
anniversary,,n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3440；当代语料 3374；评分 9/9）
announcement,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2825；当代语料 3604；评分 9/9）
apology,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4950；当代语料 4944；评分 9/9）
apparent,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 1770；当代语料 2502；评分 9/9）
appearance,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1435；当代语料 1684；评分 9/9）
appendix,,n,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 3748；当代语料 12249；评分 7/9）
appoint,,v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1272；当代语料 3172；评分 9/9）
appreciation,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4701；当代语料 4322；评分 9/9）
approximately,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2850；当代语料 2365；评分 9/9）
apron,,n,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 8011；当代语料 8084；评分 7/9）
arbitrary,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 5353；当代语料 7545；评分 7/9）
architecture,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2712；当代语料 3509；评分 9/9）
argument,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 832；当代语料 1185；评分 9/9）
arithmetic,,a|n,人与自我,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
armchair,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5766；当代语料 9757；评分 7/9）
arrange,,v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 1324；当代语料 2216；评分 9/9）
arrival,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2281；当代语料 3194；评分 9/9）
ash,,n|v,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4713；当代语料 4577；评分 9/9）
assessment,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1249；当代语料 1552；评分 9/9）
assist,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2162；当代语料 2475；评分 9/9）
assistance,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2096；当代语料 2081；评分 9/9）
associate,,a|n|v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1216；当代语料 1354；评分 9/9）
astronomy,,n,人与自我,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
athletic,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 8781；当代语料 2981；评分 8/9）
athletics,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 9290；当代语料 8574；评分 7/9）
atom,,n,人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4241；当代语料 5184；评分 8/9）
attentively,,r,一般阅读,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
attraction,,n,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3108；当代语料 3800；评分 9/9）
attractive,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 1781；当代语料 2811；评分 9/9）
authentic,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 6476；当代语料 5000；评分 8/9）
avenue,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 3634；当代语料 5320；评分 8/9）
bachelor,,n|v,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 8615；当代语料 6130；评分 7/9）
backache,,n,人与自我,promoted_from_low_frequency_semantic_review,3,健康与身体主题中的常用症状词
bacterium,,n,人与自然,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
badly,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2078；当代语料 3111；评分 9/9）
baggage,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 8801；当代语料 7286；评分 7/9）
bake,,v,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 6122；当代语料 2810；评分 8/9）
balcony,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5402；当代语料 5799；评分 7/9）
ballpoint,,n,人与社会,promoted_from_low_frequency_semantic_review,3,学习用品和日常物品主题中有实用价值
bandage,,n|v,人与自我|人与社会|人与自然,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bang,,n|r|v,人与自我|人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4572；当代语料 5069；评分 8/9）
barber,,n|v,人与自我|人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
barbershop,,n,人与社会,promoted_from_low_frequency_semantic_review,2,社区生活和服务场景中有明确价值
bare,,a|v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3196；当代语料 3430；评分 9/9）
bargain,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4926；当代语料 4962；评分 9/9）
basement,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5987；当代语料 3598；评分 8/9）
bathe,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 8777；当代语料 7550；评分 7/9）
bathrobe,,n,人与社会,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bathtub,,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
battleground,,n,一般阅读,lexical_edge_semantic_review,,社会、历史和新闻阅读中的常见复合名词
beam,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3945；当代语料 3741；评分 9/9）
beast,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4515；当代语料 4428；评分 9/9）
bedding,,n,人与社会,normalized_legacy_surface_form,6,确认规范词头的主题价值；不得恢复旧复数形式
bee,,n,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4770；当代语料 4247；评分 9/9）
beehive,,n,人与自我|人与社会|人与自然,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
beg,,v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3537；当代语料 3452；评分 9/9）
beginning,,a|n,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 1242；当代语料 1200；评分 9/9）
belly,,n|v,人与自我|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 5691；当代语料 3805；评分 8/9）
bench,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2942；当代语料 2782；评分 9/9）
beneficial,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 4578；当代语料 4991；评分 9/9）
bent,,a|n,人与自我|人与自然,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
besides,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3848；当代语料 3012；评分 9/9）
betray,,v,人与自我|人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 6030；当代语料 4974；评分 8/9）
bid,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2359；当代语料 4069；评分 9/9）
bingo,,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
biochemistry,,n,人与自我,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
biography,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5647；当代语料 4875；评分 8/9）
birthplace,,n,人与自然,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bishop,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2221；当代语料 3437；评分 9/9）
boating,,n,人与社会,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bodybuilding,,n,一般阅读,lexical_edge_semantic_review,,体育、健康和生活方式主题中的独立名词
bookcase,,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bookmark,,n,人与社会,promoted_from_low_frequency_semantic_review,3,纸质阅读和数字阅读场景均常用
bookshelf,,n,人与社会,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bookshop,,n,一般阅读,lexical_edge_semantic_review,,学习和社区生活中的常见英式复合词
bookstore,,n,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
boom,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3920；当代语料 3171；评分 9/9）
booth,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 9834；当代语料 4300；评分 8/9）
botany,,n,人与自我|人与社会,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
boycott,,n|v,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 9191；当代语料 8514；评分 7/9）
brake,,n|v,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 5290；当代语料 4693；评分 8/9）
brand,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3387；当代语料 2570；评分 9/9）
bravery,,n,人与自我,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
breakthrough,,n,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6455；当代语料 5308；评分 7/9）
breathless,,a,一般阅读,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
brewery,,n,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
broken,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2747；当代语料 2694；评分 9/9）
broom,,n|v,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 9809；当代语料 9418；评分 7/9）
brotherhood,,n,人与自我|人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
brunch,,n|v,人与自我,original_medium_frequency,4,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bucket,,n|v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4494；当代语料 4812；评分 9/9）
bun,,n,人与自我,strong_independent_frequency,7,独立语料频率支持较强（BNC 8944；当代语料 8967；评分 7/9）
bungalow,,n,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
burden,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2696；当代语料 2665；评分 9/9）
bureaucratic,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 6084；当代语料 6447；评分 7/9）
burglar,,n,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
burial,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5406；当代语料 6234；评分 7/9）
burst,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3011；当代语料 3560；评分 9/9）
bush,,a|n|v,人与自我|人与社会|人与自然,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
businessman,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3547；当代语料 3840；评分 9/9）
butterfly,,n|v,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 5314；当代语料 4923；评分 8/9）
cab,,n|v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 4014；当代语料 4220；评分 9/9）
caption,,n|v,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
carpenter,,n|v,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 9552；当代语料 8059；评分 7/9）
carriage,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 3104；当代语料 6534；评分 8/9）
carrier,,n,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3636；当代语料 3271；评分 9/9）
cassette,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5251；当代语料 8210；评分 7/9）
casual,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3781；当代语料 3955；评分 9/9）
catalogue,,n|v,人与自我|人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 2710；当代语料 6793；评分 8/9）
catastrophe,,n,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 8422；当代语料 6648；评分 7/9）
cater,,v,人与自我,strong_independent_frequency,8,独立语料频率支持较强（BNC 3809；当代语料 6945；评分 8/9）
cathedral,,a|n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 2894；当代语料 7382；评分 8/9）
catholic,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2595；当代语料 1757；评分 9/9）
caution,,n|v,人与自我|人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 4721；当代语料 5286；评分 8/9）
cautious,,a|n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5239；当代语料 5231；评分 7/9）
celebration,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3379；当代语料 2996；评分 9/9）
cellar,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6029；当代语料 7671；评分 7/9）
centigrade,,a,人与自然,promoted_from_low_frequency_semantic_review,1,温度和科学阅读中仍需识别，后续应与 Celsius 建立变体关系
ceremony,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3313；当代语料 2670；评分 9/9）
challenging,,a,一般阅读,strong_independent_frequency,8,独立语料频率支持较强（BNC 7647；当代语料 4981；评分 8/9）
chant,,n|v,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 8567；当代语料 6880；评分 7/9）
cheerful,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 5041；当代语料 7309；评分 7/9）
cheque,,n|v,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
chick,,n,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 8245；当代语料 7269；评分 7/9）
childhood,,n,人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2746；当代语料 2107；评分 9/9）
chimney,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5724；当代语料 8321；评分 7/9）
chips,,n,一般阅读,lexical_edge_semantic_review,,食物义为固定复数形式，不能简单还原为单数义
choir,,n|v,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5092；当代语料 5331；评分 7/9）
cigar,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 7267；当代语料 5696；评分 7/9）
circulate,,v,人与社会|人与自然,strong_independent_frequency,8,独立语料频率支持较强（BNC 4483；当代语料 5888；评分 8/9）
classical,,a|n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2562；当代语料 3489；评分 9/9）
classify,,v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4168；当代语料 4515；评分 9/9）
claw,,n|v,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 8058；当代语料 6934；评分 7/9）
cleaner,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5033；当代语料 6567；评分 7/9）
clearly,,r,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 650；当代语料 846；评分 9/9）
clothing,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3372；当代语料 2650；评分 9/9）
clumsy,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 8653；当代语料 9209；评分 7/9）
cock,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 7962；当代语料 8484；评分 7/9）
cocoa,,n,人与自我,strong_independent_frequency,7,独立语料频率支持较强（BNC 8892；当代语料 8963；评分 7/9）
coincidence,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5527；当代语料 5812；评分 7/9）
coke,,n|v,人与社会|人与自然,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
colleague,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1338；当代语料 1518；评分 9/9）
collision,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6488；当代语料 5633；评分 7/9）
comb,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 9845；当代语料 7329；评分 7/9）
comma,,n,人与社会|人与自然,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
command,,n|v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2166；当代语料 2378；评分 9/9）
communism,,n,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 5758；当代语料 7085；评分 7/9）
companion,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3024；当代语料 3547；评分 9/9）
compass,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 7064；当代语料 7958；评分 7/9）
compensate,,v,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 4464；当代语料 5037；评分 8/9）
competitor,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3328；当代语料 3259；评分 9/9）
compromise,,n|v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3685；当代语料 3751；评分 9/9）
compulsory,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 3997；当代语料 12735；评分 7/9）
comrade,,n,人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6545；当代语料 7425；评分 7/9）
condemn,,v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 3223；当代语料 4138；评分 9/9）
conductor,,n,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 6176；当代语料 5912；评分 7/9）
confident,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 2580；当代语料 2866；评分 9/9）
confidential,,a,一般阅读,strong_independent_frequency,7,独立语料频率支持较强（BNC 5254；当代语料 7010；评分 7/9）
confuse,,v,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4666；当代语料 3518；评分 9/9）
congratulate,,v,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6017；当代语料 8361；评分 7/9）
connection,,n,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 1669；当代语料 1421；评分 9/9）
conscience,,n,人与自我,strong_independent_frequency,9,独立语料频率支持较强（BNC 4273；当代语料 4641；评分 9/9）
consensus,,n,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3897；当代语料 3317；评分 9/9）
conservative,,a|n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1497；当代语料 1837；评分 9/9）
considerate,,a,一般阅读,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
consideration,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1248；当代语料 2487；评分 9/9）
construct,,n|v,人与自我|人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 2058；当代语料 2477；评分 9/9）
consult,,v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2826；当代语料 3591；评分 9/9）
container,,n,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 4126；当代语料 3361；评分 9/9）
contradict,,v,人与自我|人与社会,strong_independent_frequency,7,独立语料频率支持较强（BNC 6870；当代语料 6863；评分 7/9）
contribute,,v,人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 1483；当代语料 1312；评分 9/9）
controversial,,a,一般阅读,strong_independent_frequency,9,独立语料频率支持较强（BNC 3444；当代语料 3090；评分 9/9）
convenience,,n,人与社会,strong_independent_frequency,8,独立语料频率支持较强（BNC 5559；当代语料 4892；评分 8/9）
convey,,v,人与社会|人与自然,strong_independent_frequency,9,独立语料频率支持较强（BNC 3682；当代语料 3756；评分 9/9）
cooker,,n,人与社会,original_medium_frequency,6,结合高中阅读主题、词族冗余和英美变体决定是否纳入
coral,,a|n,人与自我|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 5793；当代语料 6040；评分 7/9）
cordless,,a,一般阅读,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
corporation,,n,人与自我|人与社会,strong_independent_frequency,9,独立语料频率支持较强（BNC 2025；当代语料 2602；评分 9/9）
correction,,n,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 5971；当代语料 5966；评分 7/9）
corrupt,,a|v,人与社会|人与自然,strong_independent_frequency,7,独立语料频率支持较强（BNC 7571；当代语料 5850；评分 7/9）
cosy,,a|n|s,人与社会,original_medium_frequency,5,结合高中阅读主题、词族冗余和英美变体决定是否纳入
