legacy_word,legacy_row_count,legacy_rows,classification
communism,1,787,extension_candidate_pending_review
companion,1,789,extension_candidate_pending_review
compass,1,792,extension_candidate_pending_review
compensate,1,793,extension_candidate_pending_review
competitor,1,797,extension_candidate_pending_review
compromise,1,803,extension_candidate_pending_review
compulsory,1,804,extension_candidate_pending_review
computer game,1,806,extension_candidate_pending_review
comrade,1,807,extension_candidate_pending_review
condemn,1,816,extension_candidate_pending_review
conductor,1,818,extension_candidate_pending_review
confident,1,819,extension_candidate_pending_review
confidential,1,820,extension_candidate_pending_review
confuse,1,824,extension_candidate_pending_review
congratulate,1,825,extension_candidate_pending_review
connection,1,828,extension_candidate_pending_review
conscience,1,829,extension_candidate_pending_review
consensus,1,830,extension_candidate_pending_review
conservative,1,833,extension_candidate_pending_review
considerate,1,835,extension_candidate_pending_review
consideration,1,836,extension_candidate_pending_review
construct,1,841,extension_candidate_pending_review
consult,1,843,extension_candidate_pending_review
container,1,847,extension_candidate_pending_review
contradict,1,852,extension_candidate_pending_review
contribute,1,855,extension_candidate_pending_review
controversial,1,858,extension_candidate_pending_review
convenience,1,859,extension_candidate_pending_review
convey,1,863,extension_candidate_pending_review
cooker,1,866,extension_candidate_pending_review
coral,1,870,extension_candidate_pending_review
cordless,1,871,extension_candidate_pending_review
corporation,1,874,extension_candidate_pending_review
correction,1,876,extension_candidate_pending_review
corrupt,1,878,extension_candidate_pending_review
cosy,1,880,extension_candidate_pending_review
counter,1,886,extension_candidate_pending_review
courtyard,1,893,extension_candidate_pending_review
cowboy,1,897,extension_candidate_pending_review
criminal,1,907,extension_candidate_pending_review
crossing,1,912,extension_candidate_pending_review
crossroads,1,913,extension_candidate_pending_review
crowded,1,915,extension_candidate_pending_review
cube,1,918,extension_candidate_pending_review
cubic,1,919,extension_candidate_pending_review
currency,1,926,extension_candidate_pending_review
curriculum,1,927,extension_candidate_pending_review
cushion,1,929,extension_candidate_pending_review
customs,1,932,extension_candidate_pending_review
cyclist,1,935,extension_candidate_pending_review
dam,1,938,extension_candidate_pending_review
darkness,1,946,extension_candidate_pending_review
dash,1,947,extension_candidate_pending_review
dawn,1,952,extension_candidate_pending_review
daylight,1,954,extension_candidate_pending_review
decoration,1,970,extension_candidate_pending_review
deed,1,972,extension_candidate_pending_review
deeply,1,974,extension_candidate_pending_review
deliberately,1,982,extension_candidate_pending_review
delight,1,985,extension_candidate_pending_review
delighted,1,986,extension_candidate_pending_review
department store,1,991,extension_candidate_pending_review
deposit,1,994,extension_candidate_pending_review
determination,1,1008,extension_candidate_pending_review
devotion,1,1013,extension_candidate_pending_review
dial,1,1015,extension_candidate_pending_review
dictation,1,1019,extension_candidate_pending_review
dilemma,1,1032,extension_candidate_pending_review
dine,1,1034,extension_candidate_pending_review
dining-room,1,1035,extension_candidate_pending_review
dioxide,1,1038,extension_candidate_pending_review
dip,1,1039,extension_candidate_pending_review
diploma,1,1040,extension_candidate_pending_review
dirt,1,1045,extension_candidate_pending_review
disadvantage,1,1049,extension_candidate_pending_review
disagree,1,1050,extension_candidate_pending_review
disagreement,1,1051,extension_candidate_pending_review
disappoint,1,1053,extension_candidate_pending_review
disappointment,1,1054,extension_candidate_pending_review
discourage,1,1057,extension_candidate_pending_review
disgusting,1,1064,extension_candidate_pending_review
dislike,1,1067,extension_candidate_pending_review
disobey,1,1069,extension_candidate_pending_review
distinction,1,1072,extension_candidate_pending_review
distribute,1,1074,extension_candidate_pending_review
disturbing,1,1077,extension_candidate_pending_review
divorce,1,1082,extension_candidate_pending_review
does,1,1087,extension_candidate_pending_review
doll,1,1089,extension_candidate_pending_review
dot,1,1093,extension_candidate_pending_review
downward,1,1100,extension_candidate_pending_review
Dr,1,1102,extension_candidate_pending_review
drawback,1,1106,extension_candidate_pending_review
drawing,1,1108,extension_candidate_pending_review
drier,1,1111,extension_candidate_pending_review
drown,1,1118,extension_candidate_pending_review
drum,1,1120,extension_candidate_pending_review
drunk,1,1121,extension_candidate_pending_review
due,1,1124,extension_candidate_pending_review
dull,1,1125,extension_candidate_pending_review
dusk,1,1128,extension_candidate_pending_review
dustbin,1,1130,extension_candidate_pending_review
dusty,1,1131,extension_candidate_pending_review
DVD,1,1133,extension_candidate_pending_review
easily,1,1145,extension_candidate_pending_review
Easter,1,1147,extension_candidate_pending_review
eastwards,1,1149,extension_candidate_pending_review
easy-going,1,1151,extension_candidate_pending_review
edition,1,1155,extension_candidate_pending_review
educate,1,1157,extension_candidate_pending_review
eggplant,1,1163,extension_candidate_pending_review
Egypt,1,1164,extension_candidate_pending_review
Egyptian,1,1165,extension_candidate_pending_review
elect,1,1173,extension_candidate_pending_review
electric,1,1174,extension_candidate_pending_review
electrical,1,1175,extension_candidate_pending_review
embarrass,1,1183,extension_candidate_pending_review
embassy,1,1184,extension_candidate_pending_review
empire,1,1187,extension_candidate_pending_review
encouragement,1,1191,extension_candidate_pending_review
ending,1,1193,extension_candidate_pending_review
endless,1,1194,extension_candidate_pending_review
English-speaking,1,1202,extension_candidate_pending_review
enjoyable,1,1204,extension_candidate_pending_review
enlarge,1,1205,extension_candidate_pending_review
enquiry,1,1207,extension_candidate_pending_review
entire,1,1212,extension_candidate_pending_review
equality,1,1219,extension_candidate_pending_review
equip,1,1220,extension_candidate_pending_review
evident,1,1243,extension_candidate_pending_review
evolution,1,1244,extension_candidate_pending_review
exact,1,1245,extension_candidate_pending_review
excite,1,1253,extension_candidate_pending_review
existence,1,1258,extension_candidate_pending_review
explanation,1,1269,extension_candidate_pending_review
explicit,1,1270,extension_candidate_pending_review
exploit,1,1272,extension_candidate_pending_review
explorer,1,1274,extension_candidate_pending_review
expression,1,1278,extension_candidate_pending_review
extreme,1,1282,extension_candidate_pending_review
eyesight,1,1285,extension_candidate_pending_review
eyewitness,1,1286,extension_candidate_pending_review
f,1,1287,extension_candidate_pending_review
facial,1,1289,extension_candidate_pending_review
fade,1,1292,extension_candidate_pending_review
fairly,1,1296,extension_candidate_pending_review
fairness,1,1297,extension_candidate_pending_review
family name,1,1304,extension_candidate_pending_review
fare,1,1311,extension_candidate_pending_review
fasten,1,1315,extension_candidate_pending_review
fax,1,1321,extension_candidate_pending_review
feast,1,1323,extension_candidate_pending_review
feather,1,1324,extension_candidate_pending_review
federal,1,1326,extension_candidate_pending_review
ferry,1,1334,extension_candidate_pending_review
fierce,1,1342,extension_candidate_pending_review
fighter,1,1348,extension_candidate_pending_review
final,1,1353,extension_candidate_pending_review
fingernail,1,1358,extension_candidate_pending_review
firefighter,1,1361,extension_candidate_pending_review
fireplace,1,1362,extension_candidate_pending_review
firewood,1,1363,extension_candidate_pending_review
firework,1,1364,extension_candidate_pending_review
firmly,1,1366,extension_candidate_pending_review
fitting room,1,1372,extension_candidate_pending_review
flame,1,1376,extension_candidate_pending_review
flaming,1,1377,extension_candidate_pending_review
flashlight,1,1379,extension_candidate_pending_review
flee,1,1381,extension_candidate_pending_review
flesh,1,1383,extension_candidate_pending_review
float,1,1385,extension_candidate_pending_review
fluency,1,1392,extension_candidate_pending_review
fog,1,1397,extension_candidate_pending_review
following,1,1402,extension_candidate_pending_review
fool,1,1405,extension_candidate_pending_review
foolish,1,1406,extension_candidate_pending_review
forbid,1,1410,extension_candidate_pending_review
foreigner,1,1415,extension_candidate_pending_review
foresee,1,1416,extension_candidate_pending_review
forgetful,1,1420,extension_candidate_pending_review
fortnight,1,1426,extension_candidate_pending_review
fortunate,1,1427,extension_candidate_pending_review
fortune,1,1428,extension_candidate_pending_review
founding,1,1432,extension_candidate_pending_review
fragile,1,1440,extension_candidate_pending_review
fragrant,1,1441,extension_candidate_pending_review
framework,1,1442,extension_candidate_pending_review
franc,1,1438,extension_candidate_pending_review
freeway,1,1445,extension_candidate_pending_review
freezing,1,1447,extension_candidate_pending_review
Frenchman,1,1449,extension_candidate_pending_review
frequent,1,1450,extension_candidate_pending_review
fried,1,1455,extension_candidate_pending_review
fright,1,1459,extension_candidate_pending_review
frighten,1,1460,extension_candidate_pending_review
from mouth to mouth,1,2154,extension_candidate_pending_review
fruit juice,1,1467,extension_candidate_pending_review
funeral,1,1474,extension_candidate_pending_review
fur,1,1476,extension_candidate_pending_review
furnished,1,1477,extension_candidate_pending_review
gale,1,1481,extension_candidate_pending_review
gallon,1,1483,extension_candidate_pending_review
garage,1,1485,extension_candidate_pending_review
garbage can,1,582,extension_candidate_pending_review
gardening,1,1488,extension_candidate_pending_review
garment,1,1490,extension_candidate_pending_review
gay,1,1494,extension_candidate_pending_review
gesture,1,1504,extension_candidate_pending_review
get-together,1,1506,extension_candidate_pending_review
glance,1,1513,extension_candidate_pending_review
glare,1,1514,extension_candidate_pending_review
glasshouse,1,1516,extension_candidate_pending_review
glory,1,1518,extension_candidate_pending_review
god,1,1524,extension_candidate_pending_review
gold medal,1,2049,extension_candidate_pending_review
golden,1,1526,extension_candidate_pending_review
goldfish,1,1527,extension_candidate_pending_review
goodness,1,1531,extension_candidate_pending_review
goose,1,1533,extension_candidate_pending_review
govern,1,1534,extension_candidate_pending_review
gown,1,1536,extension_candidate_pending_review
graduation,1,1540,extension_candidate_pending_review
grandchild,1,1545,extension_candidate_pending_review
grandparents,1,1549,extension_candidate_pending_review
granny,1,1551,extension_candidate_pending_review
graph,1,1553,extension_candidate_pending_review
Greece,1,1559,extension_candidate_pending_review
Greek,1,1561,extension_candidate_pending_review
greengrocer,1,1563,extension_candidate_pending_review
greeting,1,1565,extension_candidate_pending_review
grill,1,1567,extension_candidate_pending_review
grocer,1,1568,extension_candidate_pending_review
growth,1,1572,extension_candidate_pending_review
gruel,1,1573,extension_candidate_pending_review
ha,1,1585,extension_candidate_pending_review
haircut,1,1588,extension_candidate_pending_review
hammer,1,1593,extension_candidate_pending_review
handful,1,1596,extension_candidate_pending_review
handtruck,1,1600,extension_candidate_pending_review
handy,1,1602,extension_candidate_pending_review
happily,1,1605,extension_candidate_pending_review
happiness,1,1606,extension_candidate_pending_review
harbour,1,1608,extension_candidate_pending_review
hardship,1,1611,extension_candidate_pending_review
hardworking,1,1612,extension_candidate_pending_review
harmless,1,1615,extension_candidate_pending_review
hawk,1,1622,extension_candidate_pending_review
hay,1,1623,extension_candidate_pending_review
headline,1,1627,extension_candidate_pending_review
headmaster,1,1628,extension_candidate_pending_review
headmistress,1,1629,extension_candidate_pending_review
headteacher,1,1630,extension_candidate_pending_review
heap,1,1633,extension_candidate_pending_review
hearing,1,1635,extension_candidate_pending_review
heaven,1,1638,extension_candidate_pending_review
heavily,1,1640,extension_candidate_pending_review
heel,1,1641,extension_candidate_pending_review
helicopter,1,1643,extension_candidate_pending_review
helmet,1,1645,extension_candidate_pending_review
heroine,1,1653,extension_candidate_pending_review
hey,1,1656,extension_candidate_pending_review
hibernate,1,1658,extension_candidate_pending_review
hibernation,1,1659,extension_candidate_pending_review
hide-and-seek,1,1661,extension_candidate_pending_review
highway,1,1663,extension_candidate_pending_review
hillside,1,1665,extension_candidate_pending_review
hilly,1,1666,extension_candidate_pending_review
hive,1,1673,extension_candidate_pending_review
holy,1,1678,extension_candidate_pending_review
homeland,1,1680,extension_candidate_pending_review
Hong Kong,1,1685,extension_candidate_pending_review
hook,1,1687,extension_candidate_pending_review
hooray,1,1688,extension_candidate_pending_review
hopeful,1,1690,extension_candidate_pending_review
hopeless,1,1691,extension_candidate_pending_review
hostess,1,1696,extension_candidate_pending_review
hot dog,1,1698,extension_candidate_pending_review
housewife,1,1702,extension_candidate_pending_review
howl,1,1706,extension_candidate_pending_review
human being,1,1710,extension_candidate_pending_review
humour,1,1712,extension_candidate_pending_review
hunger,1,1714,extension_candidate_pending_review
hunter,1,1717,extension_candidate_pending_review
Iceland,1,1726,extension_candidate_pending_review
identification,1,1729,extension_candidate_pending_review
immediate,1,1737,extension_candidate_pending_review
immigration,1,1739,extension_candidate_pending_review
importance,1,1741,extension_candidate_pending_review
incorrect,1,1752,extension_candidate_pending_review
independence,1,1755,extension_candidate_pending_review
inform,1,1762,extension_candidate_pending_review
information desk,1,1764,extension_candidate_pending_review
injure,1,1766,extension_candidate_pending_review
ink,1,1768,extension_candidate_pending_review
inland,1,1769,extension_candidate_pending_review
inn,1,1770,extension_candidate_pending_review
insert,1,1773,extension_candidate_pending_review
inspect,1,1776,extension_candidate_pending_review
instruct,1,1782,extension_candidate_pending_review
insure,1,1786,extension_candidate_pending_review
intelligence,1,1787,extension_candidate_pending_review
interpreter,1,1794,extension_candidate_pending_review
interval,1,1796,extension_candidate_pending_review
inventor,1,1803,extension_candidate_pending_review
invitation,1,1804,extension_candidate_pending_review
Ireland,1,1806,extension_candidate_pending_review
Irish,1,1807,extension_candidate_pending_review
irrigate,1,1809,extension_candidate_pending_review
irrigation,1,1810,extension_candidate_pending_review
Italian,1,1813,extension_candidate_pending_review
Italy,1,1814,extension_candidate_pending_review
jar,1,1822,extension_candidate_pending_review
jeep,1,1826,extension_candidate_pending_review
jet,1,1827,extension_candidate_pending_review
jewel,1,1828,extension_candidate_pending_review
jewelry,1,1829,extension_candidate_pending_review
judgement,1,1838,extension_candidate_pending_review
juicy,1,1840,extension_candidate_pending_review
junk,1,1846,extension_candidate_pending_review
junk food,1,1848,extension_candidate_pending_review
junk mail,1,1847,extension_candidate_pending_review
keeper,1,1853,extension_candidate_pending_review
kind-hearted,1,1865,extension_candidate_pending_review
kindness,1,1866,extension_candidate_pending_review
labourer,1,1879,extension_candidate_pending_review
ladder,1,1881,extension_candidate_pending_review
lame,1,1885,extension_candidate_pending_review
laser,1,1892,extension_candidate_pending_review
lately,1,1895,extension_candidate_pending_review
latest,1,1897,extension_candidate_pending_review
latter,1,1898,extension_candidate_pending_review
laughter,1,1900,extension_candidate_pending_review
laundry,1,1901,extension_candidate_pending_review
lavatory,1,1902,extension_candidate_pending_review
leading,1,1909,extension_candidate_pending_review
learned,1,1914,extension_candidate_pending_review
left-handed,1,1920,extension_candidate_pending_review
left-wing,1,1922,extension_candidate_pending_review
leftover,1,1921,extension_candidate_pending_review
lemonade,1,1926,extension_candidate_pending_review
letter-box,1,1933,extension_candidate_pending_review
liberate,1,1936,extension_candidate_pending_review
lid,1,1941,extension_candidate_pending_review
lifetime,1,1944,extension_candidate_pending_review
lightning,1,1947,extension_candidate_pending_review
lip,1,1954,extension_candidate_pending_review
litre,1,1960,extension_candidate_pending_review
loaf,1,1967,extension_candidate_pending_review
locust,1,1970,extension_candidate_pending_review
lorry,1,1976,extension_candidate_pending_review
Lost,1,1979,extension_candidate_pending_review
loudly,1,1982,extension_candidate_pending_review
loudspeaker,1,1983,extension_candidate_pending_review
lounge,1,1984,extension_candidate_pending_review
luggage,1,1990,extension_candidate_pending_review
maid,1,1998,extension_candidate_pending_review
mailbox,1,2000,extension_candidate_pending_review
mainland,1,2002,extension_candidate_pending_review
man-made,1,2011,extension_candidate_pending_review
maple,1,2016,extension_candidate_pending_review
maple leaves,1,2017,extension_candidate_pending_review
marble,1,2019,extension_candidate_pending_review
married,1,2025,extension_candidate_pending_review
mask,1,2027,extension_candidate_pending_review
mat,1,2030,extension_candidate_pending_review
meanwhile,1,2045,extension_candidate_pending_review
melon,1,2056,extension_candidate_pending_review
melon seed,1,2933,extension_candidate_pending_review
memorize,1,2060,extension_candidate_pending_review
mend,1,2061,extension_candidate_pending_review
mentally,1,2063,extension_candidate_pending_review
merchant,1,2066,extension_candidate_pending_review
merciful,1,2067,extension_candidate_pending_review
messy,1,2073,extension_candidate_pending_review
Mexican,1,2077,extension_candidate_pending_review
Mexico,1,2078,extension_candidate_pending_review
microcomputer,1,2079,extension_candidate_pending_review
microwave,1,2081,extension_candidate_pending_review
mid-autumn,1,2082,extension_candidate_pending_review
midday,1,2083,extension_candidate_pending_review
Middle East,1,2085,extension_candidate_pending_review
millionaire,1,2092,extension_candidate_pending_review
minibus,1,2096,extension_candidate_pending_review
miniskirt,1,2098,extension_candidate_pending_review
ministry,1,2100,extension_candidate_pending_review
minus,1,2102,extension_candidate_pending_review
mistaken,1,2110,extension_candidate_pending_review
misunderstand,1,2111,extension_candidate_pending_review
mm,1,2114,extension_candidate_pending_review
mobile,1,2115,extension_candidate_pending_review
modem,1,2118,extension_candidate_pending_review
modest,1,2120,extension_candidate_pending_review
Mom,1,2121,extension_candidate_pending_review
mommy,1,2123,extension_candidate_pending_review
monument,1,2129,extension_candidate_pending_review
moon cake,1,2131,extension_candidate_pending_review
mop,1,2132,extension_candidate_pending_review
Moscow,1,2136,extension_candidate_pending_review
Moslem,1,2137,extension_candidate_pending_review
motherland,1,2141,extension_candidate_pending_review
motivation,1,2142,extension_candidate_pending_review
motorbike,1,2144,extension_candidate_pending_review
motorcycle,1,2145,extension_candidate_pending_review
motto,1,2146,extension_candidate_pending_review
mountainous,1,2148,extension_candidate_pending_review
mourn,1,2149,extension_candidate_pending_review
moustache,1,2151,extension_candidate_pending_review
mouthful,1,2153,extension_candidate_pending_review
muddy,1,2163,extension_candidate_pending_review
multiply,1,2164,extension_candidate_pending_review
musical,1,2169,extension_candidate_pending_review
mustard,1,2172,extension_candidate_pending_review
mutton,1,2173,extension_candidate_pending_review
nationwide,1,2182,extension_candidate_pending_review
necklace,1,2193,extension_candidate_pending_review
necktie,1,2194,extension_candidate_pending_review
New York,1,2208,extension_candidate_pending_review
New Zealand,1,2209,extension_candidate_pending_review
New Zealander,1,2210,extension_candidate_pending_review
night-club,1,2217,extension_candidate_pending_review
No.,1,2223,extension_candidate_pending_review
noisily,1,2228,extension_candidate_pending_review
non-stop,1,2231,extension_candidate_pending_review
non-violent,1,2232,extension_candidate_pending_review
northeast,1,2238,extension_candidate_pending_review
northwards,1,2240,extension_candidate_pending_review
northwest,1,2241,extension_candidate_pending_review
numb,1,2255,extension_candidate_pending_review
nursery,1,2258,extension_candidate_pending_review
nursing,1,2259,extension_candidate_pending_review
nylon,1,2262,extension_candidate_pending_review
obey,1,2263,extension_candidate_pending_review
obvious,1,2267,extension_candidate_pending_review
Oceania,1,2271,extension_candidate_pending_review
offence,1,2276,extension_candidate_pending_review
offshore,1,2281,extension_candidate_pending_review
oh,1,2283,extension_candidate_pending_review
oilfield,1,2285,extension_candidate_pending_review
Olympic,1,2288,extension_candidate_pending_review
Olympic Games,1,2289,extension_candidate_pending_review
omelette,1,2290,extension_candidate_pending_review
oneself,1,2294,extension_candidate_pending_review
opener,1,2299,extension_candidate_pending_review
opening,1,2300,extension_candidate_pending_review
opera house,1,2302,extension_candidate_pending_review
