word,queue_route,relevance_score,decision,preferred_headword,reason
forgetful,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
fortnight,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
fragrant,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
freeway,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
fried,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
fright,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
gale,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
gallon,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
goldfish,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
granny,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
graph,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
grocer,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
haircut,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
harbour,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
hardworking,promoted_from_low_frequency_semantic_review,2,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
headmistress,original_medium_frequency,4,exclude_gendered_occupation,,通用词表优先采用 head teacher 等中性表达
hibernate,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
hibernation,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
hilly,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
hive,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
hostess,original_medium_frequency,6,exclude_gendered_occupation,,职业义带性别限定，移出通用主表
howl,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
humour,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
inland,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
inventor,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
irrigate,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
irrigation,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
jewelry,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
juicy,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
labourer,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
lame,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
latest,promoted_from_low_frequency_semantic_review,0,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
lavatory,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
learned,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
leftover,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
lemonade,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
litre,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
locust,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
lorry,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
loudspeaker,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
mailbox,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
maple,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
melon,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
memorize,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
mend,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
merciful,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
minibus,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
mistaken,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
mommy,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
mop,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
motherland,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
motorbike,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
mountainous,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
moustache,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
mouthful,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
mutton,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
necklace,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
noisily,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
northwards,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
numb,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
offence,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
oilfield,promoted_from_low_frequency_semantic_review,1,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
omelette,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
opener,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
organise,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
outdoors,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
outspoken,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
overcoat,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
overweight,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
ox,promoted_from_low_frequency_semantic_review,2,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
paddle,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
penny,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
pianist,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
pineapple,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
pint,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
playmate,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
poisonous,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
popcorn,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
porridge,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
porter,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
postage,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
postcode,promoted_from_low_frequency_semantic_review,1,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
prairie,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
preview,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
punctual,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
punctuate,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
punctuation,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
quake,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
quarrel,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
quilt,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
raincoat,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
rainfall,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
rectangle,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
redirect,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
refreshment,normalized_legacy_surface_form,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
retell,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
reuse,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
reviewer,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
rewind,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
ripen,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
rooster,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
roundabout,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
sailing,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
salute,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
savage,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
sceptical,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
schoolmate,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
scold,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
seaman,original_medium_frequency,6,exclude_gendered_occupation,,通用学习词表优先采用 sailor/seafarer 等表达
seashell,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
seaside,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
seaweed,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
secondhand,promoted_from_low_frequency_semantic_review,2,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
semicircle,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
shabby,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
shopkeeper,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
sidewalk,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
sixteenth,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
skillful,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
skyscraper,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
smelly,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
sneaker,promoted_from_low_frequency_semantic_review,1,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
snowball,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
snowman,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
softball,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
spaceship,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
spade,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
spaghetti,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
sparrow,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
spoken,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
spoonful,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
squid,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
squirrel,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
stainless,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
statesman,original_medium_frequency,6,exclude_gendered_occupation,,名称带性别限定，暂不进入通用主表
stewardess,original_medium_frequency,4,exclude_gendered_occupation,,现代职业表达优先使用 flight attendant
stopwatch,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
stout,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
subtraction,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
sunglasses,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
sunrise,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
tasteless,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
teamwork,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
telegram,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
telegraph,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
thermos,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
thirst,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
thunderstorm,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
tiresome,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
toothbrush,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
toothpaste,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
tortoise,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
tram,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
translator,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
traveler,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
typist,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
tyre,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
unbearable,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
unconditional,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
undivided,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
unfit,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
unhealthy,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
unimportant,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
untrue,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
vain,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
vanilla,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
veal,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
vinegar,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
violinist,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
wag,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
waitress,original_medium_frequency,6,exclude_gendered_occupation,,现代通用表达优先使用 server/waiter 等按语境处理
wayside,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
weatherman,original_medium_frequency,4,exclude_gendered_occupation,,现代通用表达优先使用 weather presenter/meteorologist
westerner,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
windbreaker,promoted_from_low_frequency_semantic_review,2,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
woollen,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
workday,promoted_from_low_frequency_semantic_review,3,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
worn,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
yawn,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
zebra,original_medium_frequency,5,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
zip,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
zipper,original_medium_frequency,4,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
zoom,original_medium_frequency,6,include,,已通过中等频率或低频语义复核，并具有明确高中阅读主题价值
