word,bnc_rank,contemporary_rank,relevance_score,oewn_pos,form_review_flags,review_decision,preferred_headword,educational_theme,decision_reason,review_method,review_status
oilfield,26075,,1,n,,promote_to_secondary_review,,人与自然,能源、资源和环境主题中的常见复合词,ai_assisted_explicit_semantic_review,documented_recommendation
ox,11804,,2,n,,promote_to_secondary_review,,人与自然,动物、农业和文化阅读中的基础名词,ai_assisted_explicit_semantic_review,documented_recommendation
playroom,23028,20588,3,n,,retain_on_hold,,人与社会,透明复合词，独立收录收益有限,ai_assisted_explicit_semantic_review,documented_recommendation
postbox,40238,,0,n,,retain_on_hold,,人与社会,英式邮政词，现代覆盖有限且可与 mailbox 对照处理,ai_assisted_explicit_semantic_review,documented_recommendation
postcode,22564,,1,n,,promote_to_secondary_review,,人与社会,地址、邮政和英式生活场景中实用,ai_assisted_explicit_semantic_review,documented_recommendation
punctual,20448,25334,3,a,,promote_to_secondary_review,,人与自我,时间管理和人物品质主题中的常用形容词,ai_assisted_explicit_semantic_review,documented_recommendation
rewind,26999,20177,3,v,,promote_to_secondary_review,,人与社会,媒体操作及比喻性表达中仍有识别价值,ai_assisted_explicit_semantic_review,documented_recommendation
salesgirl,,29991,1,n,,exclude_dated_or_gendered,salesperson,人与社会,带不必要的性别限定且现代用法趋于过时，不纳入通用学习词头,ai_assisted_explicit_semantic_review,documented_recommendation
scores,,,0,n,possible_plural_or_third_person,merge_with_preferred_headword,score,一般阅读,课标词 score 已覆盖词头；旧复数形式不另建扩展记录,ai_assisted_explicit_semantic_review,documented_recommendation
seashell,42970,19554,3,n,,promote_to_secondary_review,,人与自然,海洋、生物和自然观察主题中有明确价值,ai_assisted_explicit_semantic_review,documented_recommendation
secondhand,15042,,2,a|r,,promote_to_secondary_review,,人与社会,消费、环保和信息来源语境均常用,ai_assisted_explicit_semantic_review,documented_recommendation
shaver,34831,25551,3,n,,retain_on_hold,,人与自我,日用品词义明确但属于透明派生词，独立学习收益有限,ai_assisted_explicit_semantic_review,documented_recommendation
skillful,43429,12290,3,a,,promote_to_secondary_review,,人与自我,能力和表现描述中常用，需与英式拼写 skilful 对照,ai_assisted_explicit_semantic_review,documented_recommendation
skillfully,,13724,2,r,,merge_with_preferred_headword,skillful,人与自我,规则副词派生，优先在 skillful 词族中呈现,ai_assisted_explicit_semantic_review,documented_recommendation
sneaker,33208,,1,n,,promote_to_secondary_review,,人与社会,服饰、运动和美式英语生活场景中常见,ai_assisted_explicit_semantic_review,documented_recommendation
softball,,8130,3,n,,promote_to_secondary_review,,人与社会,体育和跨文化阅读中的常见运动名词,ai_assisted_explicit_semantic_review,documented_recommendation
stopwatch,34023,20916,3,n,,promote_to_secondary_review,,人与社会,体育计时和实验测量场景中实用,ai_assisted_explicit_semantic_review,documented_recommendation
subtraction,21520,21980,3,n,,promote_to_secondary_review,,人与自然,数学学科阅读中的基础术语,ai_assisted_explicit_semantic_review,documented_recommendation
sunburnt,34021,32133,3,a,,retain_on_hold,,人与自我,英式分词形容词，宜先与 sunburn/sunburned 统一词族,ai_assisted_explicit_semantic_review,documented_recommendation
sunglasses,,7032,3,n,possible_plural_or_third_person,promote_to_secondary_review,,人与自我,虽为固定复数形式，但属于常见生活和健康词,ai_assisted_explicit_semantic_review,documented_recommendation
superman,22870,20120,3,n,,move_to_special_reference_review,,人与社会,普通名词、角色专名及俚语义可能混淆，不进普通扩展表,ai_assisted_explicit_semantic_review,documented_recommendation
windbreaker,,18855,2,n,,promote_to_secondary_review,,人与社会,服饰和天气场景中具有实际阅读价值,ai_assisted_explicit_semantic_review,documented_recommendation
workday,42847,13488,3,n,,promote_to_secondary_review,,人与社会,工作制度和日常生活阅读中的常用复合词,ai_assisted_explicit_semantic_review,documented_recommendation
