legacy_word,legacy_row_count,legacy_rows,oewn_pos,oewn_sense_count,lexical_evidence_score,ecdict_word,ecdict_match_type,ecdict_tags_audit_only,ecdict_gk_tag,bnc_rank,contemporary_rank,bnc_points,contemporary_points,cross_corpus_bonus,relevance_score,frequency_profile,form_review_flags,recommendation,reason
running,1,2851,a|n,11,3,running,exact,gk,yes,3269,3252,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
sacred,1,2855,a,5,3,sacred,exact,gk cet4 cet6 ky toefl ielts gre,yes,4692,3338,4,4,1,9,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
sailing,1,2862,n,4,3,sailing,exact,gk ielts,yes,5717,10027,3,2,1,6,strong_with_moderate_cross_corpus_support,possible_participle_or_gerund,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
scores,1,2907,n,1,2,scores,exact,gk,yes,,,0,0,0,0,no_frequency_rank,possible_plural_or_third_person,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
seaweed,1,2923,n,1,3,seaweed,exact,gk toefl,yes,14677,13198,2,2,1,5,moderate_frequency,possible_participle_or_adjective,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
shooting,1,3001,n,2,2,shooting,exact,gk,yes,4728,2822,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
shopping,1,3005,n,2,3,shopping,exact,gk cet4 cet6 ielts,yes,2763,2713,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
shortcoming,1,3008,n,1,3,shortcoming,exact,gk cet4 cet6 ky,yes,8552,8140,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
sideways,1,3028,a|r,5,3,sideways,exact,gk cet4 cet6 ky toefl,yes,6581,7384,3,3,1,7,strong_in_both_corpora,possible_plural_or_third_person,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
skilled,1,3068,a,1,3,skilled,exact,gk cet4 cet6 ky,yes,3807,4903,4,4,1,9,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
smoking,1,3098,a|n,3,3,smoking,exact,gk ielts,yes,5035,4956,3,4,1,8,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
spelling,1,3170,n,1,3,spelling,exact,gk cet4 cet6 ky,yes,5779,7907,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
statistics,1,3214,n,1,3,statistics,exact,gk cet4 cet6 ky toefl ielts,yes,2602,2709,4,4,1,9,strong_in_both_corpora,possible_plural_or_third_person,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
stocking,1,3230,n,2,3,stocking,exact,gk cet4 cet6 ky,yes,6503,8355,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
suffering,1,3279,a|n,6,3,suffering,exact,gk,yes,4466,3933,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
sunglasses,1,3292,n,1,3,sunglasses,exact,gk toefl,yes,,7032,0,3,0,3,single_corpus_only,possible_plural_or_third_person,hold_without_more_evidence,独立频率证据较弱或不完整；没有其他证据前暂不纳入；另有词形复核标记
thermos,1,3423,n,1,3,thermos,exact,gk,yes,24637,17096,1,2,1,4,moderate_frequency,possible_plural_or_third_person,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
turning,1,3559,n,6,3,turning,exact,cet4 cet6 ielts,no,6345,6215,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
understanding,1,3594,a|n,5,3,understanding,exact,gk cet4 cet6 ky ielts,yes,1260,1298,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
undivided,1,3597,a,4,2,undivided,exact,gk,yes,19323,20480,2,1,1,4,moderate_frequency,possible_participle_or_adjective,secondary_relevance_review,频率证据中等或两套语料差异较大；需结合高中阅读主题复核；另有词形复核标记
unmarried,1,3619,a,1,2,unmarried,exact,gk,yes,7635,9465,3,3,1,7,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
unwilling,1,3627,a,2,3,unwilling,exact,gk cet4 cet6,yes,5583,6237,3,3,1,7,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
upstairs,1,3632,a|n|r,4,3,upstairs,exact,zk gk cet4 cet6 ky,yes,3067,4381,4,4,1,9,strong_in_both_corpora,possible_plural_or_third_person,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
willing,1,3789,a|n,3,3,willing,exact,gk cet4 cet6 ky,yes,2233,1274,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
works,1,3827,n,4,3,works,exact,gk,yes,1208,1637,4,4,1,9,strong_in_both_corpora,possible_plural_or_third_person,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
worried,1,3833,a,2,3,worried,exact,gk,yes,2284,3261,4,4,1,9,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
wounded,1,3843,a|n,2,3,wounded,exact,gk,yes,6501,5376,3,3,1,7,strong_in_both_corpora,possible_participle_or_adjective,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
writing,1,3848,n,5,3,writing,exact,gk cet4 cet6 ky ielts,yes,1484,1528,4,4,1,9,strong_in_both_corpora,possible_participle_or_gerund,frequency_supported_extension,两套语料频率综合证据较强；可作为拓展词优先候选，但仍需词形和义项检查；另有词形复核标记
