legacy_word,legacy_row_count,legacy_rows,structural_type,oewn_match_type,oewn_lemmas,oewn_pos,oewn_sense_count,moby_wordlist_match_type,moby_wordlist_forms,moby_pos_match_type,moby_pos_forms,moby_pos_codes,normalized_headword_candidates,normalized_headword_evidence,existing_phrase_table_match,lexical_evidence_score,recommendation,reason
apology,1,200,lowercase_single_word,exact,apology,n,3,exact,apology,exact,apology,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
apparent,1,201,lowercase_single_word,exact,apparent,a,2,exact,apparent,exact,apparent,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
appearance,1,204,lowercase_single_word,exact,appearance,n,6,exact,appearance,exact,appearance,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
appendix,1,205,lowercase_single_word,exact,appendix,n,2,exact,appendix,exact,appendix,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
appoint,1,212,lowercase_single_word,exact,appoint,v,3,exact,appoint,exact,appoint,V,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
appreciation,1,215,lowercase_single_word,exact,appreciation,n,5,exact,appreciation,exact,appreciation,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
approximately,1,219,lowercase_single_word,exact,approximately,r,1,none,,exact,approximately,v,,,none,2,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
apron,1,220,lowercase_single_word,exact,apron,n,4,exact,apron,exact,apron,N|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
Arab,1,226,initial_uppercase,exact,Arab,n,2,exact,Arab,exact,Arab,N,,,none,3,proper_name_or_capitalization_review,首字母大写形式可能是专名、地域名或误大写，需单独核实
Arabic,1,227,initial_uppercase,exact,Arabic,a|n,2,exact,Arabic,exact,Arabic,A|N,,,none,3,proper_name_or_capitalization_review,首字母大写形式可能是专名、地域名或误大写，需单独核实
arbitrary,1,221,lowercase_single_word,exact,arbitrary,a,1,exact,arbitrary,exact,arbitrary,A|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
architecture,1,224,lowercase_single_word,exact,architecture,n,4,exact,architecture,exact,architecture,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
Arctic,1,228,initial_uppercase,exact,Arctic,a,1,exact,Arctic,exact,Arctic,A|N,,,none,3,proper_name_or_capitalization_review,首字母大写形式可能是专名、地域名或误大写，需单独核实
argument,1,234,lowercase_single_word,exact,argument,n,7,exact,argument,exact,argument,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
arithmetic,1,236,lowercase_single_word,exact,arithmetic,a|n,2,exact,arithmetic,exact,arithmetic,A|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
armchair,1,238,lowercase_single_word,exact,armchair,n,1,exact,armchair,exact,armchair,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
arrange,1,241,lowercase_single_word,exact,arrange,v,7,exact,arrange,exact,arrange,i|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
arrival,1,244,lowercase_single_word,exact,arrival,n,3,exact,arrival,exact,arrival,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
ash,1,252,lowercase_single_word,exact,ash,n|v,4,exact,ash,exact,ash,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
assessment,1,261,lowercase_single_word,exact,assessment,n,4,exact,assessment,exact,assessment,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
assist,1,262,lowercase_single_word,exact,assist,n|v,5,exact,assist,exact,assist,N|V|i,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
assistance,1,263,lowercase_single_word,exact,assistance,n,3,exact,assistance,exact,assistance,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
associate,1,265,lowercase_single_word,exact,associate,a|n|v,9,exact,associate,exact,associate,A|N|V|i|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
astronomy,1,272,lowercase_single_word,exact,astronomy,n,1,exact,astronomy,exact,astronomy,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
athletic,1,275,lowercase_single_word,exact,athletic,a,3,exact,athletic,exact,athletic,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
athletics,1,276,lowercase_single_word,exact,athletics,n,3,exact,athletics,exact,athletics,N,athletic,athletic:OEWN+MobyWords+MobyPOS,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
atom,1,280,lowercase_single_word,exact,atom,n,2,exact,atom,exact,atom,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
attentively,1,287,lowercase_single_word,exact,attentively,r,1,none,,exact,attentively,v,,,none,2,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
attraction,1,290,lowercase_single_word,exact,attraction,n,5,exact,attraction,exact,attraction,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
attractive,1,291,lowercase_single_word,exact,attractive,a,3,exact,attractive,exact,attractive,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
authentic,1,293,lowercase_single_word,exact,authentic,a,2,exact,authentic,exact,authentic,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
avenue,1,304,lowercase_single_word,exact,avenue,n,2,exact,avenue,exact,avenue,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bachelor,1,315,lowercase_single_word,exact,bachelor,n|v,3,exact,bachelor,exact,bachelor,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
backache,1,317,lowercase_single_word,exact,backache,n,1,exact,backache,exact,backache,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bacterium,1,321,lowercase_single_word,exact,bacterium,n,1,exact,bacterium,exact,bacterium,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
badly,1,323,lowercase_single_word,exact,badly,r,10,exact,badly,exact,badly,v,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
baggage,1,326,lowercase_single_word,exact,baggage,n,3,exact,baggage,exact,baggage,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bake,1,327,lowercase_single_word,exact,bake,v,4,exact,bake,exact,bake,N|i|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
balcony,1,330,lowercase_single_word,exact,balcony,n,2,exact,balcony,exact,balcony,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
ballpoint,1,334,lowercase_single_word,exact,ballpoint,n,1,none,,exact,ballpoint,N,,,none,2,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bandage,1,339,lowercase_single_word,exact,bandage,n|v,3,exact,bandage,exact,bandage,N|V,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bang,1,340,lowercase_single_word,exact,bang,n|r|v,12,exact,bang,exact,bang,N|V|i|t|v,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bank account,1,342,multiword,exact,bank account,n,1,exact,bank account,exact,bank account,h,,,none,3,move_to_phrase_review,多词表达不进入单词扩展表；转入短语候选复核
barber,1,345,lowercase_single_word,exact,barber,n|v,2,exact,barber,exact,barber,N|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
barbershop,1,346,lowercase_single_word,exact,barbershop,n,1,exact,barbershop,exact,barbershop,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bare,1,347,lowercase_single_word,exact,bare,a|v,13,exact,bare,exact,bare,A|V|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bargain,1,348,lowercase_single_word,exact,bargain,n|v,4,exact,bargain,exact,bargain,N|V,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
basement,1,353,lowercase_single_word,exact,basement,n,2,exact,basement,exact,basement,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bathe,1,361,lowercase_single_word,exact,bathe,n|v,4,exact,bathe,exact,bathe,N|i|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bathrobe,1,362,lowercase_single_word,exact,bathrobe,n,1,exact,bathrobe,exact,bathrobe,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bathtub,1,364,lowercase_single_word,exact,bathtub,n,1,exact,bathtub,exact,bathtub,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
battleground,1,367,lowercase_single_word,exact,battleground,n,1,none,,none,,,,,none,1,modern_lexical_review,OEWN 有词形证据，Moby 未匹配；复核词义、难度与学习价值
beam,1,372,lowercase_single_word,exact,beam,n|v,13,exact,beam,exact,beam,N|V|i|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
beast,1,377,lowercase_single_word,exact,beast,n,2,exact,beast,exact,beast,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bedclothes,1,384,lowercase_single_word,exact,bedclothes,n,1,exact,bedclothes,exact,bedclothes,p,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
beddings,1,385,lowercase_single_word,none,,,0,none,,none,,,bedding,bedding:OEWN+MobyWords+MobyPOS,none,0,inflected_form_review,当前形式可能是复数、第三人称或分词；开放词典支持其候选词头，需决定是否改存词头
bee,1,387,lowercase_single_word,exact,bee,n,2,exact,bee,exact,bee,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
beehive,1,389,lowercase_single_word,exact,beehive,n,4,exact,beehive,exact,beehive,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
beg,1,392,lowercase_single_word,exact,beg,v,4,exact,beg,exact,beg,N|V|i,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
beginning,1,394,lowercase_single_word,exact,beginning,a|n,6,exact,beginning,exact,beginning,N,begin,begin:OEWN+MobyWords+MobyPOS,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
Belgium,1,400,initial_uppercase,none,,,0,exact,Belgium,exact,Belgium,N,,,none,2,proper_name_or_capitalization_review,首字母大写形式可能是专名、地域名或误大写，需单独核实
belly,1,404,lowercase_single_word,exact,belly,n|v,6,exact,belly,exact,belly,N|V,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bench,1,408,lowercase_single_word,exact,bench,n|v,11,exact,bench,exact,bench,N|t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
beneficial,1,411,lowercase_single_word,exact,beneficial,a,1,exact,beneficial,exact,beneficial,A,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bent,1,413,lowercase_single_word,exact,bent,a|n,7,exact,bent,exact,bent,A|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
besides,1,415,lowercase_single_word,exact,besides,r,2,exact,besides,exact,besides,P|v,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
best-seller,1,417,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
betray,1,419,lowercase_single_word,exact,betray,v,6,exact,betray,exact,betray,t,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bid,1,423,lowercase_single_word,exact,bid,n|v,10,exact,bid,exact,bid,N|V,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
bingo,1,428,lowercase_single_word,exact,bingo,n,1,exact,bingo,exact,bingo,!|N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
biochemistry,1,429,lowercase_single_word,exact,biochemistry,n,1,exact,biochemistry,exact,biochemistry,N,,,none,3,retain_for_relevance_scoring,OEWN 与至少一个 Moby 数据集均有词形证据；仍需另做学习相关性筛选
