legacy_word,source_issue,supported_headword,supported_headword_in_curriculum,oewn_exact_lemma,oewn_pos,resolution,reason
drawing,possible_participle_or_gerund,draw,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
eastwards,possible_plural_or_third_person,eastward,no,yes,r,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
ending,possible_participle_or_gerund,end,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
f,single_letter,,no,yes,n,move_to_special_reference_review,单字母条目可能表示字母名、等级或缩写，不作为普通扩展单词处理
flaming,possible_participle_or_gerund,flame,no,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
following,possible_participle_or_gerund,follow,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
freezing,possible_participle_or_gerund,freeze,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
fried,possible_participle_or_adjective,fri,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
gardening,possible_participle_or_gerund,garden,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
grandparents,inflected_form_review,grandparent,yes,no,,exclude_redundant_inflection_of_curriculum,还原词头 grandparent 已在课标母表中；旧屈折形式不另作独立扩展词
greeting,possible_participle_or_gerund,greet,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
hardworking,possible_participle_or_gerund,,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
hearing,possible_participle_or_gerund,hear,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
leading,possible_participle_or_gerund,lead,yes,yes,a|n-1|n-2,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
learned,possible_participle_or_adjective,learn,yes,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
lightning,possible_participle_or_gerund,,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
married,possible_participle_or_adjective,marri,no,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
northwards,possible_plural_or_third_person,northward,no,yes,r,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
opening,possible_participle_or_gerund,open,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
outdoors,possible_plural_or_third_person,outdoor,no,yes,n|r,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
outing,possible_participle_or_gerund,out,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
painting,possible_participle_or_gerund,paint,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
printing,possible_participle_or_gerund,print,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
puzzled,possible_participle_or_adjective,puzzle,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
reading,possible_participle_or_gerund,read,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
refreshments,inflected_form_review,refreshment,no,no,,replace_with_normalized_extension_headword,将旧表面形式规范为开放词典支持的词头 refreshment，再单独评分
regards,inflected_form_review,regard,yes,no,,exclude_redundant_inflection_of_curriculum,还原词头 regard 已在课标母表中；旧屈折形式不另作独立扩展词
repairs,inflected_form_review,repair,yes,no,,exclude_redundant_inflection_of_curriculum,还原词头 repair 已在课标母表中；旧屈折形式不另作独立扩展词
running,possible_participle_or_gerund,run,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
sacred,possible_participle_or_adjective,,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
sailing,possible_participle_or_gerund,sail,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
scores,possible_plural_or_third_person,score,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
seaweed,possible_participle_or_adjective,,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
shooting,possible_participle_or_gerund,shoot,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
shopping,possible_participle_or_gerund,shop,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
shortcoming,possible_participle_or_gerund,,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
sideways,possible_plural_or_third_person,sideway,no,yes,a|r,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
skilled,possible_participle_or_adjective,,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
skipping,inflected_form_review,skip,yes,no,,exclude_redundant_inflection_of_curriculum,还原词头 skip 已在课标母表中；旧屈折形式不另作独立扩展词
smoking,possible_participle_or_gerund,smoke,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
souvenirs,inflected_form_review,souvenir,no,no,,replace_with_normalized_extension_headword,将旧表面形式规范为开放词典支持的词头 souvenir，再单独评分
spelling,possible_participle_or_gerund,,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
statistics,possible_plural_or_third_person,statistic,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
stocking,possible_participle_or_gerund,stock,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
suffering,possible_participle_or_gerund,suffer,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
sunglasses,possible_plural_or_third_person,sunglass,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
thermos,possible_plural_or_third_person,,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
turning,possible_participle_or_gerund,turn,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
understanding,possible_participle_or_gerund,understand,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
undivided,possible_participle_or_adjective,,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
unmarried,possible_participle_or_adjective,,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
unwilling,possible_participle_or_gerund,,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
upstairs,possible_plural_or_third_person,upstair,no,yes,a|n|r,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
willing,possible_participle_or_gerund,,no,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
works,possible_plural_or_third_person,work,yes,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
worried,possible_participle_or_adjective,,no,yes,a,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
wounded,possible_participle_or_adjective,wound,yes,yes,a|n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
writing,possible_participle_or_gerund,writ,no,yes,n,keep_confirmed_independent_lemma,虽有词尾形态特征，但 OEWN 将当前拼写作为独立词头收录；保留当前形式并在释义阶段复核
