legacy_word,legacy_row_count,legacy_rows,structural_type,oewn_match_type,oewn_lemmas,oewn_pos,oewn_sense_count,moby_wordlist_match_type,moby_wordlist_forms,moby_pos_match_type,moby_pos_forms,moby_pos_codes,normalized_headword_candidates,normalized_headword_evidence,existing_phrase_table_match,lexical_evidence_score,recommendation,reason
phone-booth,1,2449,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
ping-pong,1,2473,hyphenated,casefold,Ping-Pong,n,1,casefold,Ping-Pong,casefold,Ping-Pong,N,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
right-handed,1,2809,hyphenated,exact,right-handed,a,2,exact,right-handed,exact,right-handed,A,right-hand,right-hand:OEWN+MobyWords+MobyPOS,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
right-wing,1,2810,hyphenated,exact,right-wing,a,1,none,,exact,right-wing,A,,,none,2,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
ring-road,1,2812,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
school-leaver,1,2899,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
see-saw,1,2936,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
self-service,1,2942,hyphenated,exact,self-service,a|n,2,exact,self-service,exact,self-service,A|N,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
service-charge,1,2958,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
simple-minded,1,3043,hyphenated,exact,simple-minded,a,2,exact,simple-minded,exact,simple-minded,A,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
sister-in-law,1,3055,hyphenated,exact,sister-in-law,n,1,exact,sister-in-law,exact,sister-in-law,N,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
smoke-free,1,3096,hyphenated,exact,smoke-free,a,1,none,,none,,,,,none,1,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
so-so,1,3142,hyphenated,exact,so-so,a|r,2,exact,so-so,exact,so-so,v,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
step-mother,1,3225,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
tax-free,1,3364,hyphenated,exact,tax-free,a,1,none,,none,,,,,none,1,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
trolley-bus,1,3540,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
twenty-first,1,3566,hyphenated,exact,twenty-first,a,1,none,,exact,twenty-first,A,,,none,2,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
twenty-one,1,3567,hyphenated,exact,twenty-one,a|n,3,exact,twenty-one,exact,twenty-one,N,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
warm-hearted,1,3717,hyphenated,none,,,0,exact,warm-hearted,exact,warm-hearted,A,,,none,2,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
well-known,1,3755,hyphenated,exact,well-known,a,2,exact,well-known,exact,well-known,A,,,none,3,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
world-famous,1,3829,hyphenated,none,,,0,none,,none,,,,,none,0,hyphenated_form_review,连字符形式可能有开放式、闭合式等变体，需确定规范词形
