word,relevance_score,relevance_recommendation,bnc_rank,contemporary_rank,oewn_pos,oewn_lexicographer_classes,theme_candidates,theme_assignment_status,independent_inclusion_reason,final_status
alcoholic,7,frequency_supported_extension,7952,7755,a|n,adj.all|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 7952；当代语料 7755；评分 7/9）,priority_candidate_needs_semantic_review
algebra,5,secondary_relevance_review,16477,12790,n,noun.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持中等（BNC 16477；当代语料 12790；评分 5/9）,pending_theme_review
alike,9,frequency_supported_extension,4989,4389,a|r,adj.all|adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 4989；当代语料 4389；评分 9/9）,priority_candidate_needs_semantic_review
allergic,6,secondary_relevance_review,14426,9143,a,adj.all|adj.pert,一般阅读,machine_candidate_needs_review,独立语料频率支持中等（BNC 14426；当代语料 9143；评分 6/9）,pending_theme_review
alley,8,frequency_supported_extension,6528,4340,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 6528；当代语料 4340；评分 8/9）,priority_candidate_needs_semantic_review
allocate,8,frequency_supported_extension,3035,6763,v,verb.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3035；当代语料 6763；评分 8/9）,priority_candidate_needs_semantic_review
allowance,8,frequency_supported_extension,2481,7677,n|v,noun.act|noun.attribute|noun.possession|verb.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2481；当代语料 7677；评分 8/9）,priority_candidate_needs_semantic_review
alphabet,6,secondary_relevance_review,11157,9190,n,noun.cognition|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 11157；当代语料 9190；评分 6/9）,pending_theme_review
altitude,7,frequency_supported_extension,8085,6370,n,noun.attribute|noun.relation|noun.shape,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 8085；当代语料 6370；评分 7/9）,priority_candidate_needs_semantic_review
aluminium,5,secondary_relevance_review,5580,32731,n,noun.substance,人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 5580；当代语料 32731；评分 5/9）,pending_theme_review
amaze,6,secondary_relevance_review,11151,8607,v,verb.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持中等（BNC 11151；当代语料 8607；评分 6/9）,pending_theme_review
ambassador,9,frequency_supported_extension,4614,4520,n,noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4614；当代语料 4520；评分 9/9）,priority_candidate_needs_semantic_review
ambiguous,7,frequency_supported_extension,6442,7071,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 6442；当代语料 7071；评分 7/9）,priority_candidate_needs_semantic_review
ample,7,frequency_supported_extension,6351,6289,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 6351；当代语料 6289；评分 7/9）,priority_candidate_needs_semantic_review
amusement,7,frequency_supported_extension,5357,6732,n,noun.act|noun.feeling,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5357；当代语料 6732；评分 7/9）,priority_candidate_needs_semantic_review
analysis,9,frequency_supported_extension,707,811,n,noun.act|noun.cognition|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 707；当代语料 811；评分 9/9）,priority_candidate_needs_semantic_review
anchor,8,frequency_supported_extension,7686,4961,n|v,noun.artifact|noun.cognition|noun.person|verb.contact,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 7686；当代语料 4961；评分 8/9）,priority_candidate_needs_semantic_review
anecdote,7,frequency_supported_extension,9719,8925,n,noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 9719；当代语料 8925；评分 7/9）,priority_candidate_needs_semantic_review
anniversary,9,frequency_supported_extension,3440,3374,n,noun.time,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3440；当代语料 3374；评分 9/9）,priority_candidate_needs_semantic_review
announcement,9,frequency_supported_extension,2825,3604,n,noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2825；当代语料 3604；评分 9/9）,priority_candidate_needs_semantic_review
apology,9,frequency_supported_extension,4950,4944,n,noun.cognition|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4950；当代语料 4944；评分 9/9）,priority_candidate_needs_semantic_review
apparent,9,frequency_supported_extension,1770,2502,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 1770；当代语料 2502；评分 9/9）,priority_candidate_needs_semantic_review
appearance,9,frequency_supported_extension,1435,1684,n,noun.act|noun.attribute|noun.cognition|noun.event,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1435；当代语料 1684；评分 9/9）,priority_candidate_needs_semantic_review
appendix,7,frequency_supported_extension,3748,12249,n,noun.body|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3748；当代语料 12249；评分 7/9）,priority_candidate_needs_semantic_review
appoint,9,frequency_supported_extension,1272,3172,v,verb.possession|verb.social,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1272；当代语料 3172；评分 9/9）,priority_candidate_needs_semantic_review
appreciation,9,frequency_supported_extension,4701,4322,n,noun.act|noun.cognition|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4701；当代语料 4322；评分 9/9）,priority_candidate_needs_semantic_review
approximately,9,frequency_supported_extension,2850,2365,r,adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 2850；当代语料 2365；评分 9/9）,priority_candidate_needs_semantic_review
apron,7,frequency_supported_extension,8011,8084,n,noun.artifact|noun.location,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 8011；当代语料 8084；评分 7/9）,priority_candidate_needs_semantic_review
arbitrary,7,frequency_supported_extension,5353,7545,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 5353；当代语料 7545；评分 7/9）,priority_candidate_needs_semantic_review
architecture,9,frequency_supported_extension,2712,3509,n,noun.act|noun.artifact|noun.attribute|noun.cognition,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2712；当代语料 3509；评分 9/9）,priority_candidate_needs_semantic_review
argument,9,frequency_supported_extension,832,1185,n,noun.cognition|noun.communication,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 832；当代语料 1185；评分 9/9）,priority_candidate_needs_semantic_review
arithmetic,6,secondary_relevance_review,8791,11378,a|n,adj.pert|noun.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持中等（BNC 8791；当代语料 11378；评分 6/9）,pending_theme_review
armchair,7,frequency_supported_extension,5766,9757,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5766；当代语料 9757；评分 7/9）,priority_candidate_needs_semantic_review
arrange,9,frequency_supported_extension,1324,2216,v,verb.body|verb.cognition|verb.communication|verb.contact|verb.creation,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 1324；当代语料 2216；评分 9/9）,priority_candidate_needs_semantic_review
arrival,9,frequency_supported_extension,2281,3194,n,noun.act|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2281；当代语料 3194；评分 9/9）,priority_candidate_needs_semantic_review
ash,9,frequency_supported_extension,4713,4577,n|v,noun.plant|noun.substance|verb.change,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4713；当代语料 4577；评分 9/9）,priority_candidate_needs_semantic_review
assessment,9,frequency_supported_extension,1249,1552,n,noun.act|noun.attribute|noun.cognition|noun.possession,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1249；当代语料 1552；评分 9/9）,priority_candidate_needs_semantic_review
assist,9,frequency_supported_extension,2162,2475,n|v,noun.act|verb.social,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2162；当代语料 2475；评分 9/9）,priority_candidate_needs_semantic_review
assistance,9,frequency_supported_extension,2096,2081,n,noun.act|noun.attribute|noun.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2096；当代语料 2081；评分 9/9）,priority_candidate_needs_semantic_review
associate,9,frequency_supported_extension,1216,1354,a|n|v,adj.all|noun.communication|noun.event|noun.person|verb.cognition|verb.social,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 1216；当代语料 1354；评分 9/9）,priority_candidate_needs_semantic_review
astronomy,6,secondary_relevance_review,10702,6469,n,noun.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持中等（BNC 10702；当代语料 6469；评分 6/9）,pending_theme_review
athletic,8,frequency_supported_extension,8781,2981,a,adj.all|adj.pert,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 8781；当代语料 2981；评分 8/9）,priority_candidate_needs_semantic_review
athletics,7,frequency_supported_extension,9290,8574,n,noun.act|noun.event,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 9290；当代语料 8574；评分 7/9）,priority_candidate_needs_semantic_review
atom,8,frequency_supported_extension,4241,5184,n,noun.substance,人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4241；当代语料 5184；评分 8/9）,priority_candidate_needs_semantic_review
attentively,5,secondary_relevance_review,19677,18857,r,adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持中等（BNC 19677；当代语料 18857；评分 5/9）,pending_theme_review
attraction,9,frequency_supported_extension,3108,3800,n,noun.attribute|noun.cognition|noun.communication|noun.person|noun.phenomenon,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3108；当代语料 3800；评分 9/9）,priority_candidate_needs_semantic_review
attractive,9,frequency_supported_extension,1781,2811,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 1781；当代语料 2811；评分 9/9）,priority_candidate_needs_semantic_review
authentic,8,frequency_supported_extension,6476,5000,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 6476；当代语料 5000；评分 8/9）,priority_candidate_needs_semantic_review
avenue,8,frequency_supported_extension,3634,5320,n,noun.act|noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3634；当代语料 5320；评分 8/9）,priority_candidate_needs_semantic_review
bachelor,7,frequency_supported_extension,8615,6130,n|v,noun.person|verb.stative,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 8615；当代语料 6130；评分 7/9）,priority_candidate_needs_semantic_review
backache,3,hold_without_more_evidence,22814,29373,n,noun.state,一般阅读,machine_candidate_needs_review,独立语料频率支持不足（BNC 22814；当代语料 29373；评分 3/9）,hold
bacterium,4,secondary_relevance_review,4650,,n,noun.animal,人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 4650；当代语料 无有效排名；评分 4/9）,pending_theme_review
badly,9,frequency_supported_extension,2078,3111,r,adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 2078；当代语料 3111；评分 9/9）,priority_candidate_needs_semantic_review
baggage,7,frequency_supported_extension,8801,7286,n,noun.artifact|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 8801；当代语料 7286；评分 7/9）,priority_candidate_needs_semantic_review
bake,8,frequency_supported_extension,6122,2810,v,verb.change|verb.creation|verb.stative,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 6122；当代语料 2810；评分 8/9）,priority_candidate_needs_semantic_review
balcony,7,frequency_supported_extension,5402,5799,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5402；当代语料 5799；评分 7/9）,priority_candidate_needs_semantic_review
ballpoint,3,hold_without_more_evidence,26210,24069,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 26210；当代语料 24069；评分 3/9）,hold
bandage,6,secondary_relevance_review,10433,9428,n|v,noun.artifact|verb.body|verb.contact,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 10433；当代语料 9428；评分 6/9）,pending_theme_review
bang,8,frequency_supported_extension,4572,5069,n|r|v,adv.all|noun.act|noun.body|noun.event|noun.feeling|verb.contact|verb.motion|verb.perception,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4572；当代语料 5069；评分 8/9）,priority_candidate_needs_semantic_review
barber,6,secondary_relevance_review,12564,9131,n|v,noun.person|verb.body,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 12564；当代语料 9131；评分 6/9）,pending_theme_review
barbershop,2,hold_without_more_evidence,,16205,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 无有效排名；当代语料 16205；评分 2/9）,hold
bare,9,frequency_supported_extension,3196,3430,a|v,adj.all|verb.change|verb.communication|verb.contact,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3196；当代语料 3430；评分 9/9）,priority_candidate_needs_semantic_review
bargain,9,frequency_supported_extension,4926,4962,n|v,noun.communication|noun.possession|verb.communication|verb.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4926；当代语料 4962；评分 9/9）,priority_candidate_needs_semantic_review
basement,8,frequency_supported_extension,5987,3598,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5987；当代语料 3598；评分 8/9）,priority_candidate_needs_semantic_review
bathe,7,frequency_supported_extension,8777,7550,n|v,noun.act|verb.body|verb.contact|verb.motion,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 8777；当代语料 7550；评分 7/9）,priority_candidate_needs_semantic_review
bathrobe,4,secondary_relevance_review,33266,13547,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 33266；当代语料 13547；评分 4/9）,pending_theme_review
bathtub,5,secondary_relevance_review,34329,9766,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 34329；当代语料 9766；评分 5/9）,pending_theme_review
beam,9,frequency_supported_extension,3945,3741,n|v,noun.artifact|noun.attribute|noun.communication|noun.phenomenon|verb.body|verb.communication|verb.emotion|verb.perception|verb.weather,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3945；当代语料 3741；评分 9/9）,priority_candidate_needs_semantic_review
beast,9,frequency_supported_extension,4515,4428,n,noun.Tops|noun.person,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 4515；当代语料 4428；评分 9/9）,priority_candidate_needs_semantic_review
bedclothes,0,hold_without_more_evidence,,,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 无有效排名；当代语料 无有效排名；评分 0/9）,hold
bee,9,frequency_supported_extension,4770,4247,n,noun.animal|noun.group,人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 4770；当代语料 4247；评分 9/9）,priority_candidate_needs_semantic_review
beehive,5,secondary_relevance_review,19831,17858,n,noun.artifact|noun.body|noun.object,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 19831；当代语料 17858；评分 5/9）,pending_theme_review
beg,9,frequency_supported_extension,3537,3452,v,verb.communication|verb.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 3537；当代语料 3452；评分 9/9）,priority_candidate_needs_semantic_review
beginning,9,frequency_supported_extension,1242,1200,a|n,adj.all|noun.act|noun.cognition|noun.event|noun.location|noun.time,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 1242；当代语料 1200；评分 9/9）,priority_candidate_needs_semantic_review
belly,8,frequency_supported_extension,5691,3805,n|v,noun.animal|noun.body|noun.location|noun.shape|verb.change,人与自我|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 5691；当代语料 3805；评分 8/9）,priority_candidate_needs_semantic_review
bench,9,frequency_supported_extension,2942,2782,n|v,noun.artifact|noun.group|noun.object|verb.competition|verb.perception|verb.social,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 2942；当代语料 2782；评分 9/9）,priority_candidate_needs_semantic_review
beneficial,9,frequency_supported_extension,4578,4991,a,adj.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 4578；当代语料 4991；评分 9/9）,priority_candidate_needs_semantic_review
bent,5,secondary_relevance_review,14388,12145,a|n,adj.all|noun.cognition|noun.location|noun.plant,人与自我|人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 14388；当代语料 12145；评分 5/9）,pending_theme_review
besides,9,frequency_supported_extension,3848,3012,r,adv.all,一般阅读,machine_candidate_needs_review,独立语料频率支持较强（BNC 3848；当代语料 3012；评分 9/9）,priority_candidate_needs_semantic_review
betray,8,frequency_supported_extension,6030,4974,v,verb.communication|verb.emotion|verb.social,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 6030；当代语料 4974；评分 8/9）,priority_candidate_needs_semantic_review
bid,9,frequency_supported_extension,2359,4069,n|v,noun.act|noun.communication|verb.communication|verb.possession,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2359；当代语料 4069；评分 9/9）,priority_candidate_needs_semantic_review
bingo,5,secondary_relevance_review,12087,15245,n,noun.act,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 12087；当代语料 15245；评分 5/9）,pending_theme_review
biochemistry,5,secondary_relevance_review,16248,17884,n,noun.cognition,人与自我,machine_candidate_needs_review,独立语料频率支持中等（BNC 16248；当代语料 17884；评分 5/9）,pending_theme_review
biography,8,frequency_supported_extension,5647,4875,n,noun.communication,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 5647；当代语料 4875；评分 8/9）,priority_candidate_needs_semantic_review
birdcage,2,hold_without_more_evidence,44688,32730,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 44688；当代语料 32730；评分 2/9）,hold
birthplace,5,secondary_relevance_review,11609,11526,n,noun.location,人与自然,machine_candidate_needs_review,独立语料频率支持中等（BNC 11609；当代语料 11526；评分 5/9）,pending_theme_review
bishop,9,frequency_supported_extension,2221,3437,n,noun.artifact|noun.food|noun.person,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 2221；当代语料 3437；评分 9/9）,priority_candidate_needs_semantic_review
boating,4,secondary_relevance_review,21636,15104,n,noun.act,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 21636；当代语料 15104；评分 4/9）,pending_theme_review
bookcase,5,secondary_relevance_review,15277,12527,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 15277；当代语料 12527；评分 5/9）,pending_theme_review
bookmark,3,hold_without_more_evidence,27606,20965,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持不足（BNC 27606；当代语料 20965；评分 3/9）,hold
bookshelf,4,secondary_relevance_review,22136,11170,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 22136；当代语料 11170；评分 4/9）,pending_theme_review
bookstore,5,secondary_relevance_review,33117,6186,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 33117；当代语料 6186；评分 5/9）,pending_theme_review
boom,9,frequency_supported_extension,3920,3171,n|v,noun.artifact|noun.event|noun.state|verb.change|verb.contact|verb.perception|verb.weather,人与自我|人与社会|人与自然,machine_candidate_needs_review,独立语料频率支持较强（BNC 3920；当代语料 3171；评分 9/9）,priority_candidate_needs_semantic_review
booth,8,frequency_supported_extension,9834,4300,n,noun.artifact,人与社会,machine_candidate_needs_review,独立语料频率支持较强（BNC 9834；当代语料 4300；评分 8/9）,priority_candidate_needs_semantic_review
botany,4,secondary_relevance_review,15909,20491,n,noun.cognition|noun.group,人与自我|人与社会,machine_candidate_needs_review,独立语料频率支持中等（BNC 15909；当代语料 20491；评分 4/9）,pending_theme_review
