sequence,record_id,word,variants,dataset_layer,curriculum_level,parts_of_speech,definitions_zh,selected_source_sense_ids,oewn_match_status,definition_method,qa_status,qa_notes
31,release-word-0031,acknowledge,,curriculum,high_school_selective_compulsory,verb,verb：承认；确认；答谢,acknowledge%2:32:00:: | acknowledge%2:32:01:: | acknowledge%2:32:04::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
32,release-word-0032,acquire,,curriculum,high_school_compulsory,verb,verb：获得；取得；学到,acquire%2:40:00:: | acquire%2:31:00:: | acquire%2:30:05::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
33,release-word-0033,across,,curriculum,compulsory_education,preposition; adverb,preposition：横过；在……对面；遍及 | adverb：从一边到另一边；在对面,across%4:02:01:: | across%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,补充中学阶段常用介词用法。
34,release-word-0034,act,,curriculum,compulsory_education,noun; verb,noun：行为；行动；法案；（戏剧的）一幕 | verb：行动；表现；扮演,act%1:03:00:: | act%1:10:00:: | act%2:41:00:: | act%2:29:00:: | act%2:36:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
35,release-word-0035,action,,curriculum,compulsory_education,noun,noun：行动；行为；作用；情节,action%1:04:02:: | action%1:26:00:: | action%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
36,release-word-0036,active,,curriculum,compulsory_education,adjective,adjective：积极的；活跃的；主动的；在运行的,active%3:00:03:: | active%5:00:00:involved:00 | active%3:00:01:: | active%5:00:00:existent:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
37,release-word-0037,activity,,curriculum,compulsory_education,noun,noun：活动；活跃状态,activity%1:04:00:: | activity%1:26:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
38,release-word-0038,actor,,curriculum,compulsory_education,noun,noun：演员；行动者,actor%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
39,release-word-0039,actress,,curriculum,compulsory_education,noun,noun：女演员,actress%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
40,release-word-0040,actually,,curriculum,high_school_compulsory,adverb,adverb：实际上；事实上；的确,actually%4:02:01:: | actually%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
41,release-word-0041,AD,,curriculum,high_school_selective_compulsory,adverb,adverb：公元（用于公元纪年）,ad%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
42,release-word-0042,adapt,,curriculum,high_school_compulsory,verb,verb：使适应；适应；改编,adapt%2:30:01:: | adapt%2:30:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
43,release-word-0043,adaptation,,curriculum,high_school_selective_compulsory,noun,noun：适应；改编；改编作品,adaptation%1:10:00:: | adaptation%1:22:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
44,release-word-0044,add,,curriculum,compulsory_education,verb,verb：添加；增加；补充说；相加,add%2:30:00:: | add%2:32:01:: | add%2:31:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
45,release-word-0045,addict,,curriculum,high_school_compulsory,noun; verb,noun：成瘾者；入迷的人 | verb：使上瘾；使沉迷,addict%1:18:00:: | addict%1:18:01:: | addict%2:34:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
46,release-word-0046,addition,,curriculum,high_school_compulsory,noun,noun：增加；添加物；加法,addition%1:04:02:: | addition%1:21:00:: | addition%1:04:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
47,release-word-0047,address,,curriculum,compulsory_education,noun; verb,noun：地址；演说；称呼 | verb：写地址；向……讲话；处理（问题）,address%1:15:00:: | address%1:10:00:: | address%1:10:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
48,release-word-0048,adjust,,curriculum,high_school_selective_compulsory,verb,verb：调整；调节；适应,adjust%2:30:00:: | adjust%2:30:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
49,release-word-0049,administration,,curriculum,high_school_selective_compulsory,noun,noun：管理；行政；管理部门；政府,administration%1:04:00:: | administration%1:14:00:: | administration%1:04:04::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
50,release-word-0050,admire,,curriculum,high_school_compulsory,verb,verb：钦佩；赞赏；欣赏,admire%2:37:00:: | admire%2:39:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
51,release-word-0051,admit,,curriculum,high_school_compulsory,verb,verb：承认；准许进入；接纳,admit%2:32:00:: | admit%2:41:01:: | admit%2:41:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
52,release-word-0052,adopt,,curriculum,high_school_selective_compulsory,verb,verb：采用；采纳；收养,adopt%2:40:02:: | adopt%2:40:00:: | adopt%2:30:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
53,release-word-0053,adorable,,curriculum,high_school_selective_compulsory,adjective,adjective：可爱的；讨人喜爱的,adorable%5:00:00:lovable:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
54,release-word-0054,adult,,curriculum,high_school_compulsory,noun; adjective,noun：成年人；成年动物 | adjective：成年的；成人的,adult%5:00:00:mature:01 | adult%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
55,release-word-0055,advance,,curriculum,high_school_compulsory,noun; verb; adjective,noun：前进；进步；预付款 | verb：前进；推进；促进 | adjective：预先的；先行的,advance%1:11:00:: | advance%1:11:01:: | advance%1:21:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
56,release-word-0056,advantage,,curriculum,compulsory_education,noun; verb,noun：优势；有利条件；好处 | verb：使处于有利地位,advantage%1:07:00:: | advantage%1:07:01:: | advantage%2:41:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
57,release-word-0057,adventure,,curriculum,high_school_compulsory,noun; verb,noun：冒险；奇遇 | verb：冒险,adventure%1:04:00:: | adventure%2:41:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
58,release-word-0058,advertise,,curriculum,high_school_selective_compulsory,verb,verb：做广告；宣传；公布,advertise%2:32:01:: | advertise%2:32:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
59,release-word-0059,advertisement,ad,curriculum,high_school_selective_compulsory,noun,noun：广告；启事,advertisement%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
60,release-word-0060,advice,,curriculum,compulsory_education,noun,noun：建议；忠告,advice%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
61,release-word-0061,advise,,curriculum,compulsory_education,verb,verb：建议；劝告；通知,advise%2:32:00:: | advise%2:32:01:: | advise%2:32:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
62,release-word-0062,advocate,,curriculum,high_school_selective_compulsory,noun; verb,noun：拥护者；倡导者 | verb：提倡；主张；拥护,advocate%1:18:00:: | advocate%2:32:00:: | advocate%2:32:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
63,release-word-0063,affair,,curriculum,high_school_compulsory,noun,noun：事情；事务；事件；正式活动,affair%1:09:00:: | affair%1:11:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
64,release-word-0064,affect,,curriculum,high_school_selective_compulsory,verb,verb：影响；使感动,affect%2:30:00:: | affect%2:37:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
65,release-word-0065,afford,,curriculum,compulsory_education,verb,verb：买得起；承担得起；提供,afford%2:34:00:: | afford%2:42:00:: | afford%2:40:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
66,release-word-0066,afraid,,curriculum,compulsory_education,adjective,adjective：害怕的；担心的；不愿意的,afraid%3:00:00:: | afraid%5:00:02:concerned:00 | afraid%5:00:00:disinclined:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
67,release-word-0067,Africa,,curriculum,compulsory_education,proper_noun,proper_noun：非洲,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,通用地理专名；OEWN 无对应候选义项，未使用旧词表释义。
68,release-word-0068,African,,curriculum,compulsory_education,adjective; noun,adjective：非洲的；非洲人的 | noun：非洲人,african%3:01:00:: | african%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
69,release-word-0069,after,,curriculum,compulsory_education,preposition; conjunction; adverb; adjective,preposition：在……之后；在……后面 | conjunction：在……以后 | adverb：后来；以后 | adjective：后来的,after%4:02:01:: | after%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,补充中学阶段常用介词和连词用法。
70,release-word-0070,afternoon,,curriculum,compulsory_education,noun,noun：下午；午后,afternoon%1:28:00:: | afternoon%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
71,release-word-0071,afterward,,curriculum,high_school_selective_compulsory,adverb,adverb：后来；以后,afterward%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
72,release-word-0072,again,,curriculum,compulsory_education,adverb,adverb：再一次；又；重新,again%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
73,release-word-0073,against,,curriculum,compulsory_education,preposition,preposition：反对；倚靠；与……竞争；以……为背景；防备,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,按课标中的常用介词用法补充；OEWN 无对应候选义项。
74,release-word-0074,age,,curriculum,compulsory_education,noun; verb,noun：年龄；时代；时期 | verb：变老；使老化,age%1:07:00:: | age%1:28:00:: | age%1:28:02:: | age%2:30:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
75,release-word-0075,agency,,curriculum,high_school_selective_compulsory,noun,noun：机构；代理处；政府部门,agency%1:14:00:: | agency%1:14:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
76,release-word-0076,agenda,,curriculum,high_school_selective_compulsory,noun,noun：议程；待办事项,agenda%1:09:00:: | agenda%1:10:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
77,release-word-0077,ago,,curriculum,compulsory_education,adverb,adverb：以前；……之前,ago%5:00:00:past:00 | ago%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
78,release-word-0078,agree,,curriculum,compulsory_education,verb,verb：同意；赞成；一致；相符,agree%2:32:00:: | agree%2:32:01:: | agree%2:42:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
79,release-word-0079,agreement,,curriculum,compulsory_education,noun,noun：协议；同意；一致,agreement%1:10:01:: | agreement%1:26:01:: | agreement%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
80,release-word-0080,agriculture,,curriculum,high_school_compulsory,noun,noun：农业；农学,agriculture%1:04:00:: | agriculture%1:04:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
81,release-word-0081,ahead,,curriculum,high_school_compulsory,adverb; adjective,adverb：在前面；向前；提前；领先 | adjective：领先的,ahead%4:02:00:: | ahead%4:02:06:: | ahead%4:02:02:: | ahead%5:00:00:up:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
82,release-word-0082,aid,,curriculum,high_school_compulsory,noun; verb,noun：帮助；援助；辅助物 | verb：帮助；援助,aid%1:04:00:: | aid%1:21:00:: | aid%2:41:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
83,release-word-0083,aim,,curriculum,high_school_compulsory,noun; verb,noun：目标；目的；瞄准 | verb：瞄准；旨在；力求,aim%1:09:00:: | aim%1:09:01:: | aim%1:04:00:: | aim%2:33:00:: | aim%2:31:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
84,release-word-0084,air,,curriculum,compulsory_education,noun; verb,noun：空气；空中；神态；广播 | verb：播出；晾晒；表达,air%1:27:00:: | air%1:15:00:: | air%1:07:00:: | air%1:10:02::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
85,release-word-0085,airline,,curriculum,high_school_selective_compulsory,noun,noun：航空公司；航线,airline%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
86,release-word-0086,airport,,curriculum,compulsory_education,noun,noun：机场；航空站,airport%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
87,release-word-0087,alarm,,curriculum,high_school_compulsory,noun; verb,noun：惊恐；警报；闹钟 | verb：使惊恐；向……报警,alarm%1:12:00:: | alarm%1:06:00:: | alarm%1:10:00:: | alarm%2:37:00:: | alarm%2:32:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
88,release-word-0088,alcohol,,curriculum,high_school_selective_compulsory,noun,noun：酒精；含酒精饮料,alcohol%1:13:00:: | alcohol%1:27:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
89,release-word-0089,alive,,curriculum,compulsory_education,adjective,adjective：活着的；有活力的；意识到的,alive%3:00:01:: | alive%5:00:00:lively:00 | alive%5:00:00:aware:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
90,release-word-0090,all,,curriculum,compulsory_education,determiner; pronoun; adverb,determiner：所有的；全部的 | pronoun：全部；所有人或事物 | adverb：完全；全然,all%3:00:00:: | all%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,将 OEWN 的量词形容词标签规范为中学语法中的限定词，并补充代词用法。
91,release-word-0091,allow,,curriculum,compulsory_education,verb,verb：允许；准许；使有可能；留出,allow%2:41:00:: | allow%2:32:00:: | allow%2:42:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
92,release-word-0092,almost,,curriculum,compulsory_education,adverb,adverb：几乎；差不多,almost%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
93,release-word-0093,alone,,curriculum,compulsory_education,adjective; adverb,adjective：独自的；单独的 | adverb：独自；仅仅,alone%5:00:00:unaccompanied:00 | alone%5:00:00:exclusive:00 | alone%4:02:00:: | alone%4:02:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
94,release-word-0094,along,,curriculum,compulsory_education,preposition; adverb,preposition：沿着；顺着 | adverb：向前；一起；沿着,along%4:02:01:: | along%4:02:00:: | along%4:02:04::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,补充中学阶段常用介词用法。
95,release-word-0095,alongside,,curriculum,high_school_selective_compulsory,preposition; adverb,preposition：在……旁边；与……一起 | adverb：在旁边；并排地,alongside%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,补充中学阶段常用介词用法。
96,release-word-0096,aloud,,curriculum,compulsory_education,adverb,adverb：出声地；大声地,aloud%4:02:00:: | aloud%4:02:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
97,release-word-0097,already,,curriculum,compulsory_education,adverb,adverb：已经；早已,already%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
98,release-word-0098,also,,curriculum,compulsory_education,adverb,adverb：也；而且；此外,also%4:02:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
99,release-word-0099,alternative,,curriculum,high_school_selective_compulsory,noun; adjective,noun：可供选择的事物；替代方案 | adjective：可替代的；供选择的；非传统的,alternative%5:00:00:secondary:01 | alternative%5:00:00:disjunctive:00 | alternative%1:09:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
100,release-word-0100,although,,curriculum,compulsory_education,conjunction,conjunction：虽然；尽管；不过,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,按课标中的连词用法补充；OEWN 无对应候选义项。
101,release-word-0101,altogether,,curriculum,high_school_selective_compulsory,adverb,adverb：完全；总共；总的说来,altogether%4:02:04:: | altogether%4:02:00:: | altogether%4:02:03::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,主动排除 OEWN 中非教学常用的名词义。
102,release-word-0102,always,,curriculum,compulsory_education,adverb,adverb：总是；一直；永远,always%4:02:00:: | always%4:02:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
103,release-word-0103,a.m.,,curriculum,high_school_compulsory,noun; adverb,noun：午夜至正午的时段 | adverb：上午；午前,a.m.%1:28:02:: | a.m.%4:02:03::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
104,release-word-0104,amateur,,curriculum,high_school_selective_compulsory,noun; adjective,noun：业余爱好者；业余运动员 | adjective：业余的；不熟练的,amateur%1:18:00:: | amateur%1:18:01:: | amateur%5:00:00:nonprofessional:00 | amateur%5:00:01:unprofessional:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
105,release-word-0105,amazing,,curriculum,high_school_compulsory,adjective,adjective：令人惊奇的；了不起的,amazing%5:00:00:surprising:00 | amazing%5:00:00:impressive:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
106,release-word-0106,ambition,,curriculum,high_school_selective_compulsory,noun,noun：抱负；雄心；渴望,ambition%1:12:00:: | ambition%1:07:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
107,release-word-0107,ambitious,,curriculum,high_school_selective_compulsory,adjective,adjective：有抱负的；雄心勃勃的；要求高的,ambitious%3:00:00:: | ambitious%5:00:00:difficult:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
108,release-word-0108,ambulance,,curriculum,high_school_selective_compulsory,noun,noun：救护车,ambulance%1:06:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
109,release-word-0109,America,,curriculum,compulsory_education,proper_noun,proper_noun：美国；美洲,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,通用国家和洲名；OEWN 无对应候选义项，未使用旧词表释义。
110,release-word-0110,American,,curriculum,compulsory_education,adjective; noun,adjective：美国的；美洲的 | noun：美国人；美洲人,american%3:01:01:: | american%3:01:00:: | american%1:18:00:: | american%1:18:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
111,release-word-0111,among,,curriculum,compulsory_education,preposition,preposition：在……之中；在……之间；为……所共有,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,按课标中的常用介词用法补充；OEWN 无对应候选义项。
112,release-word-0112,amount,,curriculum,high_school_compulsory,noun; verb,noun：数量；数额；总数 | verb：总计；等同于,amount%1:03:00:: | amount%1:21:00:: | amount%2:42:01:: | amount%2:42:03::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
113,release-word-0113,amuse,,curriculum,high_school_selective_compulsory,verb,verb：逗乐；使娱乐,amuse%2:41:00:: | amuse%2:32:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
114,release-word-0114,analyse,analyze,curriculum,high_school_selective_compulsory,verb,verb：分析；分解研究,analyse%2:31:00:: | analyse%2:31:04::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
115,release-word-0115,ancestor,,curriculum,high_school_selective_compulsory,noun,noun：祖先；祖宗,ancestor%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
116,release-word-0116,ancient,,curriculum,compulsory_education,adjective; noun,adjective：古代的；古老的 | noun：古人,ancient%5:00:00:past:00 | ancient%5:00:00:old:02 | ancient%1:18:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
117,release-word-0117,and,,curriculum,compulsory_education,conjunction,conjunction：和；与；而且；然后,,no_oewn_match,AI_drafted_from_open_source_semantics,automated_checks_passed,按课标中的并列连词用法补充；OEWN 无对应候选义项。
118,release-word-0118,anger,,curriculum,high_school_selective_compulsory,noun; verb,noun：愤怒；怒气 | verb：使生气；发怒,anger%1:12:00:: | anger%1:26:00:: | anger%2:37:00:: | anger%2:37:01::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
119,release-word-0119,angle,,curriculum,high_school_selective_compulsory,noun; verb,noun：角；角度；观点 | verb：使成角度；斜移,angle%1:25:00:: | angle%1:09:00:: | angle%2:38:01:: | angle%2:38:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
120,release-word-0120,angry,,curriculum,compulsory_education,adjective,adjective：生气的；愤怒的,angry%3:00:00::,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
121,release-word-0121,animal,,curriculum,compulsory_education,noun; adjective,noun：动物 | adjective：动物的；肉体的,animal%1:03:00:: | animal%5:00:00:physical:00,exact_headword,AI_drafted_from_open_source_semantics,automated_checks_passed,
