record_id	phrase	meaning_zh	usage_note_zh	example_en	example_zh	content_method	qa_status	human_review_claimed
PH-C4-0081	rack up	大量获得；累积	非正式用语，常指累积得分、债务、费用或成就。	The new train service continues to rack up operating losses.	新的列车服务持续累积运营亏损。	original_project_authored	draft_auto_validated	false
PH-C4-0082	shrug off	对某事不予理会；摆脱	表示认为某事不重要而忽略，也可指摆脱疾病或负面影响。	She tried to shrug off the criticism and focus on her work.	她努力不理会批评，专注于自己的工作。	original_project_authored	draft_auto_validated	false
PH-C4-0083	spill over	外溢；波及	可指液体溢出容器，也可表示问题、冲突或影响扩展到其他领域。	The dispute could spill over into neighboring regions.	这场争端可能会波及邻近地区。	original_project_authored	draft_auto_validated	false
PH-C4-0084	spin out	拖长；失控旋转	可表示使过程持续过久，也可指车辆打转失控。	The lawyers tried to spin out the negotiations for another week.	律师们试图把谈判再拖延一周。	original_project_authored	draft_auto_validated	false
PH-C4-0085	stir up	激起；挑起；搅动	可表示引发麻烦或强烈情绪，也可按字面搅动沉积物。	Careless comments can stir up unnecessary conflict.	草率的评论可能会挑起不必要的冲突。	original_project_authored	draft_auto_validated	false
PH-C4-0086	straighten out	理顺；解决；弄直	可表示解决混乱或误会，也可指把弯曲物弄直。	A brief meeting should straighten out the misunderstanding.	一次简短的会面应该能消除误会。	original_project_authored	draft_auto_validated	false
PH-C4-0087	straighten up	整理；站直	可表示把房间收拾整齐，也可指改善姿势。	Please straighten up the classroom before the visitors arrive.	访客到来前请整理好教室。	original_project_authored	draft_auto_validated	false
PH-C4-0088	swear off	发誓不再使用或做某事	后接要戒除的物品或习惯，表示郑重决定停止。	After the sleepless night, he decided to swear off late coffee.	经历了失眠的一夜后，他决定发誓不再深夜喝咖啡。	original_project_authored	draft_auto_validated	false
PH-C4-0089	tide over	帮助渡过难关	表示提供暂时的金钱、物资或支持，使人撑过困难时期，宾语通常放在 tide 与 over 之间。	This small loan should tide the shop over until sales improve.	这笔小额贷款应该能帮助商店撑到销售好转。	original_project_authored	draft_auto_validated	false
PH-C4-0090	toss off	迅速完成；随手丢开	非正式用语，可表示不费力地完成作品，也可表示随手扔掉或快速喝下。	An experienced writer may toss off a short review in an hour.	经验丰富的作家可能一小时就能迅速写完一篇短评。	original_project_authored	draft_auto_validated	false
PH-C4-0091	ally with	与某人或组织结盟	后接合作的个人、团体或国家，表示为共同目标建立联盟。	The smaller parties may ally with one another after the election.	较小的政党可能在选举后相互结盟。	original_project_authored	draft_auto_validated	false
PH-C4-0092	bang out	迅速写出或演奏；敲出	非正式用语，表示快速而用力地完成文字或音乐。	She can bang out a clear first draft before lunch.	她能在午饭前迅速写出一份清楚的初稿。	original_project_authored	draft_auto_validated	false
PH-C4-0093	bargain down	把价格讲低	表示通过讨价还价使卖方接受更低价格。	The buyer managed to bargain down the price of the used bicycle.	买方成功把这辆二手自行车的价格讲低了。	original_project_authored	draft_auto_validated	false
PH-C4-0094	beat a retreat	撤退；退出	表示迅速离开危险或尴尬局面，语气可正式也可幽默。	The hikers had to beat a retreat when the storm approached.	暴风雨临近时，徒步者不得不撤退。	original_project_authored	draft_auto_validated	false
PH-C4-0095	bend over backwards	竭尽全力	非正式表达，表示为帮助或取悦某人付出格外努力。	The staff bend over backwards to make every visitor feel welcome.	工作人员竭尽全力让每位访客感到宾至如归。	original_project_authored	draft_auto_validated	false
PH-C4-0096	breeze through	轻松通过；毫不费力地完成	表示快速、顺利地完成考试、任务或过程。	With careful preparation, she was able to breeze through the interview.	经过认真准备，她轻松通过了面试。	original_project_authored	draft_auto_validated	false
PH-C4-0097	bring forth	产生；提出；使出现	较正式用语，可表示产生结果、提出想法或使某物出现。	Open discussion can bring forth unexpected solutions.	开放的讨论能够产生意想不到的解决方案。	original_project_authored	draft_auto_validated	false
PH-C4-0098	bubble over	充满强烈情绪；沸溢	常与 with 连用，表示情绪强烈到明显流露，也可按字面指液体溢出。	The children began to bubble over with excitement before the trip.	旅行前，孩子们兴奋得难以抑制。	original_project_authored	draft_auto_validated	false
PH-C4-0099	bubble up	冒泡上升；涌现	可表示气泡或液体升到表面，也可比喻想法或情绪出现。	New questions often bubble up during an open discussion.	开放讨论中经常会涌现新的问题。	original_project_authored	draft_auto_validated	false
PH-C4-0100	buckle under	屈服；承受不住	常与 under pressure 连用，表示在压力或重负下让步或崩溃。	The committee refused to buckle under political pressure.	委员会拒绝在政治压力下屈服。	original_project_authored	draft_auto_validated	false
