infinitive,slot,form,evidence_type,source
cut,past_tense,cut,same_spelling_irregular_form,project_rule_documentation
cut,past_participle,cut,same_spelling_irregular_form,project_rule_documentation
deal,past_tense,dealt,oewn_verb_exception,Open English WordNet 2025 verb.exc
deal,past_participle,dealt,oewn_verb_exception,Open English WordNet 2025 verb.exc
dig,past_tense,dug,oewn_verb_exception,Open English WordNet 2025 verb.exc
dig,past_participle,dug,oewn_verb_exception,Open English WordNet 2025 verb.exc
do,past_tense,did,oewn_verb_exception,Open English WordNet 2025 verb.exc
do,past_participle,done,oewn_verb_exception,Open English WordNet 2025 verb.exc
draw,past_tense,drew,oewn_verb_exception,Open English WordNet 2025 verb.exc
draw,past_participle,drawn,oewn_verb_exception,Open English WordNet 2025 verb.exc
dream,past_tense,dreamed,productive_regular_variant,project_rule_documentation
dream,past_tense,dreamt,oewn_verb_exception,Open English WordNet 2025 verb.exc
dream,past_participle,dreamed,productive_regular_variant,project_rule_documentation
dream,past_participle,dreamt,oewn_verb_exception,Open English WordNet 2025 verb.exc
drink,past_tense,drank,oewn_verb_exception,Open English WordNet 2025 verb.exc
drink,past_participle,drunk,oewn_verb_exception,Open English WordNet 2025 verb.exc
drive,past_tense,drove,oewn_verb_exception,Open English WordNet 2025 verb.exc
drive,past_participle,driven,oewn_verb_exception,Open English WordNet 2025 verb.exc
eat,past_tense,ate,oewn_verb_exception,Open English WordNet 2025 verb.exc
eat,past_participle,eaten,oewn_verb_exception,Open English WordNet 2025 verb.exc
fall,past_tense,fell,oewn_verb_exception,Open English WordNet 2025 verb.exc
fall,past_participle,fallen,oewn_verb_exception,Open English WordNet 2025 verb.exc
feed,past_tense,fed,oewn_verb_exception,Open English WordNet 2025 verb.exc
feed,past_participle,fed,oewn_verb_exception,Open English WordNet 2025 verb.exc
feel,past_tense,felt,oewn_verb_exception,Open English WordNet 2025 verb.exc
feel,past_participle,felt,oewn_verb_exception,Open English WordNet 2025 verb.exc
fight,past_tense,fought,oewn_verb_exception,Open English WordNet 2025 verb.exc
fight,past_participle,fought,oewn_verb_exception,Open English WordNet 2025 verb.exc
find,past_tense,found,oewn_verb_exception,Open English WordNet 2025 verb.exc
find,past_participle,found,oewn_verb_exception,Open English WordNet 2025 verb.exc
fly,past_tense,flew,oewn_verb_exception,Open English WordNet 2025 verb.exc
fly,past_participle,flown,oewn_verb_exception,Open English WordNet 2025 verb.exc
foresee,past_tense,foresaw,oewn_verb_exception,Open English WordNet 2025 verb.exc
foresee,past_participle,foreseen,oewn_verb_exception,Open English WordNet 2025 verb.exc
forget,past_tense,forgot,oewn_verb_exception,Open English WordNet 2025 verb.exc
forget,past_participle,forgotten,oewn_verb_exception,Open English WordNet 2025 verb.exc
forgive,past_tense,forgave,oewn_verb_exception,Open English WordNet 2025 verb.exc
forgive,past_participle,forgiven,oewn_verb_exception,Open English WordNet 2025 verb.exc
freeze,past_tense,froze,oewn_verb_exception,Open English WordNet 2025 verb.exc
freeze,past_participle,frozen,oewn_verb_exception,Open English WordNet 2025 verb.exc
get,past_tense,got,oewn_verb_exception,Open English WordNet 2025 verb.exc
get,past_participle,got,oewn_verb_exception,Open English WordNet 2025 verb.exc
get,past_participle,gotten,oewn_verb_exception,Open English WordNet 2025 verb.exc
give,past_tense,gave,oewn_verb_exception,Open English WordNet 2025 verb.exc
give,past_participle,given,oewn_verb_exception,Open English WordNet 2025 verb.exc
go,past_tense,went,oewn_verb_exception,Open English WordNet 2025 verb.exc
go,past_participle,gone,oewn_verb_exception,Open English WordNet 2025 verb.exc
grow,past_tense,grew,oewn_verb_exception,Open English WordNet 2025 verb.exc
grow,past_participle,grown,oewn_verb_exception,Open English WordNet 2025 verb.exc
hang,past_tense,hung,oewn_verb_exception,Open English WordNet 2025 verb.exc
hang,past_tense,hanged,productive_regular_variant,project_rule_documentation
hang,past_participle,hung,oewn_verb_exception,Open English WordNet 2025 verb.exc
hang,past_participle,hanged,productive_regular_variant,project_rule_documentation
have,past_tense,had,oewn_verb_exception,Open English WordNet 2025 verb.exc
have,past_participle,had,oewn_verb_exception,Open English WordNet 2025 verb.exc
hear,past_tense,heard,oewn_verb_exception,Open English WordNet 2025 verb.exc
hear,past_participle,heard,oewn_verb_exception,Open English WordNet 2025 verb.exc
hide,past_tense,hid,oewn_verb_exception,Open English WordNet 2025 verb.exc
hide,past_participle,hidden,oewn_verb_exception,Open English WordNet 2025 verb.exc
hit,past_tense,hit,same_spelling_irregular_form,project_rule_documentation
hit,past_participle,hit,same_spelling_irregular_form,project_rule_documentation
hold,past_tense,held,oewn_verb_exception,Open English WordNet 2025 verb.exc
hold,past_participle,held,oewn_verb_exception,Open English WordNet 2025 verb.exc
hurt,past_tense,hurt,same_spelling_irregular_form,project_rule_documentation
hurt,past_participle,hurt,same_spelling_irregular_form,project_rule_documentation
keep,past_tense,kept,oewn_verb_exception,Open English WordNet 2025 verb.exc
keep,past_participle,kept,oewn_verb_exception,Open English WordNet 2025 verb.exc
know,past_tense,knew,oewn_verb_exception,Open English WordNet 2025 verb.exc
know,past_participle,known,oewn_verb_exception,Open English WordNet 2025 verb.exc
lay,past_tense,laid,oewn_verb_exception,Open English WordNet 2025 verb.exc
lay,past_participle,laid,oewn_verb_exception,Open English WordNet 2025 verb.exc
lead,past_tense,led,oewn_verb_exception,Open English WordNet 2025 verb.exc
lead,past_participle,led,oewn_verb_exception,Open English WordNet 2025 verb.exc
learn,past_tense,learned,productive_regular_variant,project_rule_documentation
learn,past_tense,learnt,oewn_verb_exception,Open English WordNet 2025 verb.exc
learn,past_participle,learned,productive_regular_variant,project_rule_documentation
learn,past_participle,learnt,oewn_verb_exception,Open English WordNet 2025 verb.exc
leave,past_tense,left,oewn_verb_exception,Open English WordNet 2025 verb.exc
leave,past_participle,left,oewn_verb_exception,Open English WordNet 2025 verb.exc
lend,past_tense,lent,oewn_verb_exception,Open English WordNet 2025 verb.exc
lend,past_participle,lent,oewn_verb_exception,Open English WordNet 2025 verb.exc
let,past_tense,let,same_spelling_irregular_form,project_rule_documentation
let,past_participle,let,same_spelling_irregular_form,project_rule_documentation
lie,past_tense,lay,oewn_verb_exception,Open English WordNet 2025 verb.exc
lie,past_participle,lain,oewn_verb_exception,Open English WordNet 2025 verb.exc
light,past_tense,lit,oewn_verb_exception,Open English WordNet 2025 verb.exc
light,past_tense,lighted,productive_regular_variant,project_rule_documentation
light,past_participle,lit,oewn_verb_exception,Open English WordNet 2025 verb.exc
light,past_participle,lighted,productive_regular_variant,project_rule_documentation
lose,past_tense,lost,oewn_verb_exception,Open English WordNet 2025 verb.exc
lose,past_participle,lost,oewn_verb_exception,Open English WordNet 2025 verb.exc
make,past_tense,made,oewn_verb_exception,Open English WordNet 2025 verb.exc
make,past_participle,made,oewn_verb_exception,Open English WordNet 2025 verb.exc
may,past_tense,might,historical_modal_form,project_rule_documentation
may,past_participle,,not_applicable_modal,project_usage_analysis
mean,past_tense,meant,oewn_verb_exception,Open English WordNet 2025 verb.exc
mean,past_participle,meant,oewn_verb_exception,Open English WordNet 2025 verb.exc
meet,past_tense,met,oewn_verb_exception,Open English WordNet 2025 verb.exc
meet,past_participle,met,oewn_verb_exception,Open English WordNet 2025 verb.exc
misread,past_tense,misread,same_spelling_irregular_form,project_rule_documentation
misread,past_participle,misread,same_spelling_irregular_form,project_rule_documentation
mistake,past_tense,mistook,oewn_verb_exception,Open English WordNet 2025 verb.exc
mistake,past_participle,mistaken,oewn_verb_exception,Open English WordNet 2025 verb.exc
misunderstand,past_tense,misunderstood,oewn_verb_exception,Open English WordNet 2025 verb.exc
misunderstand,past_participle,misunderstood,oewn_verb_exception,Open English WordNet 2025 verb.exc
must,past_tense,,not_applicable_modal,project_usage_analysis
must,past_participle,,not_applicable_modal,project_usage_analysis
pay,past_tense,paid,oewn_verb_exception,Open English WordNet 2025 verb.exc
pay,past_participle,paid,oewn_verb_exception,Open English WordNet 2025 verb.exc
put,past_tense,put,same_spelling_irregular_form,project_rule_documentation
put,past_participle,put,same_spelling_irregular_form,project_rule_documentation
read,past_tense,read,same_spelling_irregular_form,project_rule_documentation
read,past_participle,read,same_spelling_irregular_form,project_rule_documentation
rid,past_tense,rid,same_spelling_irregular_form,project_rule_documentation
rid,past_tense,ridded,oewn_verb_exception,Open English WordNet 2025 verb.exc
rid,past_participle,rid,same_spelling_irregular_form,project_rule_documentation
rid,past_participle,ridded,oewn_verb_exception,Open English WordNet 2025 verb.exc
ride,past_tense,rode,oewn_verb_exception,Open English WordNet 2025 verb.exc
ride,past_participle,ridden,oewn_verb_exception,Open English WordNet 2025 verb.exc
ring,past_tense,rang,oewn_verb_exception,Open English WordNet 2025 verb.exc
ring,past_participle,rung,oewn_verb_exception,Open English WordNet 2025 verb.exc
rise,past_tense,rose,oewn_verb_exception,Open English WordNet 2025 verb.exc
rise,past_participle,risen,oewn_verb_exception,Open English WordNet 2025 verb.exc
run,past_tense,ran,oewn_verb_exception,Open English WordNet 2025 verb.exc
run,past_participle,run,same_spelling_irregular_form,project_rule_documentation
say,past_tense,said,oewn_verb_exception,Open English WordNet 2025 verb.exc
say,past_participle,said,oewn_verb_exception,Open English WordNet 2025 verb.exc
see,past_tense,saw,oewn_verb_exception,Open English WordNet 2025 verb.exc
see,past_participle,seen,oewn_verb_exception,Open English WordNet 2025 verb.exc
seek,past_tense,sought,oewn_verb_exception,Open English WordNet 2025 verb.exc
seek,past_participle,sought,oewn_verb_exception,Open English WordNet 2025 verb.exc
sell,past_tense,sold,oewn_verb_exception,Open English WordNet 2025 verb.exc
sell,past_participle,sold,oewn_verb_exception,Open English WordNet 2025 verb.exc
send,past_tense,sent,oewn_verb_exception,Open English WordNet 2025 verb.exc
send,past_participle,sent,oewn_verb_exception,Open English WordNet 2025 verb.exc
set,past_tense,set,same_spelling_irregular_form,project_rule_documentation
set,past_participle,set,same_spelling_irregular_form,project_rule_documentation
shake,past_tense,shook,oewn_verb_exception,Open English WordNet 2025 verb.exc
shake,past_participle,shaken,oewn_verb_exception,Open English WordNet 2025 verb.exc
shall,past_tense,should,historical_modal_form,project_rule_documentation
shall,past_participle,,not_applicable_modal,project_usage_analysis
shine,past_tense,shone,oewn_verb_exception,Open English WordNet 2025 verb.exc
shine,past_tense,shined,productive_regular_variant,project_rule_documentation
shine,past_participle,shone,oewn_verb_exception,Open English WordNet 2025 verb.exc
shine,past_participle,shined,productive_regular_variant,project_rule_documentation
show,past_tense,showed,productive_regular_variant,project_rule_documentation
show,past_participle,shown,oewn_verb_exception,Open English WordNet 2025 verb.exc
show,past_participle,showed,productive_regular_variant,project_rule_documentation
shut,past_tense,shut,same_spelling_irregular_form,project_rule_documentation
shut,past_participle,shut,same_spelling_irregular_form,project_rule_documentation
sing,past_tense,sang,oewn_verb_exception,Open English WordNet 2025 verb.exc
sing,past_participle,sung,oewn_verb_exception,Open English WordNet 2025 verb.exc
sink,past_tense,sank,oewn_verb_exception,Open English WordNet 2025 verb.exc
sink,past_tense,sunk,oewn_verb_exception,Open English WordNet 2025 verb.exc
sink,past_participle,sunk,oewn_verb_exception,Open English WordNet 2025 verb.exc
sit,past_tense,sat,oewn_verb_exception,Open English WordNet 2025 verb.exc
sit,past_participle,sat,oewn_verb_exception,Open English WordNet 2025 verb.exc
sleep,past_tense,slept,oewn_verb_exception,Open English WordNet 2025 verb.exc
sleep,past_participle,slept,oewn_verb_exception,Open English WordNet 2025 verb.exc
smell,past_tense,smelled,productive_regular_variant,project_rule_documentation
smell,past_tense,smelt,oewn_verb_exception,Open English WordNet 2025 verb.exc
smell,past_participle,smelled,productive_regular_variant,project_rule_documentation
smell,past_participle,smelt,oewn_verb_exception,Open English WordNet 2025 verb.exc
sow,past_tense,sowed,productive_regular_variant,project_rule_documentation
sow,past_participle,sown,oewn_verb_exception,Open English WordNet 2025 verb.exc
sow,past_participle,sowed,productive_regular_variant,project_rule_documentation
speak,past_tense,spoke,oewn_verb_exception,Open English WordNet 2025 verb.exc
speak,past_participle,spoken,oewn_verb_exception,Open English WordNet 2025 verb.exc
spell,past_tense,spelled,productive_regular_variant,project_rule_documentation
spell,past_tense,spelt,oewn_verb_exception,Open English WordNet 2025 verb.exc
spell,past_participle,spelled,productive_regular_variant,project_rule_documentation
spell,past_participle,spelt,oewn_verb_exception,Open English WordNet 2025 verb.exc
spellbind,past_tense,spellbound,oewn_verb_exception,Open English WordNet 2025 verb.exc
spellbind,past_participle,spellbound,oewn_verb_exception,Open English WordNet 2025 verb.exc
spend,past_tense,spent,oewn_verb_exception,Open English WordNet 2025 verb.exc
spend,past_participle,spent,oewn_verb_exception,Open English WordNet 2025 verb.exc
spill,past_tense,spilled,productive_regular_variant,project_rule_documentation
spill,past_tense,spilt,oewn_verb_exception,Open English WordNet 2025 verb.exc
spill,past_participle,spilled,productive_regular_variant,project_rule_documentation
spill,past_participle,spilt,oewn_verb_exception,Open English WordNet 2025 verb.exc
spin,past_tense,spun,oewn_verb_exception,Open English WordNet 2025 verb.exc
spin,past_participle,spun,oewn_verb_exception,Open English WordNet 2025 verb.exc
spit,past_tense,spat,oewn_verb_exception,Open English WordNet 2025 verb.exc
spit,past_tense,spit,same_spelling_irregular_form,project_rule_documentation
spit,past_participle,spat,oewn_verb_exception,Open English WordNet 2025 verb.exc
spit,past_participle,spit,same_spelling_irregular_form,project_rule_documentation
spoil,past_tense,spoiled,productive_regular_variant,project_rule_documentation
spoil,past_tense,spoilt,oewn_verb_exception,Open English WordNet 2025 verb.exc
spoil,past_participle,spoiled,productive_regular_variant,project_rule_documentation
spoil,past_participle,spoilt,oewn_verb_exception,Open English WordNet 2025 verb.exc
spread,past_tense,spread,same_spelling_irregular_form,project_rule_documentation
spread,past_participle,spread,same_spelling_irregular_form,project_rule_documentation
stand,past_tense,stood,oewn_verb_exception,Open English WordNet 2025 verb.exc
stand,past_participle,stood,oewn_verb_exception,Open English WordNet 2025 verb.exc
steal,past_tense,stole,oewn_verb_exception,Open English WordNet 2025 verb.exc
steal,past_participle,stolen,oewn_verb_exception,Open English WordNet 2025 verb.exc
stick,past_tense,stuck,oewn_verb_exception,Open English WordNet 2025 verb.exc
stick,past_participle,stuck,oewn_verb_exception,Open English WordNet 2025 verb.exc
strike,past_tense,struck,oewn_verb_exception,Open English WordNet 2025 verb.exc
strike,past_participle,struck,oewn_verb_exception,Open English WordNet 2025 verb.exc
strike,past_participle,stricken,documented_lexical_variant,project_rule_documentation
swell,past_tense,swelled,productive_regular_variant,project_rule_documentation
swell,past_participle,swollen,oewn_verb_exception,Open English WordNet 2025 verb.exc
swell,past_participle,swelled,productive_regular_variant,project_rule_documentation
sweep,past_tense,swept,oewn_verb_exception,Open English WordNet 2025 verb.exc
sweep,past_participle,swept,oewn_verb_exception,Open English WordNet 2025 verb.exc
swim,past_tense,swam,oewn_verb_exception,Open English WordNet 2025 verb.exc
swim,past_participle,swum,oewn_verb_exception,Open English WordNet 2025 verb.exc
swing,past_tense,swung,oewn_verb_exception,Open English WordNet 2025 verb.exc
swing,past_participle,swung,oewn_verb_exception,Open English WordNet 2025 verb.exc
take,past_tense,took,oewn_verb_exception,Open English WordNet 2025 verb.exc
take,past_participle,taken,oewn_verb_exception,Open English WordNet 2025 verb.exc
teach,past_tense,taught,oewn_verb_exception,Open English WordNet 2025 verb.exc
teach,past_participle,taught,oewn_verb_exception,Open English WordNet 2025 verb.exc
tell,past_tense,told,oewn_verb_exception,Open English WordNet 2025 verb.exc
tell,past_participle,told,oewn_verb_exception,Open English WordNet 2025 verb.exc
think,past_tense,thought,oewn_verb_exception,Open English WordNet 2025 verb.exc
think,past_participle,thought,oewn_verb_exception,Open English WordNet 2025 verb.exc
throw,past_tense,threw,oewn_verb_exception,Open English WordNet 2025 verb.exc
throw,past_participle,thrown,oewn_verb_exception,Open English WordNet 2025 verb.exc
understand,past_tense,understood,oewn_verb_exception,Open English WordNet 2025 verb.exc
understand,past_participle,understood,oewn_verb_exception,Open English WordNet 2025 verb.exc
upset,past_tense,upset,same_spelling_irregular_form,project_rule_documentation
upset,past_participle,upset,same_spelling_irregular_form,project_rule_documentation
wake,past_tense,woke,oewn_verb_exception,Open English WordNet 2025 verb.exc
wake,past_tense,waked,productive_regular_variant,project_rule_documentation
wake,past_participle,woken,oewn_verb_exception,Open English WordNet 2025 verb.exc
wake,past_participle,waked,productive_regular_variant,project_rule_documentation
wear,past_tense,wore,oewn_verb_exception,Open English WordNet 2025 verb.exc
wear,past_participle,worn,oewn_verb_exception,Open English WordNet 2025 verb.exc
weave,past_tense,wove,oewn_verb_exception,Open English WordNet 2025 verb.exc
weave,past_tense,weaved,productive_regular_variant,project_rule_documentation
weave,past_participle,woven,oewn_verb_exception,Open English WordNet 2025 verb.exc
weave,past_participle,weaved,productive_regular_variant,project_rule_documentation
will,past_tense,would,historical_modal_form,project_rule_documentation
will,past_participle,,not_applicable_modal,project_usage_analysis
win,past_tense,won,oewn_verb_exception,Open English WordNet 2025 verb.exc
win,past_participle,won,oewn_verb_exception,Open English WordNet 2025 verb.exc
write,past_tense,wrote,oewn_verb_exception,Open English WordNet 2025 verb.exc
write,past_participle,written,oewn_verb_exception,Open English WordNet 2025 verb.exc
