sequence,phrase,normalized_phrase,introduced_level,evidence_route,form_evidence,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,minimum_lexical_level,editorial_status,human_review_claimed
27,in contrast to,in contrast to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
28,in relation to,in relation to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
29,in spite of,in spite of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,9,manual_stage_check,selected_for_cross_level_review,false
30,with the help of,with the help of,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,2,manual_stage_check,selected_for_cross_level_review,false
31,get rid of,get rid of,cet4,approved_dictionary_candidate_pool,OEWN,v,get_rid_of%2:30:00::|get_rid_of%2:40:01::|get_rid_of%2:41:00::,false,8,cet4,selected_for_cross_level_review,false
32,disagree with,disagree with,cet4,approved_dictionary_candidate_pool,OEWN,v,disagree_with%2:29:00::,false,9,cet4,selected_for_cross_level_review,false
33,set forth,set forth,cet4,approved_dictionary_candidate_pool,OEWN,v,set_forth%2:32:00::|set_forth%2:38:00::,true,2,cet4,selected_for_cross_level_review,false
34,whip up,whip up,cet4,approved_dictionary_candidate_pool,OEWN,v,whip_up%2:36:00::,true,2,cet4,selected_for_cross_level_review,false
35,blend in,blend in,cet4,approved_dictionary_candidate_pool,OEWN,v,blend_in%2:30:00::|blend_in%2:42:00::,false,3,cet4,selected_for_cross_level_review,false
36,crack down,crack down,cet4,approved_dictionary_candidate_pool,OEWN,v,crack_down%2:30:10::,false,3,cet4,selected_for_cross_level_review,false
37,catch a glimpse,catch a glimpse,cet4,approved_dictionary_candidate_pool,OEWN,v,catch_a_glimpse%2:39:00::,false,2,cet4,selected_for_cross_level_review,false
38,cling to,cling to,cet4,approved_dictionary_candidate_pool,OEWN,v,cling_to%2:35:00::,false,2,cet4,selected_for_cross_level_review,false
39,conform to,conform to,cet4,approved_dictionary_candidate_pool,OEWN,v,conform_to%2:30:00::|conform_to%2:34:00::|conform_to%2:42:00::,false,2,cet4,selected_for_cross_level_review,false
40,hook up,hook up,cet4,approved_dictionary_candidate_pool,OEWN,v,hook_up%2:35:00::,false,2,cet4,selected_for_cross_level_review,false
41,originate in,originate in,cet4,approved_dictionary_candidate_pool,OEWN,v,originate_in%2:42:00::,false,2,cet4,selected_for_cross_level_review,false
42,pop in,pop in,cet4,approved_dictionary_candidate_pool,OEWN,v,pop_in%2:38:00::,false,2,cet4,selected_for_cross_level_review,false
43,soak up,soak up,cet4,approved_dictionary_candidate_pool,OEWN,v,soak_up%2:31:00::|soak_up%2:35:00::,false,2,cet4,selected_for_cross_level_review,false
44,stock up,stock up,cet4,approved_dictionary_candidate_pool,OEWN,v,stock_up%2:40:00::,false,2,cet4,selected_for_cross_level_review,false
45,bump into,bump into,cet4,approved_dictionary_candidate_pool,OEWN,v,bump_into%2:35:00::,true,1,cet4,selected_for_cross_level_review,false
46,mop up,mop up,cet4,approved_dictionary_candidate_pool,OEWN,n|v,mop_up%1:04:00::|mop_up%2:30:00::|mop_up%2:33:00::|mop_up%2:35:00::,true,1,cet4,selected_for_cross_level_review,false
47,pin down,pin down,cet4,approved_dictionary_candidate_pool,OEWN,v,pin_down%2:31:00::|pin_down%2:35:00::|pin_down%2:41:00::,true,1,cet4,selected_for_cross_level_review,false
48,pitch in,pitch in,cet4,approved_dictionary_candidate_pool,OEWN,v,pitch_in%2:34:00::,true,1,cet4,selected_for_cross_level_review,false
49,pop up,pop up,cet4,approved_dictionary_candidate_pool,OEWN,n|v,pop-up%1:04:00::|pop-up%1:06:01::|pop-up%1:10:00::|pop_up%2:39:00::,true,1,cet4,selected_for_cross_level_review,false
50,rub off,rub off,cet4,approved_dictionary_candidate_pool,OEWN,v,rub_off%2:35:00::,true,1,cet4,selected_for_cross_level_review,false
51,screw up,screw up,cet4,approved_dictionary_candidate_pool,OEWN,v,screw_up%2:29:00::|screw_up%2:30:00::|screw_up%2:35:00::|screw_up%2:41:00::,true,1,cet4,selected_for_cross_level_review,false
52,spin off,spin off,cet4,approved_dictionary_candidate_pool,OEWN,n|v,spin-off%1:06:00::|spin_off%2:30:00::,true,1,cet4,selected_for_cross_level_review,false
53,bail out,bail out,cet4,approved_dictionary_candidate_pool,OEWN,v,bail_out%2:30:00::|bail_out%2:41:00::,false,1,cet4,selected_for_cross_level_review,false
54,dispose of,dispose of,cet4,approved_dictionary_candidate_pool,OEWN,v,dispose_of%2:41:00::,false,1,cet4,selected_for_cross_level_review,false
55,excel at,excel at,cet4,approved_dictionary_candidate_pool,OEWN,v,excel_at%2:42:00::,false,1,cet4,selected_for_cross_level_review,false
56,gang up,gang up,cet4,approved_dictionary_candidate_pool,OEWN,v,gang_up%2:33:00::,false,1,cet4,selected_for_cross_level_review,false
57,haul away,haul away,cet4,approved_dictionary_candidate_pool,OEWN,v,haul_away%2:35:00::,false,1,cet4,selected_for_cross_level_review,false
58,hedge in,hedge in,cet4,approved_dictionary_candidate_pool,OEWN,v,hedge_in%2:35:01::,false,1,cet4,selected_for_cross_level_review,false
59,lodge in,lodge in,cet4,approved_dictionary_candidate_pool,OEWN,v,lodge_in%2:42:00::,false,1,cet4,selected_for_cross_level_review,false
60,persist in,persist in,cet4,approved_dictionary_candidate_pool,OEWN,v,persist_in%2:42:00::,false,1,cet4,selected_for_cross_level_review,false
61,pop out,pop out,cet4,approved_dictionary_candidate_pool,OEWN,v,pop_out%2:30:00::|pop_out%2:38:00::|pop_out%2:38:01::|pop_out%2:39:02::,false,1,cet4,selected_for_cross_level_review,false
62,pour forth,pour forth,cet4,approved_dictionary_candidate_pool,OEWN,v,pour_forth%2:35:00::,false,1,cet4,selected_for_cross_level_review,false
63,shed light on,shed light on,cet4,approved_dictionary_candidate_pool,OEWN,v,shed_light_on%2:31:00::,false,1,cet4,selected_for_cross_level_review,false
64,squeeze by,squeeze by,cet4,approved_dictionary_candidate_pool,OEWN,v,squeeze_by%2:41:00::,false,1,cet4,selected_for_cross_level_review,false
65,suck up,suck up,cet4,approved_dictionary_candidate_pool,OEWN,v,suck_up%2:32:00::|suck_up%2:35:00::|suck_up%2:37:09::,false,1,cet4,selected_for_cross_level_review,false
66,sympathize with,sympathize with,cet4,approved_dictionary_candidate_pool,OEWN,v,sympathize_with%2:37:00::,false,1,cet4,selected_for_cross_level_review,false
67,tag along,tag along,cet4,approved_dictionary_candidate_pool,OEWN,v,tag_along%2:38:00::,false,1,cet4,selected_for_cross_level_review,false
68,wipe out,wipe out,cet4,approved_dictionary_candidate_pool,OEWN,v,wipe_out%2:30:00::|wipe_out%2:30:02::|wipe_out%2:30:03::|wipe_out%2:30:04::|wipe_out%2:34:00::|wipe_out%2:36:00::,false,1,cet4,selected_for_cross_level_review,false
69,beg off,beg off,cet4,approved_dictionary_candidate_pool,OEWN,v,beg_off%2:32:00::,true,0,cet4,selected_for_cross_level_review,false
70,blast off,blast off,cet4,approved_dictionary_candidate_pool,OEWN,v,blast_off%2:35:00::,true,0,cet4,selected_for_cross_level_review,false
71,buck up,buck up,cet4,approved_dictionary_candidate_pool,OEWN,v,buck_up%2:37:00::,true,0,cet4,selected_for_cross_level_review,false
72,buckle down,buckle down,cet4,approved_dictionary_candidate_pool,OEWN,v,buckle_down%2:41:00::,true,0,cet4,selected_for_cross_level_review,false
73,bundle up,bundle up,cet4,approved_dictionary_candidate_pool,OEWN,v,bundle_up%2:29:00::|bundle_up%2:35:00::,true,0,cet4,selected_for_cross_level_review,false
74,cop out,cop out,cet4,approved_dictionary_candidate_pool,OEWN,v,cop_out%2:31:00::,true,0,cet4,selected_for_cross_level_review,false
75,crack up,crack up,cet4,approved_dictionary_candidate_pool,OEWN,n|v,crack-up%1:26:00::|crack_up%2:29:00::|crack_up%2:32:00::|crack_up%2:37:00::,true,0,cet4,selected_for_cross_level_review,false
76,curl up,curl up,cet4,approved_dictionary_candidate_pool,OEWN,v,curl_up%2:38:01::,true,0,cet4,selected_for_cross_level_review,false
77,dine out,dine out,cet4,approved_dictionary_candidate_pool,OEWN,v,dine_out%2:34:00::,true,0,cet4,selected_for_cross_level_review,false
78,fade out,fade out,cet4,approved_dictionary_candidate_pool,OEWN,v,fade_out%2:30:00::,true,0,cet4,selected_for_cross_level_review,false
79,hammer out,hammer out,cet4,approved_dictionary_candidate_pool,OEWN,v,hammer_out%2:32:00::,true,0,cet4,selected_for_cross_level_review,false
80,opt out,opt out,cet4,approved_dictionary_candidate_pool,OEWN,v,opt_out%2:31:00::,true,0,cet4,selected_for_cross_level_review,false
81,rack up,rack up,cet4,approved_dictionary_candidate_pool,OEWN,v,rack_up%2:30:00::|rack_up%2:33:00::|rack_up%2:33:01::|rack_up%2:35:00::,true,0,cet4,selected_for_cross_level_review,false
82,shrug off,shrug off,cet4,approved_dictionary_candidate_pool,OEWN,v,shrug_off%2:32:00::,true,0,cet4,selected_for_cross_level_review,false
83,spill over,spill over,cet4,approved_dictionary_candidate_pool,OEWN,v,spill_over%2:37:00::|spill_over%2:38:01::,true,0,cet4,selected_for_cross_level_review,false
84,spin out,spin out,cet4,approved_dictionary_candidate_pool,OEWN,v,spin_out%2:30:00::,true,0,cet4,selected_for_cross_level_review,false
85,stir up,stir up,cet4,approved_dictionary_candidate_pool,OEWN,v,stir_up%2:32:00::|stir_up%2:35:00::|stir_up%2:37:00::|stir_up%2:41:00::,true,0,cet4,selected_for_cross_level_review,false
86,straighten out,straighten out,cet4,approved_dictionary_candidate_pool,OEWN,v,straighten_out%2:30:00::|straighten_out%2:30:01::|straighten_out%2:30:02::|straighten_out%2:31:00::|straighten_out%2:35:00::|straighten_out%2:35:01::,true,0,cet4,selected_for_cross_level_review,false
87,straighten up,straighten up,cet4,approved_dictionary_candidate_pool,OEWN,v,straighten_up%2:38:01::,true,0,cet4,selected_for_cross_level_review,false
88,swear off,swear off,cet4,approved_dictionary_candidate_pool,OEWN,v,swear_off%2:32:00::,true,0,cet4,selected_for_cross_level_review,false
89,tide over,tide over,cet4,approved_dictionary_candidate_pool,OEWN,v,tide_over%2:42:00::,true,0,cet4,selected_for_cross_level_review,false
90,toss off,toss off,cet4,approved_dictionary_candidate_pool,OEWN,v,toss_off%2:34:00::|toss_off%2:36:00::,true,0,cet4,selected_for_cross_level_review,false
91,ally with,ally with,cet4,approved_dictionary_candidate_pool,OEWN,v,ally_with%2:41:00::,false,0,cet4,selected_for_cross_level_review,false
92,bang out,bang out,cet4,approved_dictionary_candidate_pool,OEWN,v,bang_out%2:36:00::,false,0,cet4,selected_for_cross_level_review,false
93,bargain down,bargain down,cet4,approved_dictionary_candidate_pool,OEWN,v,bargain_down%2:40:00::,false,0,cet4,selected_for_cross_level_review,false
94,beat a retreat,beat a retreat,cet4,approved_dictionary_candidate_pool,OEWN,v,beat_a_retreat%2:38:00::,false,0,cet4,selected_for_cross_level_review,false
95,bend over backwards,bend over backwards,cet4,approved_dictionary_candidate_pool,OEWN,v,bend_over_backwards%2:29:00::,false,0,cet4,selected_for_cross_level_review,false
96,breeze through,breeze through,cet4,approved_dictionary_candidate_pool,OEWN,v,breeze_through%2:41:00::,false,0,cet4,selected_for_cross_level_review,false
97,bring forth,bring forth,cet4,approved_dictionary_candidate_pool,OEWN,v,bring_forth%2:29:00::|bring_forth%2:36:00::|bring_forth%2:36:01::|bring_forth%2:39:00::,false,0,cet4,selected_for_cross_level_review,false
98,bubble over,bubble over,cet4,approved_dictionary_candidate_pool,OEWN,v,bubble_over%2:37:00::,false,0,cet4,selected_for_cross_level_review,false
99,bubble up,bubble up,cet4,approved_dictionary_candidate_pool,OEWN,v,bubble_up%2:38:00::,false,0,cet4,selected_for_cross_level_review,false
100,buckle under,buckle under,cet4,approved_dictionary_candidate_pool,OEWN,v,buckle_under%2:32:00::,false,0,cet4,selected_for_cross_level_review,false
101,bump up,bump up,cet4,approved_dictionary_candidate_pool,OEWN,v,bump_up%2:30:00::,false,0,cet4,selected_for_cross_level_review,false
102,burst forth,burst forth,cet4,approved_dictionary_candidate_pool,OEWN,v,burst_forth%2:30:00::|burst_forth%2:30:01::|burst_forth%2:38:00::,false,0,cet4,selected_for_cross_level_review,false
103,cart away,cart away,cet4,approved_dictionary_candidate_pool,OEWN,v,cart_away%2:35:00::,false,0,cet4,selected_for_cross_level_review,false
104,call forth,call forth,cet4,approved_dictionary_candidate_pool,OEWN,v,call_forth%2:36:00::|call_forth%2:36:01::,true,0,cet4,selected_for_cross_level_review,false
105,hold forth,hold forth,cet4,approved_dictionary_candidate_pool,OEWN,v,hold_forth%2:32:00::,true,0,cet4,selected_for_cross_level_review,false
106,pitch into,pitch into,cet4,approved_dictionary_candidate_pool,OEWN,v,pitch_into%2:35:00::,true,0,cet4,selected_for_cross_level_review,false
107,rub down,rub down,cet4,approved_dictionary_candidate_pool,OEWN,v,rub_down%2:35:00::|rub_down%2:35:01::,true,0,cet4,selected_for_cross_level_review,false
108,rub out,rub out,cet4,approved_dictionary_candidate_pool,OEWN,v,rub_out%2:35:00::,true,0,cet4,selected_for_cross_level_review,false
109,smash up,smash up,cet4,approved_dictionary_candidate_pool,OEWN,n|v,smash-up%1:11:00::|smash_up%2:35:00::,true,0,cet4,selected_for_cross_level_review,false
110,stand pat,stand pat,cet4,approved_dictionary_candidate_pool,OEWN,v,stand_pat%2:32:00::,true,0,cet4,selected_for_cross_level_review,false
111,tick off,tick off,cet4,approved_dictionary_candidate_pool,OEWN,v,tick_off%2:31:00::,true,0,cet4,selected_for_cross_level_review,false
112,break through,break through,cet4,approved_dictionary_candidate_pool,OEWN,v,break_through%2:30:00::|break_through%2:30:01::|break_through%2:30:02::,true,1,junior,selected_for_cross_level_review,false
113,bring up,bring up,cet4,approved_dictionary_candidate_pool,OEWN,v,bring_up%2:29:00::|bring_up%2:32:00::|bring_up%2:32:06::|bring_up%2:36:00::|bring_up%2:38:00::|bring_up%2:38:02::|bring_up%2:41:00::|bring_up%2:41:01::,true,1,junior,selected_for_cross_level_review,false
114,come about,come about,cet4,approved_dictionary_candidate_pool,OEWN,v,come_about%2:30:00::,true,0,junior,selected_for_cross_level_review,false
115,come off,come off,cet4,approved_dictionary_candidate_pool,OEWN,v,come_off%2:30:00::|come_off%2:35:00::|come_off%2:35:01::,true,2,junior,selected_for_cross_level_review,false
116,cut in,cut in,cet4,approved_dictionary_candidate_pool,OEWN,n|v,cut-in%1:04:00::|cut-in%1:04:01::|cut_in%2:30:00::|cut_in%2:30:01::|cut_in%2:32:00::|cut_in%2:38:00::|cut_in%2:40:00::,true,1,junior,selected_for_cross_level_review,false
117,drop out,drop out,cet4,approved_dictionary_candidate_pool,OEWN,v,drop_out%2:33:00::|drop_out%2:41:00::|drop_out%2:41:01::,false,1,junior,selected_for_cross_level_review,false
118,fall behind,fall behind,cet4,approved_dictionary_candidate_pool,OEWN,v,fall_behind%2:33:00::|fall_behind%2:38:00::,true,1,junior,selected_for_cross_level_review,false
119,get across,get across,cet4,approved_dictionary_candidate_pool,OEWN,v,get_across%2:31:00::|get_across%2:32:00::|get_across%2:38:00::,true,1,junior,selected_for_cross_level_review,false
120,get around,get around,cet4,approved_dictionary_candidate_pool,OEWN,v,get_around%2:32:00::|get_around%2:32:01::|get_around%2:38:00::|get_around%2:41:00::,true,2,junior,selected_for_cross_level_review,false
121,get by,get by,cet4,approved_dictionary_candidate_pool,OEWN,v,get_by%2:32:00::|get_by%2:38:00::|get_by%2:41:00::,true,3,junior,selected_for_cross_level_review,false
122,get down to,get down to,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,1,manual_stage_check,selected_for_cross_level_review,false
123,give away,give away,cet4,approved_dictionary_candidate_pool,OEWN,v,give_away%2:32:00::|give_away%2:32:01::|give_away%2:40:00::|give_away%2:40:01::,true,1,junior,selected_for_cross_level_review,false
124,give in,give in,cet4,approved_dictionary_candidate_pool,OEWN,v,give_in%2:32:01::|give_in%2:32:02::,true,0,junior,selected_for_cross_level_review,false
125,go against,go against,cet4,approved_dictionary_candidate_pool,OEWN,v,go_against%2:41:00::|go_against%2:41:01::|go_against%2:42:00::,true,2,junior,selected_for_cross_level_review,false
126,go without,go without,cet4,independent_structure_plus_tatoeba_cc0,Tatoeba CC0 exact normalized occurrence,,,false,3,manual_stage_check,selected_for_cross_level_review,false
127,hand over,hand over,cet4,approved_dictionary_candidate_pool,OEWN,v,hand_over%2:40:00::,true,2,junior,selected_for_cross_level_review,false
128,hold down,hold down,cet4,approved_dictionary_candidate_pool,OEWN,n|v,hold-down%1:04:00::|hold_down%2:30:00::|hold_down%2:40:00::,true,2,junior,selected_for_cross_level_review,false
129,leave behind,leave behind,cet4,approved_dictionary_candidate_pool,OEWN,v,leave_behind%2:30:00::|leave_behind%2:30:03::|leave_behind%2:38:00::,true,2,junior,selected_for_cross_level_review,false
130,make for,make for,cet4,approved_dictionary_candidate_pool,OEWN,v,make_for%2:36:00::,true,2,junior,selected_for_cross_level_review,false
131,pass away,pass away,cet4,approved_dictionary_candidate_pool,OEWN,v,pass_away%2:30:00::|pass_away%2:30:01::,false,1,junior,selected_for_cross_level_review,false
132,put off,put off,cet4,approved_dictionary_candidate_pool,OEWN,v,put_off%2:32:03::|put_off%2:37:00::|put_off%2:37:02::|put_off%2:37:04::|put_off%2:42:00::,true,2,junior,selected_for_cross_level_review,false
133,run down,run down,cet4,approved_dictionary_candidate_pool,OEWN,a|v,run-down%5:00:00:malfunctioning:00|run-down%5:00:00:worn:00|run_down%2:29:00::|run_down%2:29:01::|run_down%2:38:00::|run_down%2:38:02::|run_down%2:39:00::|run_down%2:40:00::|run_down%2:41:00::,true,2,junior,selected_for_cross_level_review,false
134,see through,see through,cet4,approved_dictionary_candidate_pool,OEWN,a|v,see-through%5:00:00:thin:01|see_through%2:30:00::|see_through%2:39:00::|see_through%2:40:00::,true,2,junior,selected_for_cross_level_review,false
135,take for,take for,cet4,approved_dictionary_candidate_pool,OEWN,v,take_for%2:31:00::,true,2,junior,selected_for_cross_level_review,false
136,throw off,throw off,cet4,approved_dictionary_candidate_pool,OEWN,v,throw_off%2:35:00::|throw_off%2:38:00::,true,2,junior,selected_for_cross_level_review,false
137,tie up,tie up,cet4,approved_dictionary_candidate_pool,OEWN,n|v,tie-up%1:11:00::|tie-up%1:26:00::|tie_up%2:35:00::|tie_up%2:35:01::|tie_up%2:35:04::|tie_up%2:35:05::|tie_up%2:40:00::,true,2,junior,selected_for_cross_level_review,false
138,carbon dioxide,carbon dioxide,cet4,approved_dictionary_candidate_pool,OEWN,n,carbon_dioxide%1:27:00::,true,19,cet4,selected_for_cross_level_review,false
139,high tech,high tech,cet4,approved_dictionary_candidate_pool,OEWN,a|n,high-tech%3:00:00::|high_tech%1:04:00::,false,12,cet4,selected_for_cross_level_review,false
140,middle aged,middle aged,cet4,approved_dictionary_candidate_pool,OEWN,a,middle-aged%5:00:00:old:02,true,8,cet4,selected_for_cross_level_review,false
141,immune system,immune system,cet4,approved_dictionary_candidate_pool,OEWN,n,immune_system%1:08:00::,false,17,cet4,selected_for_cross_level_review,false
142,self improvement,self improvement,cet4,approved_dictionary_candidate_pool,OEWN,n,self-improvement%1:04:00::,true,11,cet4,selected_for_cross_level_review,false
143,economic growth,economic growth,cet4,approved_dictionary_candidate_pool,OEWN,n,economic_growth%1:22:00::,false,14,cet4,selected_for_cross_level_review,false
144,magnetic field,magnetic field,cet4,approved_dictionary_candidate_pool,OEWN,n,magnetic_field%1:19:00::,true,9,cet4,selected_for_cross_level_review,false
145,self determination,self determination,cet4,approved_dictionary_candidate_pool,OEWN,n,self-determination%1:07:00::|self-determination%1:26:00::,true,8,cet4,selected_for_cross_level_review,false
146,self defense,self defense,cet4,approved_dictionary_candidate_pool,OEWN,n,self-defense%1:04:00::,true,7,cet4,selected_for_cross_level_review,false
147,self evident,self evident,cet4,approved_dictionary_candidate_pool,OEWN,a,self-evident%5:00:00:obvious:00,true,3,cet4,selected_for_cross_level_review,false
148,self sufficient,self sufficient,cet4,approved_dictionary_candidate_pool,OEWN,a,self-sufficient%5:00:00:independent:00,true,2,cet4,selected_for_cross_level_review,false
149,space shuttle,space shuttle,cet4,approved_dictionary_candidate_pool,OEWN,n,space_shuttle%1:06:00::,false,9,cet4,selected_for_cross_level_review,false
150,golden age,golden age,cet4,approved_dictionary_candidate_pool,OEWN,n,golden_age%1:28:01::|golden_age%1:28:02::,true,6,cet4,selected_for_cross_level_review,false
151,federal government,federal government,cet4,approved_dictionary_candidate_pool,OEWN,n,federal_government%1:14:00::,false,8,cet4,selected_for_cross_level_review,false
152,law enforcement,law enforcement,cet4,approved_dictionary_candidate_pool,OEWN,n,law_enforcement%1:04:00::,false,8,cet4,selected_for_cross_level_review,false
153,self respect,self respect,cet4,approved_dictionary_candidate_pool,OEWN,n,self-respect%1:07:00::,true,4,cet4,selected_for_cross_level_review,false
154,self awareness,self awareness,cet4,approved_dictionary_candidate_pool,OEWN,n,self-awareness%1:09:00::,false,4,cet4,selected_for_cross_level_review,false
155,self confidence,self confidence,cet4,approved_dictionary_candidate_pool,OEWN,n,self-confidence%1:09:00::,true,2,cet4,selected_for_cross_level_review,false
156,self control,self control,cet4,approved_dictionary_candidate_pool,OEWN,n,self-control%1:04:00::|self-control%1:07:00::,true,2,cet4,selected_for_cross_level_review,false
157,self discipline,self discipline,cet4,approved_dictionary_candidate_pool,OEWN,n,self-discipline%1:04:00::|self-discipline%1:07:00::,true,2,cet4,selected_for_cross_level_review,false
158,self discovery,self discovery,cet4,approved_dictionary_candidate_pool,OEWN,n,self-discovery%1:04:00::,false,4,cet4,selected_for_cross_level_review,false
159,self worth,self worth,cet4,approved_dictionary_candidate_pool,OEWN,n,self-worth%1:07:00::,false,2,cet4,selected_for_cross_level_review,false
160,mass media,mass media,cet4,approved_dictionary_candidate_pool,Moby,,,true,3,cet4,selected_for_cross_level_review,false
161,news media,news media,cet4,approved_dictionary_candidate_pool,OEWN,n,news_media%1:10:00::,false,7,cet4,selected_for_cross_level_review,false
162,stream of consciousness,stream of consciousness,cet4,approved_dictionary_candidate_pool,OEWN,n,stream_of_consciousness%1:09:00::|stream_of_consciousness%1:10:00::,true,4,cet4,selected_for_cross_level_review,false
163,big bang,big bang,cet4,approved_dictionary_candidate_pool,OEWN,n,big_bang%1:11:00::,false,6,cet4,selected_for_cross_level_review,false
164,general assembly,general assembly,cet4,approved_dictionary_candidate_pool,OEWN,n,general_assembly%1:14:00::,false,6,cet4,selected_for_cross_level_review,false
165,immune response,immune response,cet4,approved_dictionary_candidate_pool,OEWN,n,immune_response%1:04:00::,false,6,cet4,selected_for_cross_level_review,false
166,classical music,classical music,cet4,approved_dictionary_candidate_pool,OEWN,n,classical_music%1:10:00::,false,5,cet4,selected_for_cross_level_review,false
167,cost effective,cost effective,cet4,approved_dictionary_candidate_pool,OEWN,a,cost-effective%5:00:00:efficient:00,false,2,cet4,selected_for_cross_level_review,false
168,low tech,low tech,cet4,approved_dictionary_candidate_pool,OEWN,a,low-tech%3:00:00::,false,2,cet4,selected_for_cross_level_review,false
169,natural selection,natural selection,cet4,approved_dictionary_candidate_pool,OEWN,n,natural_selection%1:22:00::,true,3,cet4,selected_for_cross_level_review,false
