sequence,phrase,normalized_phrase,introduced_level,evidence_route,form_evidence,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,minimum_lexical_level,editorial_status,human_review_claimed
35,in the least,in the least,cet6,approved_dictionary_candidate_pool,OEWN,r,in_the_least%4:02:00::|in_the_least%4:02:01::,false,2,junior,selected_for_cross_level_review,false
36,inside out,inside out,cet6,approved_dictionary_candidate_pool,OEWN,a|r,inside-out%5:00:00:turned:00|inside_out%4:02:00::|inside_out%4:02:01::,false,2,junior,selected_for_cross_level_review,false
37,off and on,off and on,cet6,approved_dictionary_candidate_pool,OEWN,a|r,off-and-on%5:00:00:broken:02|off_and_on%4:02:00::,false,2,junior,selected_for_cross_level_review,false
38,once in a while,once in a while,cet6,approved_dictionary_candidate_pool,OEWN,r,once_in_a_while%4:02:00::,false,3,junior,selected_for_cross_level_review,false
39,out of the way,out of the way,cet6,approved_dictionary_candidate_pool,OEWN,a|r,out-of-the-way%5:00:00:far:00|out-of-the-way%5:00:00:finished:01|out-of-the-way%5:00:00:improper:00|out-of-the-way%5:00:00:unusual:00|out_of_the_way%4:02:00::|out_of_the_way%4:02:02::|out_of_the_way%4:02:03::|out_of_the_way%4:02:04::|out_of_the_way%4:02:05::|out_of_the_way%5:00:00:far:00|out_of_the_way%5:00:00:finished:01|out_of_the_way%5:00:00:improper:00|out_of_the_way%5:00:00:unusual:00,true,2,junior,selected_for_cross_level_review,false
40,day after day,day after day,cet6,approved_dictionary_candidate_pool,OEWN,a|r,day-after-day%5:00:00:periodic:00|day_after_day%4:02:00::,false,2,junior,selected_for_cross_level_review,false
41,again and again,again and again,cet6,approved_dictionary_candidate_pool,OEWN,r,again_and_again%4:02:00::,false,3,junior,selected_for_cross_level_review,false
42,at long last,at long last,cet6,approved_dictionary_candidate_pool,OEWN,r,at_long_last%4:02:00::,false,3,junior,selected_for_cross_level_review,false
43,at best,at best,cet6,approved_dictionary_candidate_pool,OEWN,r,at_best%4:02:00::,false,4,junior,selected_for_cross_level_review,false
44,by far,by far,cet6,approved_dictionary_candidate_pool,OEWN,r,by_far%4:02:00::,false,4,junior,selected_for_cross_level_review,false
45,in full,in full,cet6,approved_dictionary_candidate_pool,OEWN,r,in_full%4:02:00::,false,9,junior,selected_for_cross_level_review,false
46,under way,under way,cet6,approved_dictionary_candidate_pool,OEWN,r,under_way%4:02:00::,true,7,junior,selected_for_cross_level_review,false
47,dwell on,dwell on,cet6,approved_dictionary_candidate_pool,OEWN,v,dwell_on%2:42:00::,true,3,cet6,selected_for_cross_level_review,false
48,embark on,embark on,cet6,approved_dictionary_candidate_pool,OEWN,v,embark_on%2:36:00::,false,4,cet6,selected_for_cross_level_review,false
49,collide with,collide with,cet6,approved_dictionary_candidate_pool,OEWN,v,collide_with%2:35:00::,false,3,cet6,selected_for_cross_level_review,false
50,quest for,quest for,cet6,approved_dictionary_candidate_pool,OEWN,v,quest_for%2:35:00::,false,3,cet6,selected_for_cross_level_review,false
51,abide by,abide by,cet6,approved_dictionary_candidate_pool,OEWN,v,abide_by%2:41:00::|abide_by%2:41:01::,false,1,cet6,selected_for_cross_level_review,false
52,clamp down,clamp down,cet6,approved_dictionary_candidate_pool,OEWN,v,clamp_down%2:30:10::,false,1,cet6,selected_for_cross_level_review,false
53,conceive of,conceive of,cet6,approved_dictionary_candidate_pool,OEWN,v,conceive_of%2:36:01::,false,1,cet6,selected_for_cross_level_review,false
54,dole out,dole out,cet6,approved_dictionary_candidate_pool,OEWN,v,dole_out%2:40:00::,false,1,cet6,selected_for_cross_level_review,false
55,doze off,doze off,cet6,approved_dictionary_candidate_pool,OEWN,v,doze_off%2:29:00::,false,1,cet6,selected_for_cross_level_review,false
56,linger over,linger over,cet6,approved_dictionary_candidate_pool,OEWN,v,linger_over%2:42:00::,false,1,cet6,selected_for_cross_level_review,false
57,rein in,rein in,cet6,approved_dictionary_candidate_pool,OEWN,v,rein_in%2:38:00::|rein_in%2:38:01::|rein_in%2:41:00::,true,0,cet6,selected_for_cross_level_review,false
58,scrape by,scrape by,cet6,approved_dictionary_candidate_pool,OEWN,v,scrape_by%2:41:00::,false,2,cet6,selected_for_cross_level_review,false
59,sober up,sober up,cet6,approved_dictionary_candidate_pool,OEWN,v,sober_up%2:30:00::|sober_up%2:30:01::,false,1,cet6,selected_for_cross_level_review,false
60,butt in,butt in,cet6,approved_dictionary_candidate_pool,OEWN,v,butt_in%2:32:00::,false,2,cet6,selected_for_cross_level_review,false
61,jack up,jack up,cet6,approved_dictionary_candidate_pool,OEWN,v,jack_up%2:35:00::,true,1,cet6,selected_for_cross_level_review,false
62,bust up,bust up,cet6,approved_dictionary_candidate_pool,OEWN,n|v,bust-up%1:10:00::|bust_up%2:35:00::,true,0,cet6,selected_for_cross_level_review,false
63,buzz off,buzz off,cet6,approved_dictionary_candidate_pool,OEWN,v,buzz_off%2:38:00::,true,0,cet6,selected_for_cross_level_review,false
64,flare up,flare up,cet6,approved_dictionary_candidate_pool,OEWN,n|v,flare-up%1:11:01::|flare_up%2:30:00::|flare_up%2:43:00::,true,0,cet6,selected_for_cross_level_review,false
65,foul up,foul up,cet6,approved_dictionary_candidate_pool,OEWN,n|v,foul-up%1:04:00::|foul_up%2:41:00::,true,0,cet6,selected_for_cross_level_review,false
66,mock up,mock up,cet6,approved_dictionary_candidate_pool,OEWN,n|v,mock-up%1:06:00::|mock_up%2:36:00::,true,0,cet6,selected_for_cross_level_review,false
67,mow down,mow down,cet6,approved_dictionary_candidate_pool,OEWN,v,mow_down%2:30:00::,true,0,cet6,selected_for_cross_level_review,false
68,peel off,peel off,cet6,approved_dictionary_candidate_pool,OEWN,v,peel_off%2:29:00::|peel_off%2:29:01::|peel_off%2:35:00::|peel_off%2:35:01::|peel_off%2:38:00::,true,0,cet6,selected_for_cross_level_review,false
69,peg down,peg down,cet6,approved_dictionary_candidate_pool,OEWN,v,peg_down%2:31:00::|peg_down%2:35:00::,true,0,cet6,selected_for_cross_level_review,false
70,reel off,reel off,cet6,approved_dictionary_candidate_pool,OEWN,v,reel_off%2:32:00::|reel_off%2:35:00::,true,0,cet6,selected_for_cross_level_review,false
71,rig up,rig up,cet6,approved_dictionary_candidate_pool,OEWN,v,rig_up%2:36:00::,true,0,cet6,selected_for_cross_level_review,false
72,shove off,shove off,cet6,approved_dictionary_candidate_pool,OEWN,v,shove_off%2:38:00::,true,0,cet6,selected_for_cross_level_review,false
73,snap up,snap up,cet6,approved_dictionary_candidate_pool,OEWN,v,snap_up%2:40:00::,true,0,cet6,selected_for_cross_level_review,false
74,sniff out,sniff out,cet6,approved_dictionary_candidate_pool,OEWN,v,sniff_out%2:39:00::,true,0,cet6,selected_for_cross_level_review,false
75,soft pedal,soft pedal,cet6,approved_dictionary_candidate_pool,OEWN,n|v,soft-pedal%2:32:00::|soft_pedal%1:06:00::,true,0,cet6,selected_for_cross_level_review,false
76,wink at,wink at,cet6,approved_dictionary_candidate_pool,OEWN,v,wink_at%2:41:00::,true,0,cet6,selected_for_cross_level_review,false
77,assert oneself,assert oneself,cet6,approved_dictionary_candidate_pool,OEWN,v,assert_oneself%2:41:00::,false,0,cet6,selected_for_cross_level_review,false
78,barge in,barge in,cet6,approved_dictionary_candidate_pool,OEWN,v,barge_in%2:32:00::|barge_in%2:38:00::,false,0,cet6,selected_for_cross_level_review,false
79,blow a fuse,blow a fuse,cet6,approved_dictionary_candidate_pool,OEWN,v,blow_a_fuse%2:37:00::,false,0,cet6,selected_for_cross_level_review,false
80,brace oneself for,brace oneself for,cet6,approved_dictionary_candidate_pool,OEWN,v,brace_oneself_for%2:30:00::,false,0,cet6,selected_for_cross_level_review,false
81,confer with,confer with,cet6,approved_dictionary_candidate_pool,OEWN,v,confer_with%2:32:00::,false,0,cet6,selected_for_cross_level_review,false
82,cozy up,cozy up,cet6,approved_dictionary_candidate_pool,OEWN,v,cozy_up%2:37:09::,false,0,cet6,selected_for_cross_level_review,false
83,default on,default on,cet6,approved_dictionary_candidate_pool,OEWN,v,default_on%2:40:00::,false,0,cet6,selected_for_cross_level_review,false
84,dispense with,dispense with,cet6,approved_dictionary_candidate_pool,OEWN,v,dispense_with%2:40:00::|dispense_with%2:40:01::|dispense_with%2:41:00::,false,0,cet6,selected_for_cross_level_review,false
85,fling off,fling off,cet6,approved_dictionary_candidate_pool,OEWN,v,fling_off%2:36:00::,false,0,cet6,selected_for_cross_level_review,false
86,flip out,flip out,cet6,approved_dictionary_candidate_pool,OEWN,v,flip_out%2:30:00::|flip_out%2:31:00::,false,0,cet6,selected_for_cross_level_review,false
87,flip over,flip over,cet6,approved_dictionary_candidate_pool,OEWN,v,flip_over%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
88,flirt with,flirt with,cet6,approved_dictionary_candidate_pool,OEWN,v,flirt_with%2:31:00::,false,0,cet6,selected_for_cross_level_review,false
89,frown on,frown on,cet6,approved_dictionary_candidate_pool,OEWN,v,frown_on%2:31:00::,false,0,cet6,selected_for_cross_level_review,false
90,frown upon,frown upon,cet6,approved_dictionary_candidate_pool,OEWN,v,frown_upon%2:31:00::,false,0,cet6,selected_for_cross_level_review,false
91,give vent,give vent,cet6,approved_dictionary_candidate_pool,OEWN,v,give_vent%2:32:00::,false,0,cet6,selected_for_cross_level_review,false
92,grope for,grope for,cet6,approved_dictionary_candidate_pool,OEWN,v,grope_for%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
93,hinge on,hinge on,cet6,approved_dictionary_candidate_pool,OEWN,v,hinge_on%2:42:00::,false,0,cet6,selected_for_cross_level_review,false
94,huddle together,huddle together,cet6,approved_dictionary_candidate_pool,OEWN,v,huddle_together%2:38:00::,false,0,cet6,selected_for_cross_level_review,false
95,keep abreast,keep abreast,cet6,approved_dictionary_candidate_pool,OEWN,v,keep_abreast%2:30:02::,false,0,cet6,selected_for_cross_level_review,false
96,lash out,lash out,cet6,approved_dictionary_candidate_pool,OEWN,v,lash_out%2:32:11::,false,0,cet6,selected_for_cross_level_review,false
97,lead astray,lead astray,cet6,approved_dictionary_candidate_pool,OEWN,v,lead_astray%2:32:00::|lead_astray%2:38:00::|lead_astray%2:41:00::,false,0,cet6,selected_for_cross_level_review,false
98,lounge around,lounge around,cet6,approved_dictionary_candidate_pool,OEWN,v,lounge_around%2:42:00::,false,0,cet6,selected_for_cross_level_review,false
99,plea bargain,plea bargain,cet6,approved_dictionary_candidate_pool,OEWN,n|v,plea-bargain%2:32:00::|plea_bargain%1:10:00::,false,0,cet6,selected_for_cross_level_review,false
100,poke fun,poke fun,cet6,approved_dictionary_candidate_pool,OEWN,v,poke_fun%2:32:00::,false,0,cet6,selected_for_cross_level_review,false
101,prop up,prop up,cet6,approved_dictionary_candidate_pool,OEWN,v,prop_up%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
102,rattle off,rattle off,cet6,approved_dictionary_candidate_pool,OEWN,v,rattle_off%2:32:00::,false,0,cet6,selected_for_cross_level_review,false
103,scrape up,scrape up,cet6,approved_dictionary_candidate_pool,OEWN,v,scrape_up%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
104,skim off,skim off,cet6,approved_dictionary_candidate_pool,OEWN,v,skim_off%2:31:00::|skim_off%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
105,skim over,skim over,cet6,approved_dictionary_candidate_pool,OEWN,v,skim_over%2:31:00::|skim_over%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
106,slack off,slack off,cet6,approved_dictionary_candidate_pool,OEWN,v,slack_off%2:30:01::,false,0,cet6,selected_for_cross_level_review,false
107,slam on,slam on,cet6,approved_dictionary_candidate_pool,OEWN,v,slam_on%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
108,snap at,snap at,cet6,approved_dictionary_candidate_pool,OEWN,v,snap_at%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
109,snap back,snap back,cet6,approved_dictionary_candidate_pool,OEWN,v,snap_back%2:29:00::,false,0,cet6,selected_for_cross_level_review,false
110,snap off,snap off,cet6,approved_dictionary_candidate_pool,OEWN,v,snap_off%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
111,snatch up,snatch up,cet6,approved_dictionary_candidate_pool,OEWN,v,snatch_up%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
112,sneak away,sneak away,cet6,approved_dictionary_candidate_pool,OEWN,v,sneak_away%2:38:00::,false,0,cet6,selected_for_cross_level_review,false
113,sneak in,sneak in,cet6,approved_dictionary_candidate_pool,OEWN,v,sneak_in%2:32:00::|sneak_in%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
114,sneak off,sneak off,cet6,approved_dictionary_candidate_pool,OEWN,v,sneak_off%2:38:00::,false,0,cet6,selected_for_cross_level_review,false
115,sneak out,sneak out,cet6,approved_dictionary_candidate_pool,OEWN,v,sneak_out%2:38:00::,false,0,cet6,selected_for_cross_level_review,false
116,sneak up,sneak up,cet6,approved_dictionary_candidate_pool,OEWN,v,sneak_up%2:38:00::,false,0,cet6,selected_for_cross_level_review,false
117,spice up,spice up,cet6,approved_dictionary_candidate_pool,OEWN,v,spice_up%2:30:00::|spice_up%2:39:00::,false,0,cet6,selected_for_cross_level_review,false
118,stoop to,stoop to,cet6,approved_dictionary_candidate_pool,OEWN,v,stoop_to%2:32:00::,false,0,cet6,selected_for_cross_level_review,false
119,strike a chord,strike a chord,cet6,approved_dictionary_candidate_pool,OEWN,v,strike_a_chord%2:31:00::|strike_a_chord%2:37:00::|strike_a_chord%2:37:01::,false,0,cet6,selected_for_cross_level_review,false
120,tack on,tack on,cet6,approved_dictionary_candidate_pool,OEWN,v,tack_on%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
121,tangle with,tangle with,cet6,approved_dictionary_candidate_pool,OEWN,v,tangle_with%2:42:00::,false,0,cet6,selected_for_cross_level_review,false
122,tease apart,tease apart,cet6,approved_dictionary_candidate_pool,OEWN,v,tease_apart%2:35:00::,false,0,cet6,selected_for_cross_level_review,false
123,trim back,trim back,cet6,approved_dictionary_candidate_pool,OEWN,v,trim_back%2:30:00::,false,0,cet6,selected_for_cross_level_review,false
124,trim down,trim down,cet6,approved_dictionary_candidate_pool,OEWN,v,trim_down%2:30:00::,false,0,cet6,selected_for_cross_level_review,false
125,tuck away,tuck away,cet6,approved_dictionary_candidate_pool,OEWN,v,tuck_away%2:34:00::,false,0,cet6,selected_for_cross_level_review,false
126,tuck in,tuck in,cet6,approved_dictionary_candidate_pool,OEWN,v,tuck_in%2:34:00::,false,0,cet6,selected_for_cross_level_review,false
127,zoom in,zoom in,cet6,approved_dictionary_candidate_pool,OEWN,v,zoom_in%2:39:00::,false,0,cet6,selected_for_cross_level_review,false
128,back out,back out,cet6,approved_dictionary_candidate_pool,OEWN,v,back_out%2:32:00::|back_out%2:38:00::,true,1,junior,selected_for_cross_level_review,false
129,bring out,bring out,cet6,approved_dictionary_candidate_pool,OEWN,v,bring_out%2:30:00::|bring_out%2:32:00::|bring_out%2:32:01::|bring_out%2:32:06::|bring_out%2:35:00::|bring_out%2:35:01::|bring_out%2:37:00::|bring_out%2:39:00::|bring_out%2:39:01::,true,1,junior,selected_for_cross_level_review,false
130,build up,build up,cet6,approved_dictionary_candidate_pool,OEWN,v,build_up%2:30:00::|build_up%2:30:02::|build_up%2:30:03::|build_up%2:30:06::|build_up%2:33:00::,true,1,junior,selected_for_cross_level_review,false
131,buy into,buy into,cet6,approved_dictionary_candidate_pool,OEWN,v,buy_into%2:40:00::,true,1,junior,selected_for_cross_level_review,false
132,call in,call in,cet6,approved_dictionary_candidate_pool,OEWN,n|v,call-in%1:10:00::|call_in%2:32:00::|call_in%2:32:02::|call_in%2:35:00::|call_in%2:40:00::|call_in%2:40:02::|call_in%2:41:00::|call_in%2:41:02::,true,1,junior,selected_for_cross_level_review,false
133,cash in,cash in,cet6,approved_dictionary_candidate_pool,OEWN,v,cash_in%2:40:00::,true,1,junior,selected_for_cross_level_review,false
134,catch up,catch up,cet6,approved_dictionary_candidate_pool,OEWN,v,catch_up%2:31:00::|catch_up%2:38:00::,true,1,junior,selected_for_cross_level_review,false
135,chicken out,chicken out,cet6,approved_dictionary_candidate_pool,OEWN,v,chicken_out%2:41:00::,true,1,junior,selected_for_cross_level_review,false
136,clear away,clear away,cet6,approved_dictionary_candidate_pool,OEWN,v,clear_away%2:30:00::,true,1,junior,selected_for_cross_level_review,false
137,clear out,clear out,cet6,approved_dictionary_candidate_pool,OEWN,v,clear_out%2:30:00::|clear_out%2:30:03::|clear_out%2:38:00::,true,1,junior,selected_for_cross_level_review,false
138,clear up,clear up,cet6,approved_dictionary_candidate_pool,OEWN,v,clear_up%2:30:00::|clear_up%2:30:02::|clear_up%2:31:00::|clear_up%2:32:00::|clear_up%2:43:00::,true,1,junior,selected_for_cross_level_review,false
139,climb down,climb down,cet6,approved_dictionary_candidate_pool,OEWN,n|v,climb-down%1:10:00::|climb_down%2:38:00::,true,1,junior,selected_for_cross_level_review,false
140,close down,close down,cet6,approved_dictionary_candidate_pool,OEWN,v,close_down%2:41:00::,true,1,junior,selected_for_cross_level_review,false
141,come upon,come upon,cet6,approved_dictionary_candidate_pool,OEWN,v,come_upon%2:40:01::|come_upon%2:40:09::,true,1,junior,selected_for_cross_level_review,false
142,cut up,cut up,cet6,approved_dictionary_candidate_pool,OEWN,a|n|v,cut-up%1:18:00::|cut_up%2:30:00::|cut_up%2:30:01::|cut_up%2:30:02::|cut_up%2:35:00::|cut_up%5:00:00:cut:01,true,1,junior,selected_for_cross_level_review,false
143,dig in,dig in,cet6,approved_dictionary_candidate_pool,OEWN,v,dig_in%2:34:00::|dig_in%2:35:00::,true,1,junior,selected_for_cross_level_review,false
144,do away with,do away with,cet6,approved_dictionary_candidate_pool,OEWN,v,do_away_with%2:30:00::,true,1,junior,selected_for_cross_level_review,false
145,follow through,follow through,cet6,approved_dictionary_candidate_pool,OEWN,n|v,follow-through%1:04:00::|follow-through%1:04:01::|follow_through%2:30:00::|follow_through%2:35:00::,true,1,junior,selected_for_cross_level_review,false
146,get at,get at,cet6,approved_dictionary_candidate_pool,OEWN,v,get_at%2:37:00::|get_at%2:38:00::|get_at%2:41:00::,true,1,junior,selected_for_cross_level_review,false
147,give off,give off,cet6,approved_dictionary_candidate_pool,OEWN,v,give_off%2:42:00::|give_off%2:43:00::,true,1,junior,selected_for_cross_level_review,false
148,go along,go along,cet6,approved_dictionary_candidate_pool,OEWN,v,go_along%2:38:02::|go_along%2:41:00::|go_along%2:42:00::,true,1,junior,selected_for_cross_level_review,false
149,go around,go around,cet6,approved_dictionary_candidate_pool,OEWN,n|v,go-around%1:04:00::|go_around%2:32:00::|go_around%2:32:01::|go_around%2:38:00::|go_around%2:38:01::|go_around%2:42:00::,true,1,junior,selected_for_cross_level_review,false
150,go under,go under,cet6,approved_dictionary_candidate_pool,OEWN,v,go_under%2:32:00::|go_under%2:38:00::|go_under%2:38:08::,true,1,junior,selected_for_cross_level_review,false
151,hang in,hang in,cet6,approved_dictionary_candidate_pool,OEWN,v,hang_in%2:30:00::,true,1,junior,selected_for_cross_level_review,false
152,keep down,keep down,cet6,approved_dictionary_candidate_pool,OEWN,v,keep_down%2:29:00::|keep_down%2:30:00::|keep_down%2:41:00::,true,1,junior,selected_for_cross_level_review,false
153,keep out,keep out,cet6,approved_dictionary_candidate_pool,OEWN,v,keep_out%2:30:00::|keep_out%2:41:00::,true,1,junior,selected_for_cross_level_review,false
154,let off,let off,cet6,approved_dictionary_candidate_pool,OEWN,v,let_off%2:32:00::,true,1,junior,selected_for_cross_level_review,false
155,light up,light up,cet6,approved_dictionary_candidate_pool,OEWN,v,light_up%2:30:00::|light_up%2:34:00::|light_up%2:43:00::|light_up%2:43:01::|light_up%2:43:02::,true,1,junior,selected_for_cross_level_review,false
156,lock out,lock out,cet6,approved_dictionary_candidate_pool,OEWN,v,lock_out%2:41:00::,true,1,junior,selected_for_cross_level_review,false
157,mix up,mix up,cet6,approved_dictionary_candidate_pool,OEWN,n|v,mix-up%1:04:00::|mix_up%2:31:00::|mix_up%2:36:00::,true,1,junior,selected_for_cross_level_review,false
158,pass by,pass by,cet6,approved_dictionary_candidate_pool,OEWN,v,pass_by%2:38:00::,true,1,junior,selected_for_cross_level_review,false
159,play out,play out,cet6,approved_dictionary_candidate_pool,OEWN,v,play_out%2:30:00::|play_out%2:33:00::|play_out%2:36:00::|play_out%2:40:00::,true,1,junior,selected_for_cross_level_review,false
160,pull through,pull through,cet6,approved_dictionary_candidate_pool,OEWN,n|v,pull-through%1:06:00::|pull_through%2:41:00::|pull_through%2:42:00::,true,1,junior,selected_for_cross_level_review,false
161,push through,push through,cet6,approved_dictionary_candidate_pool,OEWN,v,push_through%2:30:00::,true,1,junior,selected_for_cross_level_review,false
162,put forward,put forward,cet6,approved_dictionary_candidate_pool,OEWN,v,put_forward%2:32:00::|put_forward%2:32:01::|put_forward%2:36:00::|put_forward%2:41:00::,true,1,junior,selected_for_cross_level_review,false
163,put through,put through,cet6,approved_dictionary_candidate_pool,OEWN,v,put_through%2:30:00::|put_through%2:35:00::,true,1,junior,selected_for_cross_level_review,false
164,run over,run over,cet6,approved_dictionary_candidate_pool,OEWN,v,run_over%2:29:00::|run_over%2:38:00::,true,1,junior,selected_for_cross_level_review,false
165,set about,set about,cet6,approved_dictionary_candidate_pool,OEWN,v,set_about%2:30:00::|set_about%2:36:00::|set_about%2:41:00::,true,1,junior,selected_for_cross_level_review,false
166,set off,set off,cet6,approved_dictionary_candidate_pool,OEWN,v,set_off%2:30:00::|set_off%2:30:01::|set_off%2:30:02::|set_off%2:32:00::|set_off%2:36:00::|set_off%2:38:00::|set_off%2:42:00::,true,1,junior,selected_for_cross_level_review,false
167,shake off,shake off,cet6,approved_dictionary_candidate_pool,OEWN,v,shake_off%2:35:00::|shake_off%2:38:00::,true,1,junior,selected_for_cross_level_review,false
168,shake up,shake up,cet6,approved_dictionary_candidate_pool,OEWN,n|v,shake-up%1:04:00::|shake_up%2:35:00::|shake_up%2:35:01::|shake_up%2:37:00::|shake_up%2:38:00::|shake_up%2:38:07::|shake_up%2:41:00::,true,1,junior,selected_for_cross_level_review,false
169,show off,show off,cet6,approved_dictionary_candidate_pool,OEWN,n|v,show-off%1:18:00::|show_off%2:39:00::,true,1,junior,selected_for_cross_level_review,false
170,sign on,sign on,cet6,approved_dictionary_candidate_pool,OEWN,v,sign_on%2:41:00::,true,1,junior,selected_for_cross_level_review,false
