record_id,word,dataset_layer,moby_match_status,moby_matched_forms,moby_raw_codes,moby_parts_of_speech,ecdict_presence_status,ecdict_matched_form,manual_fallback_parts_of_speech,combined_parts_of_speech,item_classification,evidence_status
release-word-1195,Germany,curriculum,exact,Germany,N,noun,exact,Germany,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-1215,goods,curriculum,exact,goods,p,plural_noun,exact,goods,,plural_noun,lexical_or_grammatical_item,supplement_pos_ready
release-word-1300,her,curriculum,exact,her,D|r,determiner_or_article|pronoun,exact,her,,determiner_or_article|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1304,hers,curriculum,exact,hers,r,pronoun,exact,hers,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1305,herself,curriculum,exact,herself,r,pronoun,exact,herself,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1313,him,curriculum,exact,him,r,pronoun,exact,him,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1314,himself,curriculum,exact,himself,r,pronoun,exact,himself,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1316,his,curriculum,exact,his,D|r,determiner_or_article|pronoun,exact,his,,determiner_or_article|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1342,how,curriculum,exact,how,!|N|v,adverb|interjection|noun,exact,how,,adverb|interjection|noun,interjection,supplement_pos_ready
release-word-1359,ice-cream,curriculum,none,,,,exact,ice-cream,noun|adjective,adjective|noun,lexical_or_grammatical_item,supplement_pos_ready
release-word-1366,if,curriculum,exact,if,C|N,conjunction|noun,exact,if,,conjunction|noun,function_word_connector_or_modal,supplement_pos_ready
release-word-1392,India,curriculum,exact,India,N,noun,exact,India,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-1435,Internet,curriculum,none,,,,none,,proper_noun|noun,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-1440,into,curriculum,exact,into,P,preposition,exact,into,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-1454,its,curriculum,exact,its,D,determiner_or_article,exact,its,,determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1455,itself,curriculum,exact,itself,r,pronoun,exact,itself,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1459,Japan,curriculum,exact,Japan,N,noun,exact,Japan,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-1587,London,curriculum,exact,London,N,noun,exact,London,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-1644,me,curriculum,exact,me,N|r,noun|pronoun,exact,me,,noun|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1746,my,curriculum,exact,my,!|D,determiner_or_article|interjection,exact,my,,determiner_or_article|interjection,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1747,myself,curriculum,exact,myself,r,pronoun,exact,myself,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1798,nor,curriculum,exact,nor,C,conjunction,exact,nor,,conjunction,function_word_connector_or_modal,supplement_pos_ready
release-word-1829,o’clock,curriculum,none,,,,none,,time_expression,time_expression,lexical_or_grammatical_item,supplement_pos_ready
release-word-1832,of,curriculum,exact,of,P,preposition,exact,of,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-1849,onto,curriculum,exact,onto,P,preposition,exact,onto,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-1873,ought to,curriculum,none,,,,exact,ought to,modal_verb_phrase,modal_verb_phrase,curriculum_multiword_expression,supplement_pos_ready
release-word-1874,our,curriculum,exact,our,D,determiner_or_article,exact,our,,determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1875,ours,curriculum,exact,ours,r,pronoun,exact,ours,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1876,ourselves,curriculum,exact,ourselves,r,pronoun,exact,ourselves,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-1939,per,curriculum,exact,per,D|P,determiner_or_article|preposition,exact,per,,determiner_or_article|preposition,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2289,Russia,curriculum,exact,Russia,N,noun,exact,Russia,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-2377,shall,curriculum,exact,shall,V,verb,exact,shall,,verb,lexical_or_grammatical_item,supplement_pos_ready
release-word-2385,she,curriculum,exact,she,N|r,noun|pronoun,exact,she,,noun|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2402,should,curriculum,exact,should,V,verb,exact,should,,verb,lexical_or_grammatical_item,supplement_pos_ready
release-word-2422,since,curriculum,exact,since,C|P|v,adverb|conjunction|preposition,exact,since,,adverb|conjunction|preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-2484,something,curriculum,exact,something,r|v,adverb|pronoun,exact,something,,adverb|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2684,than,curriculum,exact,than,C|P,conjunction|preposition,exact,than,,conjunction|preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-2686,that,curriculum,exact,that,C|D|r|v,adverb|conjunction|determiner_or_article|pronoun,exact,that,,adverb|conjunction|determiner_or_article|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2687,the,curriculum,exact,the,D|v,adverb|determiner_or_article,exact,the,,adverb|determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2690,their,curriculum,exact,their,D,determiner_or_article,exact,their,,determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2691,them,curriculum,exact,them,D|r,determiner_or_article|pronoun,exact,them,,determiner_or_article|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2693,themselves,curriculum,exact,themselves,r,pronoun,exact,themselves,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2698,these,curriculum,exact,these,D,determiner_or_article,exact,these,,determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2699,they,curriculum,exact,they,r,pronoun,exact,they,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2709,this,curriculum,exact,this,D|v,adverb|determiner_or_article,exact,this,,adverb|determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2711,those,curriculum,exact,those,D,determiner_or_article,exact,those,,determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2735,to,curriculum,exact,to,P|v,adverb|preposition,exact,to,,adverb|preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-2759,toward,curriculum,exact,toward,A|P,adjective|preposition,exact,toward,,adjective|preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-2809,UK,curriculum,exact,UK,N,noun,exact,UK,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-2821,unless,curriculum,exact,unless,C|P,conjunction|preposition,exact,unless,,conjunction|preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-2826,upon,curriculum,exact,upon,P,preposition,exact,upon,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-2832,US,curriculum,exact,US,N,noun,none,,,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-2833,us,curriculum,exact,us,r,pronoun,exact,us,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2900,we,curriculum,exact,we,r,pronoun,exact,we,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2924,what,curriculum,exact,what,!|D|r|v,adverb|determiner_or_article|interjection|pronoun,exact,what,,adverb|determiner_or_article|interjection|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2928,when,curriculum,exact,when,C|N|r|v,adverb|conjunction|noun|pronoun,exact,when,,adverb|conjunction|noun|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2929,whenever,curriculum,exact,whenever,C,conjunction,exact,whenever,,conjunction,function_word_connector_or_modal,supplement_pos_ready
release-word-2930,where,curriculum,exact,where,C|N|r|v,adverb|conjunction|noun|pronoun,exact,where,,adverb|conjunction|noun|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2931,whether,curriculum,exact,whether,C|r,conjunction|pronoun,exact,whether,,conjunction|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2932,which,curriculum,exact,which,D|r,determiner_or_article|pronoun,exact,which,,determiner_or_article|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2938,whom,curriculum,exact,whom,r,pronoun,exact,whom,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2939,whose,curriculum,exact,whose,D,determiner_or_article,exact,whose,,determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2944,Wi-Fi,curriculum,none,,,,none,,proper_noun|noun,noun|proper_noun,proper_name_or_named_entity,supplement_pos_ready
release-word-2959,with,curriculum,exact,with,P,preposition,exact,with,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-2962,without,curriculum,exact,without,C|P|v,adverb|conjunction|preposition,exact,without,,adverb|conjunction|preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-2979,would,curriculum,exact,would,V,verb,exact,would,,verb,lexical_or_grammatical_item,supplement_pos_ready
release-word-2996,you,curriculum,exact,you,N|r,noun|pronoun,exact,you,,noun|pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2998,your,curriculum,exact,your,D,determiner_or_article,exact,your,,determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-2999,yours,curriculum,exact,yours,r,pronoun,exact,yours,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-3000,yourself,curriculum,exact,yourself,r,pronoun,exact,yourself,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-3360,hey,extension,exact,hey,!,interjection,exact,hey,,interjection,interjection,supplement_pos_ready
release-word-3459,oh,extension,exact,oh,!,interjection,exact,oh,,interjection,interjection,supplement_pos_ready
release-word-3460,oneself,extension,exact,oneself,r,pronoun,exact,oneself,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-3694,theirs,extension,exact,theirs,r,pronoun,exact,theirs,,pronoun,function_word_pronoun_or_determiner,supplement_pos_ready
release-word-3761,via,extension,exact,via,P,preposition,exact,via,,preposition,function_word_connector_or_modal,supplement_pos_ready
release-word-3780,whichever,extension,exact,whichever,D,determiner_or_article,exact,whichever,,determiner_or_article,function_word_pronoun_or_determiner,supplement_pos_ready
