record_id,word,dataset_layer,parts_of_speech,pos_evidence_source,pos_status
release-word-0036,active,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0037,activity,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0038,actor,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0039,actress,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0040,actually,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0041,AD,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0042,adapt,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0043,adaptation,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0044,add,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0045,addict,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0046,addition,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0047,address,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0048,adjust,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0049,administration,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0050,admire,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0051,admit,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0052,adopt,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0053,adorable,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0054,adult,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0055,advance,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0056,advantage,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0057,adventure,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0058,advertise,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0059,advertisement,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0060,advice,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0061,advise,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0062,advocate,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0063,affair,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0064,affect,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0065,afford,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0066,afraid,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0067,Africa,curriculum,noun|proper_noun,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0068,African,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0069,after,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0070,afternoon,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0071,afterward,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0072,again,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0073,against,curriculum,preposition,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0074,age,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0075,agency,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0076,agenda,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0077,ago,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0078,agree,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0079,agreement,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0080,agriculture,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0081,ahead,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0082,aid,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0083,aim,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0084,air,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0085,airline,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0086,airport,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0087,alarm,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0088,alcohol,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0089,alive,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0090,all,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0091,allow,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0092,almost,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0093,alone,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0094,along,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0095,alongside,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0096,aloud,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0097,already,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0098,also,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0099,alternative,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0100,although,curriculum,conjunction,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0101,altogether,curriculum,adverb|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0102,always,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0103,a.m.,curriculum,adverb|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0104,amateur,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0105,amazing,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0106,ambition,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0107,ambitious,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0108,ambulance,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0109,America,curriculum,noun|proper_noun,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0110,American,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0111,among,curriculum,preposition,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0112,amount,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0113,amuse,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0114,analyse,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0115,ancestor,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0116,ancient,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0117,and,curriculum,conjunction|noun,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0118,anger,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0119,angle,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0120,angry,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0121,animal,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0122,ankle,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0123,announce,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0124,annoy,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0125,annual,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0126,another,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0127,answer,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0128,ant,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0129,anticipate,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0130,antique,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0131,anxiety,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0132,anxious,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0133,any,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0134,anybody,curriculum,noun|pronoun,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0135,anyhow,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0136,anyone,curriculum,pronoun,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0137,anything,curriculum,adverb|noun|pronoun,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0138,anyway,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0139,anywhere,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0140,apart,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0141,apartment,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0142,apologise,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0143,apparently,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0144,appeal,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0145,appear,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0146,appetite,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0147,applaud,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0148,apple,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0149,applicant,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0150,application,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0151,apply,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0152,appointment,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0153,appreciate,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0154,approach,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0155,appropriate,curriculum,adjective|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0156,approve,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0157,April,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0158,arch,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0159,architect,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0160,area,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0161,argue,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0162,arise,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0163,arm,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0164,army,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0165,around,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0166,arrangement,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0167,arrest,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0168,arrive,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0169,arrow,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0170,art,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0171,article,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0172,artificial,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0173,artist,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0174,as,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0175,ashamed,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0176,Asia,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0177,Asian,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0178,aside,curriculum,adverb|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0179,ask,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0180,asleep,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0181,aspect,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0182,assess,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0183,assign,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0184,assistant,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0185,association,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0186,assume,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0187,assumption,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0188,astonish,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0189,astronaut,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0190,astronomer,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0191,at,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0192,athlete,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0193,Atlantic,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0194,atmosphere,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0195,attach,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0196,attack,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0197,attain,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0198,attempt,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0199,attend,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0200,attention,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0201,attitude,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0202,attract,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0203,audience,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0204,August,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0205,aunt,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0206,Australia,curriculum,noun|proper_noun,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0207,Australian,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0208,author,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0209,authority,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0210,automatic,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0211,autonomous,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0212,autumn,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0213,available,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0214,average,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0215,avoid,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0216,awake,curriculum,adjective|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0217,award,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0218,aware,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0219,away,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0220,awesome,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0221,awful,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0222,awkward,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0223,baby,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0224,back,curriculum,adjective|adverb|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0225,background,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0226,backward,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0227,bacon,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0228,bad,curriculum,adjective|adverb|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0229,badminton,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0230,bag,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0231,bakery,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0232,balance,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0233,ball,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0234,ballet,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0235,balloon,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0236,bamboo,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0237,ban,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0238,banana,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0239,band,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0240,bank,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0241,bar,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0242,barbecue,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0243,barely,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0244,bark,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0245,barrier,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0246,base,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0247,baseball,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0248,basic,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0249,basin,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0250,basis,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0251,basket,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0252,basketball,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0253,bat,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0254,bath,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0255,bathroom,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0256,battery,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0257,battle,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0258,bay,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0259,BC,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0260,be,curriculum,adverb|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0261,beach,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0262,bean,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0263,bean curd,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0264,bear,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0265,beard,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0266,beat,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0267,beautiful,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
release-word-0268,beauty,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0269,because,curriculum,conjunction,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0270,become,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0271,bed,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0272,bedroom,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0273,beef,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0274,beer,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0275,before,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0276,begin,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0277,behalf,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0278,behave,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0279,behaviour,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0280,behind,curriculum,adjective|adverb|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0281,being,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0282,belief,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0283,believe,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0284,bell,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0285,belong,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0286,below,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0287,belt,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0288,bend,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0289,beneath,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0290,benefit,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0291,beside,curriculum,adverb|preposition,Moby POS and/or rule-documented fallback,supplement_pos_ready
release-word-0292,best,curriculum,adjective|adverb|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0293,bet,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0294,better,curriculum,adjective|adverb|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0295,between,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0296,beyond,curriculum,adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0297,big,curriculum,adjective|adverb,Open English WordNet 2025,pos_evidence_ready
release-word-0298,bike,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0299,bill,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0300,billion,curriculum,adjective|noun,Open English WordNet 2025,pos_evidence_ready
release-word-0301,biology,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0302,bird,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0303,birth,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0304,birthday,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0305,biscuit,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0306,bit,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0307,bite,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0308,bitter,curriculum,adjective|adverb|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0309,black,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0310,blackboard,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0311,blame,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0312,blank,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0313,blanket,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0314,bleed,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0315,bless,curriculum,verb,Open English WordNet 2025,pos_evidence_ready
release-word-0316,blind,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0317,block,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0318,blog,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0319,blood,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0320,blouse,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0321,blow,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0322,blue,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0323,board,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0324,boat,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0325,body,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0326,boil,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0327,bomb,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0328,bond,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0329,bone,curriculum,adjective|noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0330,bonus,curriculum,noun,Open English WordNet 2025,pos_evidence_ready
release-word-0331,book,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0332,boost,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0333,boot,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0334,border,curriculum,noun|verb,Open English WordNet 2025,pos_evidence_ready
release-word-0335,bored,curriculum,adjective,Open English WordNet 2025,pos_evidence_ready
