record_id,word,dataset_layer,match_status,matched_lemmas,parts_of_speech,sense_count,lexicographer_classes,english_definitions,semantic_status
release-word-0037,activity,curriculum,exact_headword,activity,noun,6,noun.act|noun.attribute|noun.process|noun.state,any specific behavior || the state of being active || an organic process that takes place in the body || (chemistry) the capacity of a substance to take part in a chemical reaction || a process existing in or produced by nature (rather than by the intent of human beings) || the trait of being active; moving or acting rapidly and energetically,oewn_semantic_base_ready
release-word-0038,actor,curriculum,exact_headword,actor,noun,2,noun.person,a theatrical performer || a person who acts and gets things done,oewn_semantic_base_ready
release-word-0039,actress,curriculum,exact_headword,actress,noun,1,noun.person,a female actor,oewn_semantic_base_ready
release-word-0040,actually,curriculum,exact_headword,actually,adverb,4,adv.all,in actual fact || used to imply that one would expect the fact to be the opposite of that stated; surprisingly || at present || as a sentence modifier to add slight emphasis; as a modifier to add slight emphasis,oewn_semantic_base_ready
release-word-0041,AD,curriculum,exact_headword,AD,adverb,1,adv.all,in the Christian era; used before dates after the supposed year Christ was born,oewn_semantic_base_ready
release-word-0042,adapt,curriculum,exact_headword,adapt,verb,2,verb.change,"make fit for, or change to suit a new purpose || adapt or conform oneself to new or different conditions",oewn_semantic_base_ready
release-word-0043,adaptation,curriculum,exact_headword,adaptation,noun,3,noun.act|noun.communication|noun.process,a written work (as a novel) that has been recast in a new form || the process of adapting to something (such as environmental conditions) || (physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light),oewn_semantic_base_ready
release-word-0044,add,curriculum,exact_headword,add,verb,6,verb.change|verb.cognition|verb.communication|verb.possession|verb.stative,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of || state or say further || bestow a quality on || make an addition by combining numbers || determine the sum of || constitute an addition",oewn_semantic_base_ready
release-word-0045,addict,curriculum,exact_headword,addict,noun|verb,3,noun.person|verb.consumption,"someone who is so ardently devoted to something that it resembles an addiction || someone who is physiologically dependent on a substance or activity || to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)",oewn_semantic_base_ready
release-word-0046,addition,curriculum,exact_headword,addition,noun,6,noun.act|noun.artifact|noun.location|noun.possession|noun.quantity,a component that is added to something to improve it || the act of adding one thing to another || a quantity that is added || something added to what you already have || a suburban area laid out in streets and lots for a future residential area || the arithmetic operation of summing; calculating the sum of two or more numbers,oewn_semantic_base_ready
release-word-0047,address,curriculum,exact_headword,address,noun|verb,18,noun.attribute|noun.communication|noun.location|verb.change|verb.communication|verb.competition|verb.consumption|verb.possession|verb.social,"(computer science) the code that identifies where a piece of information is stored || the place where a person or organization can be found or communicated with || the act of delivering a formal spoken communication to an audience || the manner of speaking to another individual || a sign in front of a house or business carrying the conventional form by which its location is described || written directions for finding some location; written on letters or packages that are to be delivered to that location || the stance assumed by a golfer in preparation for hitting a golf ball || the ability to do or say what is appropriate for the occasion || speak to || give a speech to || put an address on (an envelope) || direct a question at someone || address or apply oneself to something, direct one's efforts towards something, such as a question || greet, as with a prescribed form, title, or name || access or locate by address || act on verbally or in some form of artistic expression || speak to someone || adjust and aim (a golf ball) at in preparation of hitting",oewn_semantic_base_ready
release-word-0048,adjust,curriculum,exact_headword,adjust,verb,5,verb.change|verb.cognition,alter or regulate so as to achieve accuracy or conform to a standard || place in a line or arrange so as to be parallel or straight || adapt or conform oneself to new or different conditions || make correspondent or conformable || decide how much is to be paid on an insurance claim,oewn_semantic_base_ready
release-word-0049,administration,curriculum,exact_headword,administration,noun,6,noun.act|noun.group|noun.time,a method of tending to or managing the affairs of some group of people (especially the group's business affairs) || the persons (or committees or departments etc.) who make up a body for the purpose of administering something || the act of administering medication || the tenure of a president || the act of governing; exercising authority || the act of meting out justice according to the law,oewn_semantic_base_ready
release-word-0050,admire,curriculum,exact_headword,admire,verb,2,verb.emotion|verb.perception,feel admiration for || look at with admiration,oewn_semantic_base_ready
release-word-0051,admit,curriculum,exact_headword,admit,verb,8,verb.communication|verb.possession|verb.social|verb.stative,"declare to be true or admit the existence or reality or truth of || allow to enter; grant entry to || allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of || admit into a group or community || afford possibility || give access or entrance to || have room for; hold without crowding || serve as a means of entrance",oewn_semantic_base_ready
release-word-0052,adopt,curriculum,exact_headword,adopt,verb,7,verb.change|verb.cognition|verb.creation|verb.possession|verb.social,"choose and follow; as of theories, ideas, policies, strategies or plans || take up and practice as one's own || take on titles, offices, duties, responsibilities || take on a certain form, attribute, or aspect || take into one's family || put into dramatic form || take up the cause, ideology, practice, method, of someone and use it as one's own",oewn_semantic_base_ready
release-word-0053,adorable,curriculum,exact_headword,adorable,adjective,1,adj.all,lovable especially in a childlike or naive way,oewn_semantic_base_ready
release-word-0054,adult,curriculum,exact_headword,adult,adjective|noun,4,adj.all|noun.animal|noun.person,(of animals) fully developed || designed to arouse lust || a fully developed person from maturity onward || any mature animal,oewn_semantic_base_ready
release-word-0055,advance,curriculum,exact_headword,advance,adjective|noun|verb,20,adj.all|noun.act|noun.communication|noun.event|noun.possession|verb.change|verb.communication|verb.competition|verb.motion|verb.possession|verb.social,"being ahead of time or need || situated ahead or going before || a movement forward || a change for the better; progress in development || a tentative suggestion designed to elicit the reactions of others || the act of moving forward (as toward a goal) || an amount paid before it is earned || increase in price or value || move forward, also in the metaphorical sense || bring forward for consideration or acceptance || contribute to the progress or growth of || cause to move forward || obtain advantages, such as points, etc. || develop in a positive way || develop further || give a promotion to or assign to a higher position || pay in advance || move forward || rise in rate or price || increase or raise",oewn_semantic_base_ready
release-word-0056,advantage,curriculum,exact_headword,advantage,noun|verb,4,noun.attribute|noun.quantity|verb.social,the quality of having a superior or more favorable position || (tennis) first point scored after deuce || benefit resulting from some event or action || give an advantage to,oewn_semantic_base_ready
release-word-0057,adventure,curriculum,exact_headword,adventure,noun|verb,3,noun.act|verb.social,a wild and exciting undertaking (not necessarily lawful) || take a risk in the hope of a favorable outcome || put at risk,oewn_semantic_base_ready
release-word-0058,advertise,curriculum,exact_headword,advertise,verb,2,verb.communication,call attention to || make publicity for; try to sell (a product),oewn_semantic_base_ready
release-word-0059,advertisement,curriculum,exact_headword,advertisement|ad,noun,2,noun.communication,a public promotion of some product or service || a public promotion of some product or service,oewn_semantic_base_ready
release-word-0060,advice,curriculum,exact_headword,advice,noun,1,noun.communication,a proposal for an appropriate course of action,oewn_semantic_base_ready
release-word-0061,advise,curriculum,exact_headword,advise,verb,3,verb.communication,"give advice to || inform (somebody) of something || make a proposal, declare a plan for something",oewn_semantic_base_ready
release-word-0062,advocate,curriculum,exact_headword,advocate,noun|verb,4,noun.person|verb.communication,"a person who pleads for a cause or propounds an idea || a lawyer who pleads cases in court || push for something || speak, plead, or argue in favor of",oewn_semantic_base_ready
release-word-0063,affair,curriculum,exact_headword,affair,noun,3,noun.cognition|noun.event|noun.state,a vaguely specified concern || a usually secretive or illicit sexual relationship || a formal or official social gathering or ceremony of people,oewn_semantic_base_ready
release-word-0064,affect,curriculum,exact_headword,affect,noun|verb,6,noun.feeling|verb.body|verb.change|verb.communication|verb.emotion|verb.stative,the conscious subjective aspect of feeling or emotion || have an effect upon || act physically on; have an effect upon || connect closely and often incriminatingly || make believe with the intent to deceive || have an emotional or cognitive impact upon,oewn_semantic_base_ready
release-word-0065,afford,curriculum,exact_headword,afford,verb,3,verb.consumption|verb.possession|verb.stative,be able to spare or give up || be the cause or source of || have the financial means to do something or buy something,oewn_semantic_base_ready
release-word-0066,afraid,curriculum,exact_headword,afraid,adjective,4,adj.all,filled with fear or apprehension || filled with regret or concern; used often to soften an unpleasant statement || feeling worry or concern or insecurity || having feelings of aversion or unwillingness,oewn_semantic_base_ready
release-word-0067,Africa,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0068,African,curriculum,exact_headword,African,adjective|noun,2,adj.pert|noun.person,of or relating to the nations of Africa or their peoples || a native or inhabitant of Africa,oewn_semantic_base_ready
release-word-0069,after,curriculum,exact_headword,after,adjective|adverb,3,adj.all|adv.all,located farther aft || happening at a time subsequent to a reference time || behind or in the rear,oewn_semantic_base_ready
release-word-0070,afternoon,curriculum,exact_headword,afternoon,noun,2,noun.communication|noun.time,"the part of the day between noon and evening || a conventional expression of greeting or farewell, used to wish someone a good afternoon",oewn_semantic_base_ready
release-word-0071,afterward,curriculum,exact_headword,afterward,adverb,1,adv.all,happening at a time subsequent to a reference time,oewn_semantic_base_ready
release-word-0072,again,curriculum,exact_headword,again,adverb,1,adv.all,anew,oewn_semantic_base_ready
release-word-0073,against,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0074,age,curriculum,exact_headword,age,noun|verb,8,noun.attribute|noun.time|verb.change,how long something has existed || an era of history having some distinctive feature || a time of life (usually defined in years) at which some particular qualification or power arises || a prolonged period of time || a late time of life || begin to seem older; get older || grow old or older || make older,oewn_semantic_base_ready
release-word-0075,agency,curriculum,exact_headword,agency,noun,5,noun.act|noun.group|noun.state,"an administrative unit of government || a business or organization that provides a particular service, especially the mediation of transactions between two parties || the state of being in action or exerting power || the state of serving as an official and authorized delegate or agent || to have the ability to produce a particular effect or achieve an end",oewn_semantic_base_ready
release-word-0076,agenda,curriculum,exact_headword,agenda,noun,2,noun.cognition|noun.communication,a temporally organized plan for matters to be attended to || a list of matters to be taken up (as at a meeting),oewn_semantic_base_ready
release-word-0077,ago,curriculum,exact_headword,ago,adjective|adverb,2,adj.all|adv.all,gone by; or in the past || in the past,oewn_semantic_base_ready
release-word-0078,agree,curriculum,exact_headword,agree,verb,7,verb.communication|verb.possession|verb.stative,"be in accord; be in agreement || consent or assent to a condition, or agree to do something || be compatible, similar or consistent; coincide in their characteristics || go together || show grammatical agreement || be agreeable or suitable || achieve harmony of opinion, feeling, or purpose",oewn_semantic_base_ready
release-word-0079,agreement,curriculum,exact_headword,agreement,noun,6,noun.attribute|noun.cognition|noun.communication|noun.relation|noun.state,the statement (oral or written) of an exchange of promises || compatibility of observations || harmony of people's opinions or actions or characters || the thing arranged or agreed to || the determination of grammatical inflection on the basis of word relations || the verbal act of agreeing,oewn_semantic_base_ready
release-word-0080,agriculture,curriculum,exact_headword,agriculture,noun,3,noun.act|noun.group,a large-scale farming enterprise || the practice of cultivating the land or raising stock || the class of people engaged in growing food,oewn_semantic_base_ready
release-word-0081,ahead,curriculum,exact_headword,ahead,adjective|adverb,8,adj.all|adv.all,having the leading position or higher score in a contest || at or in the front || toward the future; forward in time || in a forward direction || ahead of time; in anticipation || to a more advanced or advantageous position || to a different or a more advanced time (meaning advanced either toward the present or toward the future) || leading or ahead in a competition,oewn_semantic_base_ready
release-word-0082,aid,curriculum,exact_headword,aid,noun|verb,6,noun.act|noun.attribute|noun.possession|verb.body|verb.social,a person or thing that is a resource that helps make something easier or possible to do || the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose || gift of money or other material help to support a person or cause || the work of providing treatment for or attending to someone or something || give help or assistance; be of service || improve the condition of,oewn_semantic_base_ready
release-word-0083,aim,curriculum,exact_headword,aim,noun|verb,11,noun.act|noun.cognition|noun.location|verb.cognition|verb.communication|verb.competition,"an anticipated outcome that is intended or that guides your planned actions || the goal intended to be attained (and which is believed to be attainable) || the action of directing something at an object || the direction or path along which something moves or along which it lies || point or cause to go (blows, weapons, or objects such as photographic equipment) towards || propose or intend || move into a desired direction of discourse || specifically design a product, event, or activity for a certain public || intend (something) to move towards a certain goal || direct (a remark) toward an intended goal || have an ambitious plan or a lofty goal",oewn_semantic_base_ready
release-word-0084,air,curriculum,exact_headword,air,noun|verb,15,noun.act|noun.attribute|noun.communication|noun.location|noun.phenomenon|noun.substance|verb.change|verb.communication|verb.perception,"a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of || the region above the ground || a distinctive but intangible quality surrounding a person or thing || a slight wind (usually refreshing) || the mass of air surrounding the Earth || once thought to be one of four elements composing the universe (Empedocles), associated with the humour blood || a succession of notes forming a distinctive sequence || medium for radio and television broadcasting || travel via aircraft || expose to fresh air || be broadcast || broadcast over the airwaves, as in radio or television || make public || expose to warm or heated air, so as to dry || expose to cool or cold air so as to cool or freshen",oewn_semantic_base_ready
release-word-0085,airline,curriculum,exact_headword,airline,noun,2,noun.artifact,a hose that carries air under pressure || a commercial enterprise that provides scheduled flights for passengers,oewn_semantic_base_ready
release-word-0086,airport,curriculum,exact_headword,airport,noun,1,noun.artifact,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,oewn_semantic_base_ready
release-word-0087,alarm,curriculum,exact_headword,alarm,noun|verb,6,noun.artifact|noun.communication|noun.feeling|verb.communication|verb.emotion,fear resulting from the awareness of danger || a device that signals the occurrence of some undesirable event || an automatic signal (usually a sound) warning of danger || a clock that wakes a sleeper at some preset time || fill with apprehension or alarm; cause to be unpleasantly surprised || warn or arouse to a sense of danger or call to a state of preparedness,oewn_semantic_base_ready
release-word-0088,alcohol,curriculum,exact_headword,alcohol,noun,2,noun.food|noun.substance,a liquor or brew containing alcohol as the active agent || any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation,oewn_semantic_base_ready
release-word-0089,alive,curriculum,exact_headword,alive,adjective,7,adj.all,possessing life || (often followed by ‘with’) full of life and spirit || having life or vigor or spirit || (followed by ‘to’ or ‘of’) aware of || in operation || mentally perceptive and responsive || capable of erupting,oewn_semantic_base_ready
release-word-0090,all,curriculum,exact_headword,all,adjective|adverb,3,adj.all|adv.all,(quantifier) used with either mass or count nouns to indicate the whole number or amount of or every one of a class || completely given to or absorbed by || to a complete degree or to the full or entire extent; Completely or entirely,oewn_semantic_base_ready
release-word-0091,allow,curriculum,exact_headword,allow,verb,10,verb.cognition|verb.communication|verb.possession|verb.social|verb.stative,"make it possible through a specific action or lack of action for something to happen || consent to, give permission; permit || let have || give or assign a resource to a particular person or cause || make a possibility or provide opportunity for; permit to be attainable or cause to remain || allow or plan for a certain possibility; concede the truth or validity of something || afford possibility || allow the other (baseball) team to score || grant as a discount or in exchange || allow the presence of or allow (an activity) without opposing or prohibiting",oewn_semantic_base_ready
release-word-0092,almost,curriculum,exact_headword,almost,adverb,1,adv.all,(of actions or states) slightly short of or not quite accomplished; all but,oewn_semantic_base_ready
release-word-0093,alone,curriculum,exact_headword,alone,adjective|adverb,6,adj.all|adv.all,isolated from others || lacking companions or companionship || exclusive of anyone or anything else || radically distinctive and without equal || without any others being included or involved || without anybody else or anything else,oewn_semantic_base_ready
release-word-0094,along,curriculum,exact_headword,along,adverb,5,adv.all,with a forward motion || in accompaniment or as a companion || to a more advanced state || in addition (usually followed by ‘with’) || in line with a length or direction (often followed by ‘by’ or ‘beside’),oewn_semantic_base_ready
release-word-0095,alongside,curriculum,exact_headword,alongside,adverb,1,adv.all,side by side,oewn_semantic_base_ready
release-word-0096,aloud,curriculum,exact_headword,aloud,adverb,2,adv.all,using the voice; not silently || with relatively high volume,oewn_semantic_base_ready
release-word-0097,already,curriculum,exact_headword,already,adverb,1,adv.all,prior to a specified or implied time,oewn_semantic_base_ready
release-word-0098,also,curriculum,exact_headword,also,adverb,1,adv.all,in addition,oewn_semantic_base_ready
release-word-0099,alternative,curriculum,exact_headword,alternative,adjective|noun,4,adj.all|noun.cognition,serving or used in place of another || necessitating a choice between mutually exclusive possibilities || pertaining to unconventional choices || one of a number of things from which only one can be chosen,oewn_semantic_base_ready
release-word-0100,although,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-0101,altogether,curriculum,exact_headword,altogether,adverb|noun,4,adv.all|noun.state,informal terms for nakedness || to a complete degree or to the full or entire extent; Completely or entirely || with everything included or counted || with everything considered (and neglecting details),oewn_semantic_base_ready
release-word-0102,always,curriculum,exact_headword,always,adverb,5,adv.all,"at all times; all the time and on every occasion || without variation or change, in every case || invariably || at any time or in any event || forever; throughout all time",oewn_semantic_base_ready
release-word-0103,a.m.,curriculum,exact_headword,a.m.,adverb|noun,2,adv.all|noun.time,the period between midnight and noon || before 12 noon,oewn_semantic_base_ready
release-word-0104,amateur,curriculum,exact_headword,amateur,adjective|noun,4,adj.all|noun.person,engaged in as a pastime || lacking professional skill or expertise || someone who pursues a study or sport as a pastime || an athlete who does not play for pay,oewn_semantic_base_ready
release-word-0105,amazing,curriculum,exact_headword,amazing,adjective,2,adj.all,surprising greatly || inspiring awe or admiration or wonder,oewn_semantic_base_ready
release-word-0106,ambition,curriculum,exact_headword,ambition,noun|verb,3,noun.attribute|noun.feeling|verb.emotion,a cherished desire || a strong drive for success || have as one's ambition,oewn_semantic_base_ready
release-word-0107,ambitious,curriculum,exact_headword,ambitious,adjective,2,adj.all,having a strong desire for success or achievement || requiring full use of your abilities or resources,oewn_semantic_base_ready
release-word-0108,ambulance,curriculum,exact_headword,ambulance,noun,1,noun.artifact,a vehicle that takes people to and from hospitals,oewn_semantic_base_ready
release-word-0109,America,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
