record_id,word,dataset_layer,match_status,matched_lemmas,parts_of_speech,sense_count,lexicographer_classes,english_definitions,semantic_status
release-word-1746,my,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1747,myself,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1798,nor,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1829,o’clock,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1832,of,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1849,onto,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1873,ought to,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1874,our,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1875,ours,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1876,ourselves,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-1939,per,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2289,Russia,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2377,shall,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2385,she,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2402,should,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2422,since,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2484,something,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2684,than,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2686,that,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2687,the,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2690,their,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2691,them,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2693,themselves,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2698,these,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2699,they,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2709,this,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2711,those,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2735,to,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2759,toward,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2809,UK,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2821,unless,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2826,upon,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2832,US,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2833,us,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2900,we,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2924,what,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2928,when,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2929,whenever,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2930,where,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2931,whether,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2932,which,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2938,whom,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2939,whose,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2944,Wi-Fi,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2959,with,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2962,without,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2979,would,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2996,you,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2998,your,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-2999,yours,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-3000,yourself,curriculum,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-3360,hey,extension,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-3459,oh,extension,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-3460,oneself,extension,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-3694,theirs,extension,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-3761,via,extension,no_oewn_match,,,0,,,needs_non_oewn_review
release-word-3780,whichever,extension,no_oewn_match,,,0,,,needs_non_oewn_review
