queue_id,word,legacy_candidate_form,queue_route,relevance_score,bnc_rank,contemporary_rank,part_of_speech,oewn_lexicographer_classes,theme_candidates,review_focus,current_status,definitions_zh,phonetic_uk,phonetic_us
secondary-review-0022,bathtub,bathtub,original_medium_frequency,5,34329,9766,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0023,bedding,beddings,normalized_legacy_surface_form,6,9522,11136,n,noun.artifact,人与社会,确认规范词头的主题价值；不得恢复旧复数形式,pending_explicit_semantic_decision,,,
secondary-review-0024,beehive,beehive,original_medium_frequency,5,19831,17858,n,noun.artifact|noun.body|noun.object,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0025,bent,bent,original_medium_frequency,5,14388,12145,a|n,adj.all|noun.cognition|noun.location|noun.plant,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0026,bingo,bingo,original_medium_frequency,5,12087,15245,n,noun.act,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0027,biochemistry,biochemistry,original_medium_frequency,5,16248,17884,n,noun.cognition,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0028,birthplace,birthplace,original_medium_frequency,5,11609,11526,n,noun.location,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0029,boating,boating,original_medium_frequency,4,21636,15104,n,noun.act,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0030,bookcase,bookcase,original_medium_frequency,5,15277,12527,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0031,bookmark,bookmark,promoted_from_low_frequency_semantic_review,3,27606,20965,n,noun.artifact,人与社会,纸质阅读和数字阅读场景均常用,pending_explicit_semantic_decision,,,
secondary-review-0032,bookshelf,bookshelf,original_medium_frequency,4,22136,11170,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0033,bookstore,bookstore,original_medium_frequency,5,33117,6186,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0034,botany,botany,original_medium_frequency,4,15909,20491,n,noun.cognition|noun.group,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0035,bravery,bravery,original_medium_frequency,5,11705,12303,n,noun.attribute|noun.feeling,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0036,breathless,breathless,original_medium_frequency,6,8961,10896,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0037,brewery,brewery,original_medium_frequency,6,5781,15159,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0038,brotherhood,brotherhood,original_medium_frequency,5,11836,13702,n,noun.feeling|noun.group|noun.relation,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0039,brunch,brunch,original_medium_frequency,4,36288,13712,n|v,noun.food|verb.consumption,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0040,bungalow,bungalow,original_medium_frequency,6,6535,10710,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0041,burglar,burglar,original_medium_frequency,6,7271,11050,n,noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0042,bush,bush,original_medium_frequency,6,2801,34013,a|n|v,adj.all|noun.body|noun.group|noun.location|noun.plant|verb.possession,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0043,businesswoman,businesswoman,original_medium_frequency,4,23054,19286,n,noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0044,caption,caption,original_medium_frequency,6,10185,9117,n|v,noun.communication|verb.possession,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0045,centigrade,centigrade,promoted_from_low_frequency_semantic_review,1,27004,,a,adj.pert,人与自然,温度和科学阅读中仍需识别，后续应与 Celsius 建立变体关系,pending_explicit_semantic_decision,,,
secondary-review-0046,cheque,cheque,original_medium_frequency,6,2753,31750,n|v,noun.possession|verb.possession,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0047,coke,coke,original_medium_frequency,6,7803,12273,n|v,noun.artifact|noun.substance|verb.change,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0048,comma,comma,original_medium_frequency,5,10368,18884,n,noun.animal|noun.communication,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0049,considerate,considerate,original_medium_frequency,5,13960,17092,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0050,cooker,cooker,original_medium_frequency,6,7276,13730,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0051,cordless,cordless,original_medium_frequency,5,17375,15786,a,adj.pert,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0052,cosy,cosy,original_medium_frequency,5,6933,36003,a|n|s,adj.all|noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0053,cubic,cubic,original_medium_frequency,6,10327,7772,a,adj.all|adj.pert,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0054,customs,customs,promoted_from_low_frequency_semantic_review,0,,,n,noun.possession,人与社会,作为海关和关税的独立集合名词，不按 custom 的普通复数处理,pending_explicit_semantic_decision,,,
secondary-review-0055,dictation,dictation,promoted_from_low_frequency_semantic_review,3,20641,21756,n,noun.communication,人与社会,学校学习和语言教学场景中有明确价值,pending_explicit_semantic_decision,,,
secondary-review-0056,disobey,disobey,original_medium_frequency,5,18583,15476,v,verb.social,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0057,drier,drier,original_medium_frequency,4,19790,22822,n,noun.artifact|noun.substance,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0058,dustbin,dustbin,original_medium_frequency,5,9594,28258,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0059,eastwards,eastwards,promoted_from_low_frequency_semantic_review,2,14945,,r,adv.all,人与自然,方向和地理阅读中实用，后续与 eastward 建立词形关系,pending_explicit_semantic_decision,,,
secondary-review-0060,eggplant,eggplant,promoted_from_low_frequency_semantic_review,2,,10618,n,noun.food|noun.plant,人与自然,食物、植物及美式英语阅读中常见,pending_explicit_semantic_decision,,,
secondary-review-0061,enquiry,enquiry,original_medium_frequency,6,2472,24159,n,noun.act|noun.cognition|noun.communication,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0062,eyesight,eyesight,original_medium_frequency,5,13749,14627,n,noun.cognition,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0063,eyewitness,eyewitness,original_medium_frequency,6,19899,8633,n|v,noun.person|verb.perception,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0064,fingernail,fingernail,original_medium_frequency,6,12348,7769,n,noun.body,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0065,firewood,firewood,original_medium_frequency,5,15317,12444,n,noun.substance,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0066,firework,firework,promoted_from_low_frequency_semantic_review,3,8853,,n,noun.artifact,人与社会,节庆、文化和安全主题中常见,pending_explicit_semantic_decision,,,
secondary-review-0067,flaming,flaming,original_medium_frequency,5,15457,12654,a|n,adj.all|noun.process,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0068,flashlight,flashlight,original_medium_frequency,5,25749,6373,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0069,fluency,fluency,original_medium_frequency,5,14342,13181,n,noun.attribute|noun.cognition|noun.communication,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0070,forgetful,forgetful,original_medium_frequency,4,19606,23938,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0071,fortnight,fortnight,original_medium_frequency,6,4290,22633,n,noun.time,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0072,fragrant,fragrant,original_medium_frequency,6,12331,9055,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0073,freeway,freeway,original_medium_frequency,5,23892,6142,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0074,fried,fried,original_medium_frequency,6,10093,5612,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0075,fright,fright,original_medium_frequency,5,10016,12606,n|v,noun.feeling|verb.emotion,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0076,gale,gale,original_medium_frequency,6,8689,12845,n,noun.phenomenon,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0077,gallon,gallon,promoted_from_low_frequency_semantic_review,3,6013,,n,noun.quantity,人与自然,英美计量单位，说明文和生活阅读中需要识别,pending_explicit_semantic_decision,,,
secondary-review-0078,goldfish,goldfish,original_medium_frequency,5,10625,16320,n,noun.animal,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0079,granny,granny,original_medium_frequency,6,7205,18824,n,noun.artifact|noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0080,graph,graph,original_medium_frequency,6,4596,26137,n|v,noun.communication|verb.creation,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0081,grocer,grocer,original_medium_frequency,5,11854,14410,n,noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0082,haircut,haircut,original_medium_frequency,6,12035,8476,n,noun.act|noun.body,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0083,harbour,harbour,original_medium_frequency,6,3526,36866,n|v,noun.artifact|noun.location|verb.emotion|verb.perception|verb.possession|verb.stative,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0084,hardworking,hardworking,promoted_from_low_frequency_semantic_review,2,18992,,a,adj.all,人与自我,人物品质描述中常见，OEWN确认当前拼写为独立词头,pending_explicit_semantic_decision,,,
secondary-review-0085,headmistress,headmistress,original_medium_frequency,4,12713,27070,n,noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0086,hibernate,hibernate,promoted_from_low_frequency_semantic_review,3,24989,21924,v,verb.body|verb.social,人与自然,动物、生物与科技休眠语境均有价值,pending_explicit_semantic_decision,,,
secondary-review-0087,hibernation,hibernation,original_medium_frequency,4,22451,19620,n,noun.act|noun.state,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0088,hilly,hilly,original_medium_frequency,5,15079,15597,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0089,hive,hive,original_medium_frequency,5,11665,11401,n|v,noun.artifact|noun.group|noun.object|verb.contact|verb.motion|verb.possession,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0090,hostess,hostess,original_medium_frequency,6,9940,10323,n,noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0091,howl,howl,original_medium_frequency,6,10307,8380,n|v,noun.communication|noun.event|verb.body|verb.communication,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0092,humour,humour,original_medium_frequency,4,3219,,n|v,noun.attribute|noun.body|noun.communication|noun.feeling|verb.communication,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0093,inland,inland,original_medium_frequency,6,5084,11233,a|r,adj.all|adv.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0094,inventor,inventor,original_medium_frequency,6,10125,8188,n,noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0095,irrigate,irrigate,original_medium_frequency,4,26536,16313,v,verb.body|verb.change,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0096,irrigation,irrigation,original_medium_frequency,6,12413,6974,n,noun.act,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0097,jewelry,jewelry,original_medium_frequency,4,,4187,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0098,juicy,juicy,original_medium_frequency,6,14477,8742,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0099,labourer,labourer,original_medium_frequency,5,5556,32892,n,noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0100,lame,lame,original_medium_frequency,6,11787,9982,a|n|v,adj.all|noun.artifact|noun.person|verb.body,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0101,latest,latest,promoted_from_low_frequency_semantic_review,0,,,a|n,adj.all|noun.communication,一般阅读,除规则最高级外还有“最新消息/最新的”词汇化用法,pending_explicit_semantic_decision,,,
secondary-review-0102,lavatory,lavatory,original_medium_frequency,6,7030,19680,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0103,learned,learned,original_medium_frequency,6,6667,10842,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0104,leftover,leftover,original_medium_frequency,5,22683,9769,a|n,adj.all|noun.relation,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0105,lemonade,lemonade,original_medium_frequency,5,15571,11562,n,noun.food,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0106,litre,litre,promoted_from_low_frequency_semantic_review,3,5726,,n,noun.quantity,人与自然,公制容量单位及英式拼写，说明文中实用,pending_explicit_semantic_decision,,,
secondary-review-0107,locust,locust,original_medium_frequency,4,21741,15256,n,noun.animal|noun.plant,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0108,lorry,lorry,original_medium_frequency,6,3524,24926,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0109,loudspeaker,loudspeaker,original_medium_frequency,5,14516,12875,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0110,mailbox,mailbox,original_medium_frequency,5,35234,9004,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0111,maple,maple,original_medium_frequency,6,10494,5571,n,noun.plant,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0112,melon,melon,original_medium_frequency,6,12740,9886,n,noun.food|noun.plant,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0113,memorize,memorize,original_medium_frequency,5,21017,8276,v,verb.cognition,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0114,mend,mend,original_medium_frequency,6,7566,10849,n|v,noun.act|noun.artifact|verb.change,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0115,merciful,merciful,original_medium_frequency,5,19546,17622,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0116,minibus,minibus,original_medium_frequency,4,15504,27815,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0117,mistaken,mistaken,original_medium_frequency,6,9508,12710,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0118,mommy,mommy,original_medium_frequency,4,47154,9690,n,noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0119,mop,mop,original_medium_frequency,5,11184,12312,n|v,noun.artifact|verb.body|verb.contact,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0120,motherland,motherland,promoted_from_low_frequency_semantic_review,3,26292,23389,n,noun.location,人与社会,国家、文化与身份主题阅读中有价值,pending_explicit_semantic_decision,,,
secondary-review-0121,motorbike,motorbike,original_medium_frequency,4,10026,22347,n|v,noun.artifact|verb.motion,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0122,mountainous,mountainous,original_medium_frequency,5,14181,12342,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0123,moustache,moustache,original_medium_frequency,6,7198,16314,n,noun.body,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0124,mouthful,mouthful,original_medium_frequency,6,9085,13176,n,noun.food|noun.quantity,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0125,mutton,mutton,original_medium_frequency,4,15305,22179,n,noun.food,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0126,necklace,necklace,original_medium_frequency,6,10178,6583,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0127,noisily,noisily,original_medium_frequency,5,12642,16141,r,adv.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0128,northwards,northwards,promoted_from_low_frequency_semantic_review,3,11689,43874,r,adv.all,人与自然,方向和地理阅读中实用，后续与 northward 建立词形关系,pending_explicit_semantic_decision,,,
secondary-review-0129,numb,numb,original_medium_frequency,6,12639,9317,a|v,adj.all|verb.perception,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0130,offence,offence,original_medium_frequency,6,1550,22003,n,noun.act|noun.feeling|noun.group,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0131,oilfield,oilfield,promoted_from_low_frequency_semantic_review,1,26075,,n,noun.location,人与自然,能源、资源和环境主题中的常见复合词,pending_explicit_semantic_decision,,,
secondary-review-0132,omelette,omelette,original_medium_frequency,4,15720,22503,n,noun.food,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0133,opener,opener,original_medium_frequency,6,10456,7761,n,noun.artifact|noun.event|noun.person,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0134,organise,organise,original_medium_frequency,4,1672,,v,verb.change|verb.cognition|verb.creation|verb.social,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0135,outdoors,outdoors,original_medium_frequency,6,15004,7559,n|r,adv.all|noun.location,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0136,outspoken,outspoken,original_medium_frequency,6,11487,8801,a,adj.all,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0137,overcoat,overcoat,original_medium_frequency,5,10596,12679,n,noun.artifact,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0138,overweight,overweight,original_medium_frequency,6,10207,6628,a|n,adj.all|noun.attribute,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0139,ox,ox,promoted_from_low_frequency_semantic_review,2,11804,,n,noun.animal,人与自然,动物、农业和文化阅读中的基础名词,pending_explicit_semantic_decision,,,
secondary-review-0140,paddle,paddle,original_medium_frequency,6,10365,9187,n|v,noun.artifact|verb.contact|verb.motion|verb.social,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
secondary-review-0141,penny,penny,original_medium_frequency,4,4306,,n,noun.possession|noun.quantity,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入,pending_explicit_semantic_decision,,,
