record_id,phrase,normalized_phrase,accepted_variants,introduced_level,included_in,phrase_type,evidence_route,form_evidence,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,selection_reason,qa_status,human_review_claimed
PH-J-0033,for sure,for sure,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,for_sure%4:02:00::|for_sure%5:00:00:unquestionable:00,false,6,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0034,from time to time,from time to time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,from_time_to_time%4:02:00::,false,5,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0035,good luck,good luck,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",lexical_collocation,approved_dictionary_candidate_pool,OEWN,good_luck%1:11:00::|good_luck%1:19:00::|good_luck%1:26:00::,false,9,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0036,here and there,here and there,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,here_and_there%4:02:00::,false,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0037,in all,in all,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,in_all%4:02:00::,false,49,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0038,in common,in common,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,in_common%4:02:00::|in_common%4:02:01::,false,12,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0039,in fact,in fact,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,in_fact%4:02:00::,false,42,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0040,in line,in line,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,in_line%4:02:00::|in_line%5:00:00:eligible:00|in_line%5:00:00:succeeding:00,false,12,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0041,in order,in order,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adjective_expression,approved_dictionary_candidate_pool,OEWN,in_order%5:00:00:ready:00,false,46,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0042,in short,in short,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,in_short%4:02:01::,false,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0043,in the end,in the end,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,in_the_end%4:02:00::|in_the_end%4:02:02::,false,17,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0044,in the way,in the way,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,in_the_way%4:02:00::,false,10,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0045,just in time,just in time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,just_in_time%4:02:00::,false,5,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0046,later on,later on,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,later_on%4:02:00::,false,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0047,more and more,more and more,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,more_and_more%4:02:00::,false,17,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0048,next door,next door,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,next_door%4:02:00::,false,5,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0049,no doubt,no doubt,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,no_doubt%4:02:00::,false,11,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0050,no matter,no matter,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,no_matter%4:02:00::,false,33,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0051,no more,no more,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,no_more%4:02:01::|no_more%4:02:05::,false,18,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0052,now and then,now and then,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,now_and_then%4:02:00::,false,8,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0053,of course,of course,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,of_course%4:02:00::,false,55,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0054,on fire,on fire,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adjective_expression,approved_dictionary_candidate_pool,OEWN,on_fire%5:00:00:lighted:00,false,12,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0055,on purpose,on purpose,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,on_purpose%4:02:00::,false,8,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0056,on the way,on the way,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,on_the_way%4:02:00::,false,12,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0057,on time,on time,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,on_time%3:00:00::|on_time%4:02:00::|on_time%5:00:00:due:00,false,13,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0058,once again,once again,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,once_again%4:02:00::,false,10,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0059,once more,once more,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,once_more%4:02:00::,false,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0060,or else,or else,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,or_else%4:02:01::,false,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0061,out loud,out loud,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,out_loud%4:02:00::,false,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0062,over and over,over and over,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,over_and_over%4:02:00::,false,7,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0063,right away,right away,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,right_away%4:02:00::|right_away%4:02:03::,true,3,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0064,so far,so far,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,so_far%4:02:00::|so_far%4:02:01::|so_far%4:02:02::,false,45,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0065,until now,until now,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,until_now%4:02:00::,false,10,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0066,up and down,up and down,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,up_and_down%4:02:01::|up_and_down%4:02:03::,true,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0067,very well,very well,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",adverbial_or_connector,approved_dictionary_candidate_pool,OEWN,very_well%4:02:00::|very_well%4:02:01::,false,10,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0068,ask for,ask for,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,ask_for%2:32:00::|ask_for%2:37:00::,true,17,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0069,arrive at,arrive at,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,arrive_at%2:38:00::,false,7,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0070,be born,be born,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,be_born%2:30:00::,false,6,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0071,believe in,believe in,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,believe_in%2:31:01::,false,50,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0072,belong to,belong to,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,belong_to%2:42:00::,false,15,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0073,break down,break down,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,break_down%2:29:00::|break_down%2:30:00::|break_down%2:30:09::|break_down%2:31:00::|break_down%2:33:00::|break_down%2:35:01::|break_down%2:37:00::|break_down%2:38:00::,true,5,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0074,break in,break in,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,break-in%1:04:00::|break_in%2:30:00::|break_in%2:30:01::|break_in%2:30:03::|break_in%2:32:00::|break_in%2:35:00::|break_in%2:41:00::,true,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0075,bring back,bring back,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,bring_back%2:29:00::|bring_back%2:38:00::,false,6,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0076,bring down,bring down,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,bring_down%2:30:00::|bring_down%2:32:00::|bring_down%2:37:00::|bring_down%2:38:00::|bring_down%2:38:01::|bring_down%2:41:00::,true,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0077,bring home,bring home,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,bring_home%2:30:00::|bring_home%2:40:00::,false,2,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0078,call for,call for,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,call_for%2:32:03::|call_for%2:32:04::|call_for%2:40:00::|call_for%2:42:00::,false,7,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0079,call out,call out,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,call-out%1:10:00::|call_out%2:32:00::|call_out%2:32:01::|call_out%2:32:12::,true,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0080,calm down,calm down,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,calm_down%2:30:03::|calm_down%2:37:00::|calm_down%2:37:01::,false,3,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0081,care for,care for,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,care_for%2:29:00::|care_for%2:37:01::|care_for%2:37:08::,false,36,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0082,carry on,carry on,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,carry-on%1:06:01::|carry_on%2:32:00::|carry_on%2:41:00::|carry_on%2:41:02::|carry_on%2:42:00::,true,3,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0083,check in,check in,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,check-in%1:04:00::|check_in%2:32:00::,true,2,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0084,check out,check out,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,check_out%2:31:00::|check_out%2:32:00::|check_out%2:32:01::|check_out%2:40:00::|check_out%2:40:02::|check_out%2:41:00::|check_out%2:42:06::,true,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0085,clean up,clean up,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,clean_up%2:29:00::|clean_up%2:30:03::|clean_up%2:40:00::|clean_up%2:40:04::,true,8,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0086,climb up,climb up,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,climb_up%2:30:02::|climb_up%2:38:00::,false,2,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0087,come along,come along,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,come_along%2:30:00::|come_along%2:30:01::,true,5,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0088,come back,come back,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,come_back%2:30:00::|come_back%2:32:00::|come_back%2:32:01::|come_back%2:38:01::,false,22,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0089,come down,come down,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,come_down%2:29:00::|come_down%2:30:00::|come_down%2:32:12::|come_down%2:38:00::|come_down%2:43:00::,false,9,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0090,come in,come in,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,come_in%2:31:00::|come_in%2:32:00::|come_in%2:38:01::|come_in%2:38:02::|come_in%2:42:00::,true,9,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0091,come on,come on,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,come-on%1:07:00::|come-on%1:09:00::|come_on%2:30:00::|come_on%2:30:01::|come_on%2:30:02::|come_on%2:35:00::|come_on%2:38:00::,true,5,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0092,come out,come out,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,come_out%2:30:00::|come_out%2:30:01::|come_out%2:30:03::|come_out%2:30:04::|come_out%2:31:00::|come_out%2:32:00::|come_out%2:32:01::|come_out%2:38:00::|come_out%2:38:01::|come_out%2:38:06::|come_out%2:42:00::,true,15,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0093,come over,come over,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,come_over%2:32:00::,true,6,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0094,come up,come up,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,come_up%2:30:00::|come_up%2:35:00::|come_up%2:35:01::|come_up%2:35:02::|come_up%2:36:03::|come_up%2:38:00::|come_up%2:38:01::|come_up%2:38:02::|come_up%2:38:03::|come_up%2:40:00::|come_up%2:42:00::|come_up%2:42:01::,true,23,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0095,cut down,cut down,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,cut_down%2:30:00::|cut_down%2:33:00::|cut_down%2:35:00::|cut_down%2:35:01::|cut_down%2:35:02::|cut_down%2:35:03::,true,5,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0096,cut off,cut off,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,cut_off%2:30:00::|cut_off%2:32:00::|cut_off%2:35:00::|cut_off%2:35:01::|cut_off%2:35:02::|cut_off%2:35:03::|cut_off%5:00:00:cut:01,true,6,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0097,cut out,cut out,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,cut_out%2:30:00::|cut_out%2:30:01::|cut_out%2:33:00::|cut_out%2:35:01::|cut_out%2:35:02::|cut_out%2:35:03::|cut_out%5:00:00:cut:03,true,4,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0098,depend on,depend on,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,depend_on%2:42:00::|depend_on%2:42:01::|depend_on%2:42:02::,false,9,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0099,dress up,dress up,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,dress_up%2:29:00::|dress_up%2:29:04::|dress_up%2:29:06::|dress_up%2:30:00::|dress_up%2:36:00::,true,2,independently selected for learning value and first-introduction level,english_scope_frozen,False
PH-J-0100,end up,end up,[],junior,"[""junior"", ""senior_high"", ""cet4"", ""cet6""]",verb_expression,approved_dictionary_candidate_pool,OEWN,end_up%2:30:01::,false,22,independently selected for learning value and first-introduction level,english_scope_frozen,False
