record_id,word,legacy_candidate_form,dataset_layer,selection_status,relevance_score,bnc_rank,contemporary_rank,part_of_speech,oewn_lexicographer_classes,theme_candidates,inclusion_reason,selection_sources,definitions_zh,phonetic_uk,phonetic_us
extension-draft-0011,accountant,accountant,extension,draft_priority_needs_semantic_review,8,3280,5949,n,noun.person,人与社会,独立语料频率支持较强（BNC 3280；当代语料 5949；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0012,accumulate,accumulate,extension,draft_priority_needs_semantic_review,8,4997,5083,v,verb.change|verb.possession,人与社会|人与自然,独立语料频率支持较强（BNC 4997；当代语料 5083；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0013,accuracy,accuracy,extension,draft_priority_needs_semantic_review,9,3958,4076,n,noun.attribute,一般阅读,独立语料频率支持较强（BNC 3958；当代语料 4076；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0014,accustomed,accustomed,extension,draft_priority_needs_semantic_review,7,6431,8524,a,adj.all,一般阅读,独立语料频率支持较强（BNC 6431；当代语料 8524；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0015,acquaintance,acquaintance,extension,draft_priority_needs_semantic_review,7,5967,6274,n,noun.cognition|noun.person|noun.state,人与自我|人与社会,独立语料频率支持较强（BNC 5967；当代语料 6274；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0016,acquisition,acquisition,extension,draft_priority_needs_semantic_review,9,2567,3856,n,noun.act|noun.cognition|noun.possession,人与自我|人与社会,独立语料频率支持较强（BNC 2567；当代语料 3856；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0017,actual,actual,extension,draft_priority_needs_semantic_review,9,1396,1739,a,adj.all,一般阅读,独立语料频率支持较强（BNC 1396；当代语料 1739；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0018,acute,acute,extension,draft_priority_needs_semantic_review,8,3249,5255,a|n,adj.all|noun.communication,人与社会,独立语料频率支持较强（BNC 3249；当代语料 5255；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0019,adequate,adequate,extension,draft_priority_needs_semantic_review,9,2398,3297,a,adj.all,一般阅读,独立语料频率支持较强（BNC 2398；当代语料 3297；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0020,adjustment,adjustment,extension,draft_priority_needs_semantic_review,9,3424,3121,n,noun.act|noun.event|noun.possession|noun.process,人与社会,独立语料频率支持较强（BNC 3424；当代语料 3121；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0021,admission,admission,extension,draft_priority_needs_semantic_review,9,2768,3031,n,noun.act|noun.attribute|noun.communication|noun.possession,人与社会,独立语料频率支持较强（BNC 2768；当代语料 3031；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0022,adolescence,adolescence,extension,draft_priority_needs_semantic_review,7,8812,6897,n,noun.state|noun.time,人与自然,独立语料频率支持较强（BNC 8812；当代语料 6897；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0023,adolescent,adolescent,extension,draft_priority_needs_semantic_review,8,8678,3386,a|n,adj.all|adj.pert|noun.person,人与社会,独立语料频率支持较强（BNC 8678；当代语料 3386；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0024,adore,adore,extension,draft_priority_needs_semantic_review,7,8708,7705,v,verb.emotion,人与自我,独立语料频率支持较强（BNC 8708；当代语料 7705；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0025,affection,affection,extension,draft_priority_needs_semantic_review,8,4103,5137,n,noun.feeling,人与自我,独立语料频率支持较强（BNC 4103；当代语料 5137；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0026,agent,agent,extension,draft_priority_needs_semantic_review,9,1214,1020,n,noun.communication|noun.object|noun.person|noun.substance,人与社会|人与自然,独立语料频率支持较强（BNC 1214；当代语料 1020；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0027,aggression,aggression,extension,draft_priority_needs_semantic_review,9,4772,4521,n,noun.act|noun.attribute|noun.feeling,人与自我|人与社会,独立语料频率支持较强（BNC 4772；当代语料 4521；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0028,aggressive,aggressive,extension,draft_priority_needs_semantic_review,9,3648,2514,a,adj.all,一般阅读,独立语料频率支持较强（BNC 3648；当代语料 2514；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0029,agricultural,agricultural,extension,draft_priority_needs_semantic_review,9,2188,3104,a,adj.all|adj.pert,一般阅读,独立语料频率支持较强（BNC 2188；当代语料 3104；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0030,aircraft,aircraft,extension,draft_priority_needs_semantic_review,9,1538,2803,n,noun.artifact,人与社会,独立语料频率支持较强（BNC 1538；当代语料 2803；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0031,album,album,extension,draft_priority_needs_semantic_review,9,2991,2215,n,noun.artifact|noun.communication,人与社会,独立语料频率支持较强（BNC 2991；当代语料 2215；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0032,alcoholic,alcoholic,extension,draft_priority_needs_semantic_review,7,7952,7755,a|n,adj.all|noun.person,人与社会,独立语料频率支持较强（BNC 7952；当代语料 7755；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0033,alike,alike,extension,draft_priority_needs_semantic_review,9,4989,4389,a|r,adj.all|adv.all,一般阅读,独立语料频率支持较强（BNC 4989；当代语料 4389；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0034,alley,alley,extension,draft_priority_needs_semantic_review,8,6528,4340,n,noun.artifact,人与社会,独立语料频率支持较强（BNC 6528；当代语料 4340；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0035,allocate,allocate,extension,draft_priority_needs_semantic_review,8,3035,6763,v,verb.possession,人与社会,独立语料频率支持较强（BNC 3035；当代语料 6763；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0036,allowance,allowance,extension,draft_priority_needs_semantic_review,8,2481,7677,n|v,noun.act|noun.attribute|noun.possession|verb.possession,人与社会,独立语料频率支持较强（BNC 2481；当代语料 7677；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0037,altitude,altitude,extension,draft_priority_needs_semantic_review,7,8085,6370,n,noun.attribute|noun.relation|noun.shape,人与社会|人与自然,独立语料频率支持较强（BNC 8085；当代语料 6370；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0038,ambassador,ambassador,extension,draft_priority_needs_semantic_review,9,4614,4520,n,noun.person,人与社会,独立语料频率支持较强（BNC 4614；当代语料 4520；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0039,ambiguous,ambiguous,extension,draft_priority_needs_semantic_review,7,6442,7071,a,adj.all,一般阅读,独立语料频率支持较强（BNC 6442；当代语料 7071；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0040,ample,ample,extension,draft_priority_needs_semantic_review,7,6351,6289,a,adj.all,一般阅读,独立语料频率支持较强（BNC 6351；当代语料 6289；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0041,amusement,amusement,extension,draft_priority_needs_semantic_review,7,5357,6732,n,noun.act|noun.feeling,人与自我|人与社会,独立语料频率支持较强（BNC 5357；当代语料 6732；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0042,analysis,analysis,extension,draft_priority_needs_semantic_review,9,707,811,n,noun.act|noun.cognition|noun.communication,人与自我|人与社会,独立语料频率支持较强（BNC 707；当代语料 811；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0043,anchor,anchor,extension,draft_priority_needs_semantic_review,8,7686,4961,n|v,noun.artifact|noun.cognition|noun.person|verb.contact,人与自我|人与社会|人与自然,独立语料频率支持较强（BNC 7686；当代语料 4961；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0044,anecdote,anecdote,extension,draft_priority_needs_semantic_review,7,9719,8925,n,noun.communication,人与社会,独立语料频率支持较强（BNC 9719；当代语料 8925；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0045,anniversary,anniversary,extension,draft_priority_needs_semantic_review,9,3440,3374,n,noun.time,人与自然,独立语料频率支持较强（BNC 3440；当代语料 3374；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0046,announcement,announcement,extension,draft_priority_needs_semantic_review,9,2825,3604,n,noun.communication,人与社会,独立语料频率支持较强（BNC 2825；当代语料 3604；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0047,apology,apology,extension,draft_priority_needs_semantic_review,9,4950,4944,n,noun.cognition|noun.communication,人与自我|人与社会,独立语料频率支持较强（BNC 4950；当代语料 4944；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0048,apparent,apparent,extension,draft_priority_needs_semantic_review,9,1770,2502,a,adj.all,一般阅读,独立语料频率支持较强（BNC 1770；当代语料 2502；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0049,appearance,appearance,extension,draft_priority_needs_semantic_review,9,1435,1684,n,noun.act|noun.attribute|noun.cognition|noun.event,人与自我|人与社会,独立语料频率支持较强（BNC 1435；当代语料 1684；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0050,appendix,appendix,extension,draft_priority_needs_semantic_review,7,3748,12249,n,noun.body|noun.communication,人与自我|人与社会,独立语料频率支持较强（BNC 3748；当代语料 12249；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0051,appoint,appoint,extension,draft_priority_needs_semantic_review,9,1272,3172,v,verb.possession|verb.social,人与社会,独立语料频率支持较强（BNC 1272；当代语料 3172；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0052,appreciation,appreciation,extension,draft_priority_needs_semantic_review,9,4701,4322,n,noun.act|noun.cognition|noun.communication,人与自我|人与社会,独立语料频率支持较强（BNC 4701；当代语料 4322；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0053,approximately,approximately,extension,draft_priority_needs_semantic_review,9,2850,2365,r,adv.all,一般阅读,独立语料频率支持较强（BNC 2850；当代语料 2365；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0054,apron,apron,extension,draft_priority_needs_semantic_review,7,8011,8084,n,noun.artifact|noun.location,人与社会|人与自然,独立语料频率支持较强（BNC 8011；当代语料 8084；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0055,arbitrary,arbitrary,extension,draft_priority_needs_semantic_review,7,5353,7545,a,adj.all,一般阅读,独立语料频率支持较强（BNC 5353；当代语料 7545；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0056,architecture,architecture,extension,draft_priority_needs_semantic_review,9,2712,3509,n,noun.act|noun.artifact|noun.attribute|noun.cognition,人与自我|人与社会,独立语料频率支持较强（BNC 2712；当代语料 3509；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0057,argument,argument,extension,draft_priority_needs_semantic_review,9,832,1185,n,noun.cognition|noun.communication,人与自我|人与社会,独立语料频率支持较强（BNC 832；当代语料 1185；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0058,armchair,armchair,extension,draft_priority_needs_semantic_review,7,5766,9757,n,noun.artifact,人与社会,独立语料频率支持较强（BNC 5766；当代语料 9757；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0059,arrange,arrange,extension,draft_priority_needs_semantic_review,9,1324,2216,v,verb.body|verb.cognition|verb.communication|verb.contact|verb.creation,人与自我|人与社会|人与自然,独立语料频率支持较强（BNC 1324；当代语料 2216；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0060,arrival,arrival,extension,draft_priority_needs_semantic_review,9,2281,3194,n,noun.act|noun.person,人与社会,独立语料频率支持较强（BNC 2281；当代语料 3194；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0061,ash,ash,extension,draft_priority_needs_semantic_review,9,4713,4577,n|v,noun.plant|noun.substance|verb.change,人与自然,独立语料频率支持较强（BNC 4713；当代语料 4577；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0062,assessment,assessment,extension,draft_priority_needs_semantic_review,9,1249,1552,n,noun.act|noun.attribute|noun.cognition|noun.possession,人与自我|人与社会,独立语料频率支持较强（BNC 1249；当代语料 1552；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0063,assist,assist,extension,draft_priority_needs_semantic_review,9,2162,2475,n|v,noun.act|verb.social,人与社会,独立语料频率支持较强（BNC 2162；当代语料 2475；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0064,assistance,assistance,extension,draft_priority_needs_semantic_review,9,2096,2081,n,noun.act|noun.attribute|noun.possession,人与社会,独立语料频率支持较强（BNC 2096；当代语料 2081；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0065,associate,associate,extension,draft_priority_needs_semantic_review,9,1216,1354,a|n|v,adj.all|noun.communication|noun.event|noun.person|verb.cognition|verb.social,人与自我|人与社会,独立语料频率支持较强（BNC 1216；当代语料 1354；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0066,athletic,athletic,extension,draft_priority_needs_semantic_review,8,8781,2981,a,adj.all|adj.pert,一般阅读,独立语料频率支持较强（BNC 8781；当代语料 2981；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0067,athletics,athletics,extension,draft_priority_needs_semantic_review,7,9290,8574,n,noun.act|noun.event,人与社会,独立语料频率支持较强（BNC 9290；当代语料 8574；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0068,atom,atom,extension,draft_priority_needs_semantic_review,8,4241,5184,n,noun.substance,人与自然,独立语料频率支持较强（BNC 4241；当代语料 5184；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0069,attraction,attraction,extension,draft_priority_needs_semantic_review,9,3108,3800,n,noun.attribute|noun.cognition|noun.communication|noun.person|noun.phenomenon,人与自我|人与社会|人与自然,独立语料频率支持较强（BNC 3108；当代语料 3800；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0070,attractive,attractive,extension,draft_priority_needs_semantic_review,9,1781,2811,a,adj.all,一般阅读,独立语料频率支持较强（BNC 1781；当代语料 2811；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0071,authentic,authentic,extension,draft_priority_needs_semantic_review,8,6476,5000,a,adj.all,一般阅读,独立语料频率支持较强（BNC 6476；当代语料 5000；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0072,avenue,avenue,extension,draft_priority_needs_semantic_review,8,3634,5320,n,noun.act|noun.artifact,人与社会,独立语料频率支持较强（BNC 3634；当代语料 5320；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0073,bachelor,bachelor,extension,draft_priority_needs_semantic_review,7,8615,6130,n|v,noun.person|verb.stative,人与社会,独立语料频率支持较强（BNC 8615；当代语料 6130；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0074,badly,badly,extension,draft_priority_needs_semantic_review,9,2078,3111,r,adv.all,一般阅读,独立语料频率支持较强（BNC 2078；当代语料 3111；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0075,baggage,baggage,extension,draft_priority_needs_semantic_review,7,8801,7286,n,noun.artifact|noun.person,人与社会,独立语料频率支持较强（BNC 8801；当代语料 7286；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0076,bake,bake,extension,draft_priority_needs_semantic_review,8,6122,2810,v,verb.change|verb.creation|verb.stative,人与社会|人与自然,独立语料频率支持较强（BNC 6122；当代语料 2810；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0077,balcony,balcony,extension,draft_priority_needs_semantic_review,7,5402,5799,n,noun.artifact,人与社会,独立语料频率支持较强（BNC 5402；当代语料 5799；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0078,bang,bang,extension,draft_priority_needs_semantic_review,8,4572,5069,n|r|v,adv.all|noun.act|noun.body|noun.event|noun.feeling|verb.contact|verb.motion|verb.perception,人与自我|人与社会|人与自然,独立语料频率支持较强（BNC 4572；当代语料 5069；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0079,bare,bare,extension,draft_priority_needs_semantic_review,9,3196,3430,a|v,adj.all|verb.change|verb.communication|verb.contact,人与社会|人与自然,独立语料频率支持较强（BNC 3196；当代语料 3430；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0080,bargain,bargain,extension,draft_priority_needs_semantic_review,9,4926,4962,n|v,noun.communication|noun.possession|verb.communication|verb.possession,人与社会,独立语料频率支持较强（BNC 4926；当代语料 4962；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0081,basement,basement,extension,draft_priority_needs_semantic_review,8,5987,3598,n,noun.artifact,人与社会,独立语料频率支持较强（BNC 5987；当代语料 3598；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0082,bathe,bathe,extension,draft_priority_needs_semantic_review,7,8777,7550,n|v,noun.act|verb.body|verb.contact|verb.motion,人与自我|人与社会|人与自然,独立语料频率支持较强（BNC 8777；当代语料 7550；评分 7/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0083,beam,beam,extension,draft_priority_needs_semantic_review,9,3945,3741,n|v,noun.artifact|noun.attribute|noun.communication|noun.phenomenon|verb.body|verb.communication|verb.emotion|verb.perception|verb.weather,人与自我|人与社会|人与自然,独立语料频率支持较强（BNC 3945；当代语料 3741；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0084,beast,beast,extension,draft_priority_needs_semantic_review,9,4515,4428,n,noun.Tops|noun.person,人与社会,独立语料频率支持较强（BNC 4515；当代语料 4428；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0085,bee,bee,extension,draft_priority_needs_semantic_review,9,4770,4247,n,noun.animal|noun.group,人与社会|人与自然,独立语料频率支持较强（BNC 4770；当代语料 4247；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0086,beg,beg,extension,draft_priority_needs_semantic_review,9,3537,3452,v,verb.communication|verb.possession,人与社会,独立语料频率支持较强（BNC 3537；当代语料 3452；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0087,beginning,beginning,extension,draft_priority_needs_semantic_review,9,1242,1200,a|n,adj.all|noun.act|noun.cognition|noun.event|noun.location|noun.time,人与自我|人与社会|人与自然,独立语料频率支持较强（BNC 1242；当代语料 1200；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0088,belly,belly,extension,draft_priority_needs_semantic_review,8,5691,3805,n|v,noun.animal|noun.body|noun.location|noun.shape|verb.change,人与自我|人与自然,独立语料频率支持较强（BNC 5691；当代语料 3805；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0089,bench,bench,extension,draft_priority_needs_semantic_review,9,2942,2782,n|v,noun.artifact|noun.group|noun.object|verb.competition|verb.perception|verb.social,人与自我|人与社会|人与自然,独立语料频率支持较强（BNC 2942；当代语料 2782；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0090,beneficial,beneficial,extension,draft_priority_needs_semantic_review,9,4578,4991,a,adj.all,一般阅读,独立语料频率支持较强（BNC 4578；当代语料 4991；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0091,besides,besides,extension,draft_priority_needs_semantic_review,9,3848,3012,r,adv.all,一般阅读,独立语料频率支持较强（BNC 3848；当代语料 3012；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0092,betray,betray,extension,draft_priority_needs_semantic_review,8,6030,4974,v,verb.communication|verb.emotion|verb.social,人与自我|人与社会,独立语料频率支持较强（BNC 6030；当代语料 4974；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0093,bid,bid,extension,draft_priority_needs_semantic_review,9,2359,4069,n|v,noun.act|noun.communication|verb.communication|verb.possession,人与社会,独立语料频率支持较强（BNC 2359；当代语料 4069；评分 9/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
extension-draft-0094,biography,biography,extension,draft_priority_needs_semantic_review,8,5647,4875,n,noun.communication,人与社会,独立语料频率支持较强（BNC 5647；当代语料 4875；评分 8/9）,OEWN-2025-lexical-evidence|ECDICT-BNC-rank|ECDICT-contemporary-rank,,,
