windy	adjective=多风的；风大的；空想的；冗长的	windy%5:00:00:stormy:00|windy%5:00:00:utopian:00|windy%5:00:00:fast:01|windy%5:00:00:prolix:00	
wine	noun=葡萄酒；酒红色|verb=饮酒；用酒款待	wine%1:13:00::|wine%1:07:00::|wine%2:34:00::|wine%2:34:01::	
wing	noun=翅膀；机翼；侧翼；派别|verb=飞行；快速送达	wing%1:05:00::|wing%1:06:00::|wing%1:06:03::|wing%1:14:00::	动词义依据基础英语常用义补充。
winner	noun=获胜者；成功者；获奖作品	winner%1:18:00::|winner%1:18:01::|winner%1:18:02::	
winter	noun=冬天；冬季|verb=过冬	winter%1:28:00::|winter%2:42:00::	
wire	noun=金属丝；电线；电报|verb=给……接电线；发电报	wire%1:06:00::|wire%1:06:01::|wire%1:15:00::|wire%1:10:00::	动词义依据基础英语常用义补充。
wisdom	noun=智慧；明智；知识；至理名言	wisdom%1:09:02::|wisdom%1:07:00::|wisdom%1:09:01::|wisdom%1:07:01::	
wise	adjective=明智的；有智慧的；知情的	wise%3:00:00::|wise%5:00:00:prudent:00|wise%5:00:00:informed:00|wise%5:00:00:forward:02	
wish	noun=愿望；祝愿；请求|verb=希望；祝愿	wish%1:12:00::|wish%1:10:00::|wish%1:10:01::|wish%1:09:00::	动词义依据基础英语常用义补充。
with	preposition=和；与；带有；用；由于		OEWN无候选释义；依据基础英语功能词用法原创整理。
withdraw	verb=撤回；退出；取款；戒除	withdraw%2:38:00::|withdraw%2:41:01::|withdraw%2:35:00::|withdraw%2:40:01::	
within	preposition=在……之内；不超过|adverb=在内部	within%4:02:00::	介词义依据基础英语功能词用法补充。
without	preposition=没有；不带；在……外面|adverb=在外面；没有		OEWN无候选释义；依据基础英语功能词用法原创整理。
witness	noun=目击者；证人；证据|verb=目击；见证	witness%1:18:00::|witness%1:18:01::|witness%1:10:00::|witness%1:18:02::	动词义依据基础英语常用义补充。
woman	noun=女人；女性；女职员	woman%1:18:00::|woman%1:18:01::|woman%1:14:00::|woman%1:18:02::	
wonder	verb=想知道；感到惊奇|noun=惊奇；奇迹；奇才	wonder%1:12:00::|wonder%1:11:00::|wonder%1:09:00::|wonder%1:18:13::	
wonderful	adjective=精彩的；极好的；令人惊叹的	wonderful%5:00:00:extraordinary:00	
wood	noun=木材；树林；木制品	wood%1:27:00::|wood%1:14:00::|wood%1:06:01::|wood%1:06:02::	
wool	noun=羊毛；毛线；毛织物	wool%1:06:00::|wool%1:27:00::|wool%1:05:00::	
word	noun=单词；话；消息；承诺|verb=措辞	word%1:10:00::|word%1:10:03::|word%1:10:02::|word%1:10:06::	动词义依据基础英语常用义补充。
work	noun=工作；劳动；作品；功课|verb=工作；运转；奏效	work%1:04:00::|work%1:06:00::|work%1:04:01::|work%1:09:00::	动词义依据基础英语常用义补充。
worker	noun=工人；工作者；劳动者	worker%1:18:00::|worker%1:18:01::|worker%1:05:01::|worker%1:18:02::	
world	noun=世界；地球；领域；世人|adjective=世界的	world%5:00:00:international:00|world%1:17:01::|world%1:14:01::|world%1:09:00::	
worry	verb=担心；使烦恼|noun=担忧；烦恼	worry%1:09:00::|worry%1:12:00::|worry%2:37:00::|worry%2:37:12::	
worse	adjective=更坏的；更严重的|noun=更坏的事|adverb=更坏地	worse%3:00:00::|worse%3:00:02::|worse%1:07:00::|worse%4:02:00::	
worst	adjective=最坏的；最差的|noun=最坏的情况|adverb=最坏地|verb=击败	worst%3:00:00::|worst%1:11:00::|worst%1:07:00::|worst%1:04:00::	动词义依据基础英语常用义补充。
worth	adjective=值得的；价值……的|noun=价值；意义	worth%5:00:00:worthy:00|worth%5:00:00:valuable:00|worth%1:23:00::|worth%1:07:00::	
worthwhile	adjective=值得做的；有价值的	worthwhile%5:00:00:worthy:00	
worthy	adjective=值得的；配得上的|noun=重要人物	worthy%3:00:00::|worthy%5:00:00:eligible:00|worthy%5:00:00:fit:02|worthy%1:18:00::	
would	modal_verb=将会；愿意；过去常常；用于虚拟或礼貌表达		OEWN无候选释义；依据基础英语情态动词用法原创整理。
wound	noun=伤口；创伤|verb=使受伤|adjective=缠绕的	wound%5:00:00:coiled:00|wound%1:26:00::|wound%1:11:00::|wound%1:12:00::	动词义依据基础英语常用义补充。
wrap	verb=包；裹；缠绕|noun=披肩；包装物；卷饼	wrap%1:06:00::|wrap%1:13:00::|wrap%1:06:01::|wrap%2:35:00::	
wrestle	verb=摔跤；奋力解决|noun=摔跤；搏斗	wrestle%1:04:00::|wrestle%2:33:01::|wrestle%2:32:00::|wrestle%2:38:00::	
wrinkle	noun=皱纹；褶皱；小窍门|verb=起皱；使皱起	wrinkle%1:25:00::|wrinkle%1:09:01::|wrinkle%1:09:00::|wrinkle%2:35:01::	
wrist	noun=手腕；腕关节	wrist%1:08:00::	
write	verb=写；写作；填写；写信	write%2:36:00::|write%2:32:00::|write%2:32:08::|write%2:36:04::	
writer	noun=作家；作者；撰稿人	writer%1:18:00::|writer%1:18:01::	
wrong	adjective=错误的；不合适的；有故障的|adverb=错误地|noun=错误；不公|verb=冤枉	wrong%3:00:02::|wrong%3:00:01::|wrong%5:00:00:inappropriate:00|wrong%5:00:00:malfunctioning:00	其他词性义依据基础英语常用义补充。
X-ray	noun=X射线；X光片|verb=用X射线检查	x-ray%1:19:00::|x-ray%1:06:00::	动词义依据基础英语常用义补充。
yard	noun=码；院子；场地；帆桁	yard%1:23:00::|yard%1:06:02::|yard%1:15:00::|yard%1:23:02::	
year	noun=年；年度；年龄；年级	year%1:28:01::|year%1:28:02::|year%1:28:00::|year%1:14:00::	
yellow	adjective=黄色的；胆怯的；耸人听闻的|noun=黄色|verb=变黄	yellow%5:00:00:chromatic:00|yellow%5:00:00:cowardly:00|yellow%5:00:00:old:01|yellow%5:00:00:sensational:00	名词和动词义依据基础英语常用义补充。
yes	interjection=是；好的|noun=肯定回答	yes%1:10:00::	
yesterday	noun=昨天；过去|adverb=在昨天；最近	yesterday%1:28:01::|yesterday%1:28:00::|yesterday%4:02:00::|yesterday%4:02:01::	
yet	adverb=还；尚；已经；然而|conjunction=然而；但是	yet%4:02:02::|yet%4:02:04::|yet%4:02:03::|yet%4:02:00::	连词义依据基础英语常用义补充。
yoghurt	noun=酸奶；酸乳酪	yoghurt%1:13:00::	英式拼写。
you	pronoun=你；你们		OEWN无候选释义；依据基础英语人称代词用法原创整理。
young	adjective=年轻的；幼小的；早期的|noun=年轻人；幼崽	young%3:00:00::|young%5:00:00:early:02|young%5:00:01:young:00|young%5:00:00:new:00	名词义依据基础英语常用义补充。
your	determiner=你的；你们的		OEWN无候选释义；依据基础英语物主限定词用法原创整理。
yours	pronoun=你的东西；你们的东西		OEWN无候选释义；依据基础英语物主代词用法原创整理。
yourself	pronoun=你自己；你亲自		OEWN无候选释义；依据基础英语反身代词用法原创整理。
