phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
twenty four,twenty four,2,cet4,true,a|n,twenty-four%1:23:00::|twenty-four%5:00:00:cardinal:00,true,8,evidence_ready_review,35.699,false
the devil,the devil,2,cet4,true,n,the_devil%1:04:00::,false,10,evidence_ready_review,34.594,false
twenty five,twenty five,2,cet4,true,a|n,twenty-five%1:23:00::|twenty-five%5:00:00:cardinal:00,false,10,evidence_ready_review,34.594,false
first aid,first aid,2,cet4,true,n,first_aid%1:04:00::,true,7,evidence_ready_review,34.0,false
self defense,self defense,2,cet4,true,n,self-defense%1:04:00::,true,7,evidence_ready_review,34.0,false
one half,one half,2,cet4,true,n,one-half%1:23:00::,false,9,evidence_ready_review,33.219,false
one third,one third,2,cet4,true,n,one-third%1:23:00::,false,9,evidence_ready_review,33.219,false
space shuttle,space shuttle,2,cet4,true,n,space_shuttle%1:06:00::,false,9,evidence_ready_review,33.219,false
at one time,at one time,3,cet4,true,r,at_one_time%4:02:00::|at_one_time%4:02:01::,false,6,evidence_ready_review,33.074,false
every one,every one,2,cet4,false,,,true,6,moby_corpus_review,32.074,false
first person,first person,2,cet4,true,n,first_person%1:10:00::,true,6,evidence_ready_review,32.074,false
five hundred,five hundred,2,cet4,true,a|n,five_hundred%1:04:00::|five_hundred%1:23:00::|five_hundred%5:00:00:cardinal:00,true,6,evidence_ready_review,32.074,false
golden age,golden age,2,cet4,true,n,golden_age%1:28:01::|golden_age%1:28:02::,true,6,evidence_ready_review,32.074,false
one man,one man,2,cet4,true,a,one-man%5:00:00:single:05,true,6,evidence_ready_review,32.074,false
three dimensional,three dimensional,2,cet4,true,a,three-dimensional%3:00:02::|three-dimensional%5:00:00:multidimensional:00,true,6,evidence_ready_review,32.074,false
federal government,federal government,2,cet4,true,n,federal_government%1:14:00::,false,8,evidence_ready_review,31.699,false
law enforcement,law enforcement,2,cet4,true,n,law_enforcement%1:04:00::,false,8,evidence_ready_review,31.699,false
one person,one person,2,cet4,true,a,one-person%5:00:00:single:05,false,8,evidence_ready_review,31.699,false
in the first place,in the first place,4,cet4,true,r,in_the_first_place%4:02:00::|in_the_first_place%4:02:01::,false,6,evidence_ready_review,31.074,false
blend in,blend in,2,cet4,true,v,blend_in%2:30:00::|blend_in%2:42:00::,false,3,evidence_ready_review,30.0,false
colon cancer,colon cancer,2,cet4,true,n,colon_cancer%1:26:00::,false,7,evidence_ready_review,30.0,false
crack down,crack down,2,cet4,true,v,crack_down%2:30:10::,false,3,evidence_ready_review,30.0,false
fuck off,fuck off,2,cet4,true,v,fuck_off%2:35:00::|fuck_off%2:38:00::|fuck_off%2:42:00::,false,3,evidence_ready_review,30.0,false
infectious disease,infectious disease,2,cet4,true,n,infectious_disease%1:26:00::,false,7,evidence_ready_review,30.0,false
news media,news media,2,cet4,true,n,news_media%1:10:00::,false,7,evidence_ready_review,30.0,false
one thousand,one thousand,2,cet4,true,a|n,one_thousand%1:23:00::|one_thousand%5:00:00:cardinal:00,false,7,evidence_ready_review,30.0,false
parallel park,parallel park,2,cet4,true,v,parallel-park%2:38:00::,false,3,evidence_ready_review,30.0,false
three hundred,three hundred,2,cet4,true,a,three_hundred%5:00:00:cardinal:00,false,7,evidence_ready_review,30.0,false
two hundred,two hundred,2,cet4,true,a,two_hundred%5:00:00:cardinal:00,false,7,evidence_ready_review,30.0,false
two year,two year,2,cet4,true,a,two-year%3:00:04::,false,7,evidence_ready_review,30.0,false
number one,number one,2,cet4,true,n,number_one%1:18:00::|number_one%1:23:00::|number_one%1:24:00::,true,5,evidence_ready_review,29.85,false
over the counter,over the counter,3,cet4,true,a,over-the-counter%3:00:00::|over-the-counter%5:00:00:unlisted:00,true,5,evidence_ready_review,29.85,false
set forth,set forth,2,cet4,true,v,set_forth%2:32:00::|set_forth%2:38:00::,true,2,evidence_ready_review,29.85,false
thirty three,thirty three,2,cet4,true,a,thirty-three%5:00:00:cardinal:00,true,5,evidence_ready_review,29.85,false
whip up,whip up,2,cet4,true,v,whip_up%2:36:00::,true,2,evidence_ready_review,29.85,false
in the meantime,in the meantime,3,cet4,true,r,in_the_meantime%4:02:00::,false,4,evidence_ready_review,28.219,false
in writing,in writing,2,cet4,true,a|r,in_writing%4:02:00::|in_writing%5:00:00:written:00,false,4,evidence_ready_review,28.219,false
big bang,big bang,2,cet4,true,n,big_bang%1:11:00::,false,6,evidence_ready_review,28.074,false
executive director,executive director,2,cet4,true,n,executive_director%1:18:00::,false,6,evidence_ready_review,28.074,false
first step,first step,2,cet4,true,n,first_step%1:04:00::,false,6,evidence_ready_review,28.074,false
general assembly,general assembly,2,cet4,true,n,general_assembly%1:14:00::,false,6,evidence_ready_review,28.074,false
hearing loss,hearing loss,2,cet4,true,n,hearing_loss%1:26:00::,false,6,evidence_ready_review,28.074,false
immune response,immune response,2,cet4,true,n,immune_response%1:04:00::,false,6,evidence_ready_review,28.074,false
all powerful,all powerful,2,cet4,true,a,all-powerful%5:00:00:powerful:00,true,4,evidence_ready_review,27.219,false
drawing room,drawing room,2,cet4,true,n,drawing_room%1:06:00::|drawing_room%1:06:01::,true,4,evidence_ready_review,27.219,false
evil eye,evil eye,2,cet4,true,n,evil_eye%1:04:00::,true,4,evidence_ready_review,27.219,false
gentle breeze,gentle breeze,2,cet4,true,n,gentle_breeze%1:19:00::,true,4,evidence_ready_review,27.219,false
intensive care,intensive care,2,cet4,true,n,intensive_care%1:04:00::,true,4,evidence_ready_review,27.219,false
outer space,outer space,2,cet4,true,n,outer_space%1:15:00::,true,4,evidence_ready_review,27.219,false
self conscious,self conscious,2,cet4,true,a,self-conscious%5:00:00:conscious:00|self-conscious%5:00:00:uncomfortable:01,true,4,evidence_ready_review,27.219,false
self love,self love,2,cet4,true,n,self-love%1:07:00::|self-love%1:12:00::,true,4,evidence_ready_review,27.219,false
self pity,self pity,2,cet4,true,n,self-pity%1:12:00::,true,4,evidence_ready_review,27.219,false
self respect,self respect,2,cet4,true,n,self-respect%1:07:00::,true,4,evidence_ready_review,27.219,false
stream of consciousness,stream of consciousness,3,cet4,true,n,stream_of_consciousness%1:09:00::|stream_of_consciousness%1:10:00::,true,4,evidence_ready_review,27.219,false
twenty one,twenty one,2,cet4,true,a|n,twenty-one%1:04:00::|twenty-one%1:23:00::|twenty-one%5:00:00:cardinal:00,true,4,evidence_ready_review,27.219,false
catch a glimpse,catch a glimpse,3,cet4,true,v,catch_a_glimpse%2:39:00::,false,2,evidence_ready_review,25.85,false
classical music,classical music,2,cet4,true,n,classical_music%1:10:00::,false,5,evidence_ready_review,25.85,false
cling to,cling to,2,cet4,true,v,cling_to%2:35:00::,false,2,evidence_ready_review,25.85,false
conform to,conform to,2,cet4,true,v,conform_to%2:30:00::|conform_to%2:34:00::|conform_to%2:42:00::,false,2,evidence_ready_review,25.85,false
four hundred,four hundred,2,cet4,true,a,four_hundred%5:00:00:cardinal:00,false,5,evidence_ready_review,25.85,false
hook up,hook up,2,cet4,true,v,hook_up%2:35:00::,false,2,evidence_ready_review,25.85,false
hundred thousand,hundred thousand,2,cet4,true,a|n,hundred_thousand%1:23:00::|hundred_thousand%5:00:00:cardinal:00,false,5,evidence_ready_review,25.85,false
naked eye,naked eye,2,cet4,true,n,naked_eye%1:08:00::,false,5,evidence_ready_review,25.85,false
one percent,one percent,2,cet4,true,n,one_percent%1:23:00::,false,5,evidence_ready_review,25.85,false
one year,one year,2,cet4,true,a,one-year%3:00:04::,false,5,evidence_ready_review,25.85,false
originate in,originate in,2,cet4,true,v,originate_in%2:42:00::,false,2,evidence_ready_review,25.85,false
pop in,pop in,2,cet4,true,v,pop_in%2:38:00::,false,2,evidence_ready_review,25.85,false
second half,second half,2,cet4,true,n,second_half%1:28:00::,false,5,evidence_ready_review,25.85,false
second year,second year,2,cet4,true,a,second-year%5:00:00:intermediate:00,false,5,evidence_ready_review,25.85,false
soak up,soak up,2,cet4,true,v,soak_up%2:31:00::|soak_up%2:35:00::,false,2,evidence_ready_review,25.85,false
stem cell,stem cell,2,cet4,true,n,stem_cell%1:08:00::,false,5,evidence_ready_review,25.85,false
stock up,stock up,2,cet4,true,v,stock_up%2:40:00::,false,2,evidence_ready_review,25.85,false
tourist attraction,tourist attraction,2,cet4,true,n,tourist_attraction%1:09:00::,false,5,evidence_ready_review,25.85,false
and so forth,and so forth,3,cet4,true,r,and_so_forth%4:02:00::,false,3,evidence_ready_review,25.0,false
at first glance,at first glance,3,cet4,true,r,at_first_glance%4:02:00::|at_first_glance%4:02:01::,false,3,evidence_ready_review,25.0,false
first of all,first of all,3,cet4,true,r,first_of_all%4:02:00::,false,3,evidence_ready_review,25.0,false
in earnest,in earnest,2,cet4,true,r,in_earnest%4:02:00::,false,3,evidence_ready_review,25.0,false
in hiding,in hiding,2,cet4,true,r,in_hiding%4:02:00::,false,3,evidence_ready_review,25.0,false
in the beginning,in the beginning,3,cet4,true,r,in_the_beginning%4:02:00::|in_the_beginning%4:02:01::,false,3,evidence_ready_review,25.0,false
one by one,one by one,3,cet4,true,r,one_by_one%4:02:00::|one_by_one%4:02:01::|one_by_one%4:02:02::,false,3,evidence_ready_review,25.0,false
back and forth,back and forth,3,cet4,true,r,back_and_forth%4:02:00::,true,2,evidence_ready_review,24.85,false
first class,first class,2,cet4,true,a|n|r,first-class%5:00:01:superior:02|first_class%1:06:00::|first_class%1:07:00::|first_class%1:10:00::|first_class%4:02:00::,true,2,evidence_ready_review,24.85,false
second class,second class,2,cet4,true,a|n|r,second-class%5:00:00:inferior:02|second_class%1:06:00::|second_class%1:07:00::|second_class%1:26:00::|second_class%4:02:00::,true,2,evidence_ready_review,24.85,false
associate professor,associate professor,2,cet4,true,n,associate_professor%1:18:00::,true,3,evidence_ready_review,24.0,false
atomic number,atomic number,2,cet4,true,n,atomic_number%1:23:00::,true,3,evidence_ready_review,24.0,false
attorney general,attorney general,2,cet4,true,n,attorney_general%1:04:02::|attorney_general%1:18:00::|attorney_general%1:18:01::,true,3,evidence_ready_review,24.0,false
blood vessel,blood vessel,2,cet4,true,n,blood_vessel%1:08:00::,true,3,evidence_ready_review,24.0,false
bump into,bump into,2,cet4,true,v,bump_into%2:35:00::,true,1,evidence_ready_review,24.0,false
elementary school,elementary school,2,cet4,true,n,elementary_school%1:14:00::,true,3,evidence_ready_review,24.0,false
fairy tale,fairy tale,2,cet4,true,n,fairy_tale%1:10:00::|fairy_tale%1:10:01::,true,3,evidence_ready_review,24.0,false
first lady,first lady,2,cet4,true,n,first_lady%1:18:00::|first_lady%1:18:01::,true,3,evidence_ready_review,24.0,false
first name,first name,2,cet4,true,n,first_name%1:10:00::,true,3,evidence_ready_review,24.0,false
forty five,forty five,2,cet4,true,a|n,forty-five%1:06:00::|forty-five%5:00:00:cardinal:00,true,3,evidence_ready_review,24.0,false
genetic code,genetic code,2,cet4,true,n,genetic_code%1:14:00::,true,3,evidence_ready_review,24.0,false
go forth,go forth,2,cet4,true,v,go_forth%2:30:00::|go_forth%2:38:00::,true,1,evidence_ready_review,24.0,false
mass media,mass media,2,cet4,false,,,true,3,moby_corpus_review,24.0,false
mop up,mop up,2,cet4,true,n|v,mop_up%1:04:00::|mop_up%2:30:00::|mop_up%2:33:00::|mop_up%2:35:00::,true,1,evidence_ready_review,24.0,false
mother tongue,mother tongue,2,cet4,true,n,mother_tongue%1:10:00::,true,3,evidence_ready_review,24.0,false
natural selection,natural selection,2,cet4,true,n,natural_selection%1:22:00::,true,3,evidence_ready_review,24.0,false
one piece,one piece,2,cet4,true,a,one-piece%3:00:00::,true,3,evidence_ready_review,24.0,false
peanut butter,peanut butter,2,cet4,true,n,peanut_butter%1:13:00::,true,3,evidence_ready_review,24.0,false
pin down,pin down,2,cet4,true,v,pin_down%2:31:00::|pin_down%2:35:00::|pin_down%2:41:00::,true,1,evidence_ready_review,24.0,false
pitch in,pitch in,2,cet4,true,v,pitch_in%2:34:00::,true,1,evidence_ready_review,24.0,false
pop up,pop up,2,cet4,true,n|v,pop-up%1:04:00::|pop-up%1:06:01::|pop-up%1:10:00::|pop_up%2:39:00::,true,1,evidence_ready_review,24.0,false
rub off,rub off,2,cet4,true,v,rub_off%2:35:00::,true,1,evidence_ready_review,24.0,false
screw up,screw up,2,cet4,true,v,screw_up%2:29:00::|screw_up%2:30:00::|screw_up%2:35:00::|screw_up%2:41:00::,true,1,evidence_ready_review,24.0,false
self evident,self evident,2,cet4,true,a,self-evident%5:00:00:obvious:00,true,3,evidence_ready_review,24.0,false
spin off,spin off,2,cet4,true,n|v,spin-off%1:06:00::|spin_off%2:30:00::,true,1,evidence_ready_review,24.0,false
stock exchange,stock exchange,2,cet4,true,n,stock_exchange%1:06:00::,true,3,evidence_ready_review,24.0,false
sugar cane,sugar cane,2,cet4,true,n,sugar_cane%1:20:00::|sugar_cane%1:20:02::,true,3,evidence_ready_review,24.0,false
thirty two,thirty two,2,cet4,true,a,thirty-two%5:00:00:cardinal:00,true,3,evidence_ready_review,24.0,false
two time,two time,2,cet4,true,v,two-time%2:41:00::,true,1,evidence_ready_review,24.0,false
two way,two way,2,cet4,true,a,two-way%5:00:00:bidirectional:00|two-way%5:00:00:multilateral:00|two-way%5:00:00:nonpartisan:00,true,3,evidence_ready_review,24.0,false
accustomed to,accustomed to,2,cet4,true,a,accustomed_to%3:00:00::,false,4,evidence_ready_review,23.219,false
anxiety disorder,anxiety disorder,2,cet4,true,n,anxiety_disorder%1:26:00::,false,4,evidence_ready_review,23.219,false
body mass index,body mass index,3,cet4,true,n,body_mass_index%1:10:00::,false,4,evidence_ready_review,23.219,false
code of conduct,code of conduct,3,cet4,true,n,code_of_conduct%1:09:00::,false,4,evidence_ready_review,23.219,false
comparable to,comparable to,2,cet4,true,a,comparable_to%5:00:00:comparable:00,false,4,evidence_ready_review,23.219,false
death penalty,death penalty,2,cet4,true,n,death_penalty%1:04:00::,false,4,evidence_ready_review,23.219,false
dependent on,dependent on,2,cet4,true,a,dependent_on%5:00:00:conditional:00,false,4,evidence_ready_review,23.219,false
fashion designer,fashion designer,2,cet4,true,n,fashion_designer%1:18:00::,false,4,evidence_ready_review,23.219,false
first half,first half,2,cet4,true,n,first_half%1:28:00::,false,4,evidence_ready_review,23.219,false
language learning,language learning,2,cet4,true,n,language_learning%1:09:00::,false,4,evidence_ready_review,23.219,false
last resort,last resort,2,cet4,true,n,last_resort%1:04:00::,false,4,evidence_ready_review,23.219,false
ninety five,ninety five,2,cet4,true,a,ninety-five%5:00:00:cardinal:00,false,4,evidence_ready_review,23.219,false
oral sex,oral sex,2,cet4,true,n,oral_sex%1:04:00::,false,4,evidence_ready_review,23.219,false
population growth,population growth,2,cet4,true,n,population_growth%1:22:00::,false,4,evidence_ready_review,23.219,false
self awareness,self awareness,2,cet4,true,n,self-awareness%1:09:00::,false,4,evidence_ready_review,23.219,false
self discovery,self discovery,2,cet4,true,n,self-discovery%1:04:00::,false,4,evidence_ready_review,23.219,false
spare tire,spare tire,2,cet4,true,n,spare_tire%1:08:00::,false,4,evidence_ready_review,23.219,false
two dozen,two dozen,2,cet4,true,n,two_dozen%1:23:00::,false,4,evidence_ready_review,23.219,false
on the one hand,on the one hand,4,cet4,true,r,on_the_one_hand%4:02:00::,false,3,evidence_ready_review,23.0,false
a trifle,a trifle,2,cet4,true,r,a_trifle%4:02:00::,false,2,evidence_ready_review,20.85,false
in darkness,in darkness,2,cet4,true,r,in_darkness%4:02:00::,false,2,evidence_ready_review,20.85,false
bail out,bail out,2,cet4,true,v,bail_out%2:30:00::|bail_out%2:41:00::,false,1,evidence_ready_review,20.0,false
biological process,biological process,2,cet4,true,n,biological_process%1:22:00::,false,3,evidence_ready_review,20.0,false
chief executive,chief executive,2,cet4,true,n,chief_executive%1:18:01::,false,3,evidence_ready_review,20.0,false
clinical trial,clinical trial,2,cet4,true,n,clinical_trial%1:04:00::,false,3,evidence_ready_review,20.0,false
crystal clear,crystal clear,2,cet4,true,a,crystal_clear%5:00:00:clear:00|crystal_clear%5:00:00:clear:02,false,3,evidence_ready_review,20.0,false
death toll,death toll,2,cet4,true,n,death_toll%1:07:00::,false,3,evidence_ready_review,20.0,false
defense system,defense system,2,cet4,true,n,defense_system%1:06:00::,false,3,evidence_ready_review,20.0,false
dispose of,dispose of,2,cet4,true,v,dispose_of%2:41:00::,false,1,evidence_ready_review,20.0,false
drug trafficking,drug trafficking,2,cet4,true,n,drug_trafficking%1:04:00::,false,3,evidence_ready_review,20.0,false
excel at,excel at,2,cet4,true,v,excel_at%2:42:00::,false,1,evidence_ready_review,20.0,false
first year,first year,2,cet4,true,a,first-year%5:00:00:first:00,false,3,evidence_ready_review,20.0,false
fossil fuel,fossil fuel,2,cet4,true,n,fossil_fuel%1:27:00::,false,3,evidence_ready_review,20.0,false
fuck up,fuck up,2,cet4,true,v,fuck_up%2:41:00::,false,1,evidence_ready_review,20.0,false
gang up,gang up,2,cet4,true,v,gang_up%2:33:00::,false,1,evidence_ready_review,20.0,false
garment industry,garment industry,2,cet4,true,n,garment_industry%1:14:00::,false,3,evidence_ready_review,20.0,false
give a damn,give a damn,3,cet4,true,v,give_a_damn%2:37:00::,false,1,evidence_ready_review,20.0,false
growth rate,growth rate,2,cet4,true,n,growth_rate%1:28:00::,false,3,evidence_ready_review,20.0,false
haul away,haul away,2,cet4,true,v,haul_away%2:35:00::,false,1,evidence_ready_review,20.0,false
hedge in,hedge in,2,cet4,true,v,hedge_in%2:35:01::,false,1,evidence_ready_review,20.0,false
high altitude,high altitude,2,cet4,true,a,high-altitude%5:00:00:high:01,false,3,evidence_ready_review,20.0,false
hook up with,hook up with,3,cet4,true,v,hook_up_with%2:41:00::,false,1,evidence_ready_review,20.0,false
light fixture,light fixture,2,cet4,true,n,light_fixture%1:06:01::,false,3,evidence_ready_review,20.0,false
lodge in,lodge in,2,cet4,true,v,lodge_in%2:42:00::,false,1,evidence_ready_review,20.0,false
ninety eight,ninety eight,2,cet4,true,a,ninety-eight%5:00:00:cardinal:00,false,3,evidence_ready_review,20.0,false
no nonsense,no nonsense,2,cet4,true,a,no-nonsense%5:00:00:direct:02,false,3,evidence_ready_review,20.0,false
one fifth,one fifth,2,cet4,true,n,one-fifth%1:23:00::,false,3,evidence_ready_review,20.0,false
organ transplant,organ transplant,2,cet4,true,n,organ_transplant%1:04:00::,false,3,evidence_ready_review,20.0,false
pepper spray,pepper spray,2,cet4,true,n,pepper_spray%1:06:00::,false,3,evidence_ready_review,20.0,false
persist in,persist in,2,cet4,true,v,persist_in%2:42:00::,false,1,evidence_ready_review,20.0,false
pop out,pop out,2,cet4,true,v,pop_out%2:30:00::|pop_out%2:38:00::|pop_out%2:38:01::|pop_out%2:39:02::,false,1,evidence_ready_review,20.0,false
pour forth,pour forth,2,cet4,true,v,pour_forth%2:35:00::,false,1,evidence_ready_review,20.0,false
rail in,rail in,2,cet4,true,v,rail_in%2:42:00::,false,1,evidence_ready_review,20.0,false
retirement community,retirement community,2,cet4,true,n,retirement_community%1:15:00::,false,3,evidence_ready_review,20.0,false
second language,second language,2,cet4,true,n,second_language%1:10:00::,false,3,evidence_ready_review,20.0,false
self serving,self serving,2,cet4,true,a,self-serving%3:00:01::,false,3,evidence_ready_review,20.0,false
shed light on,shed light on,3,cet4,true,v,shed_light_on%2:31:00::,false,1,evidence_ready_review,20.0,false
squeeze by,squeeze by,2,cet4,true,v,squeeze_by%2:41:00::,false,1,evidence_ready_review,20.0,false
straw hat,straw hat,2,cet4,true,n,straw_hat%1:06:00::,false,3,evidence_ready_review,20.0,false
suck up,suck up,2,cet4,true,v,suck_up%2:32:00::|suck_up%2:35:00::|suck_up%2:37:09::,false,1,evidence_ready_review,20.0,false
sympathize with,sympathize with,2,cet4,true,v,sympathize_with%2:37:00::,false,1,evidence_ready_review,20.0,false
tag along,tag along,2,cet4,true,v,tag_along%2:38:00::,false,1,evidence_ready_review,20.0,false
ten percent,ten percent,2,cet4,true,n,ten_percent%1:23:00::,false,3,evidence_ready_review,20.0,false
theory of relativity,theory of relativity,3,cet4,true,n,theory_of_relativity%1:09:00::,false,3,evidence_ready_review,20.0,false
three year old,three year old,3,cet4,true,a|n,three-year-old%5:00:00:young:00|three_year_old%1:05:00::,false,3,evidence_ready_review,20.0,false
two way street,two way street,3,cet4,true,n,two-way_street%1:06:00::,false,3,evidence_ready_review,20.0,false
user friendly,user friendly,2,cet4,true,a,user-friendly%5:00:00:easy:01,false,3,evidence_ready_review,20.0,false
washing up,washing up,2,cet4,true,n,washing-up%1:04:00::,false,3,evidence_ready_review,20.0,false
wipe out,wipe out,2,cet4,true,v,wipe_out%2:30:00::|wipe_out%2:30:02::|wipe_out%2:30:03::|wipe_out%2:30:04::|wipe_out%2:34:00::|wipe_out%2:36:00::,false,1,evidence_ready_review,20.0,false
absolute zero,absolute zero,2,cet4,true,n,absolute_zero%1:07:00::,true,2,evidence_ready_review,19.85,false
aircraft carrier,aircraft carrier,2,cet4,true,n,aircraft_carrier%1:06:00::,true,2,evidence_ready_review,19.85,false
amusement park,amusement park,2,cet4,true,n,amusement_park%1:15:00::,true,2,evidence_ready_review,19.85,false
assembly line,assembly line,2,cet4,true,n,assembly_line%1:06:00::,true,2,evidence_ready_review,19.85,false
blue crab,blue crab,2,cet4,true,n,blue_crab%1:05:00::|blue_crab%1:13:00::,true,2,evidence_ready_review,19.85,false
continental breakfast,continental breakfast,2,cet4,true,n,continental_breakfast%1:13:00::,true,2,evidence_ready_review,19.85,false
crown prince,crown prince,2,cet4,true,n,crown_prince%1:18:00::,true,2,evidence_ready_review,19.85,false
forty four,forty four,2,cet4,true,a,forty-four%5:00:00:cardinal:00,true,2,evidence_ready_review,19.85,false
gas mask,gas mask,2,cet4,false,,,true,2,moby_corpus_review,19.85,false
gold mining,gold mining,2,cet4,false,,,true,2,moby_corpus_review,19.85,false
irrational number,irrational number,2,cet4,true,n,irrational_number%1:23:00::,true,2,evidence_ready_review,19.85,false
life expectancy,life expectancy,2,cet4,true,n,life_expectancy%1:28:00::,true,2,evidence_ready_review,19.85,false
light bulb,light bulb,2,cet4,true,n,light_bulb%1:06:00::,true,2,evidence_ready_review,19.85,false
lightning rod,lightning rod,2,cet4,true,n,lightning_rod%1:06:00::|lightning_rod%1:18:00::,true,2,evidence_ready_review,19.85,false
palm oil,palm oil,2,cet4,true,n,palm_oil%1:13:00::,true,2,evidence_ready_review,19.85,false
prime number,prime number,2,cet4,true,n,prime_number%1:23:00::,true,2,evidence_ready_review,19.85,false
prisoner of war,prisoner of war,3,cet4,true,n,prisoner_of_war%1:18:00::,true,2,evidence_ready_review,19.85,false
prose poem,prose poem,2,cet4,true,n,prose_poem%1:10:00::,true,2,evidence_ready_review,19.85,false
rat race,rat race,2,cet4,true,n,rat_race%1:04:00::,true,2,evidence_ready_review,19.85,false
rear view mirror,rear view mirror,3,cet4,false,,,true,2,moby_corpus_review,19.85,false
self confidence,self confidence,2,cet4,true,n,self-confidence%1:09:00::,true,2,evidence_ready_review,19.85,false
self control,self control,2,cet4,true,n,self-control%1:04:00::|self-control%1:07:00::,true,2,evidence_ready_review,19.85,false
self discipline,self discipline,2,cet4,true,n,self-discipline%1:04:00::|self-discipline%1:07:00::,true,2,evidence_ready_review,19.85,false
self sufficient,self sufficient,2,cet4,true,a,self-sufficient%5:00:00:independent:00,true,2,evidence_ready_review,19.85,false
shot put,shot put,2,cet4,true,n,shot_put%1:11:00::,true,2,evidence_ready_review,19.85,false
stage fright,stage fright,2,cet4,true,n,stage_fright%1:12:00::,true,2,evidence_ready_review,19.85,false
stock market,stock market,2,cet4,true,n,stock_market%1:06:00::,true,2,evidence_ready_review,19.85,false
third person,third person,2,cet4,true,n,third_person%1:10:00::,true,2,evidence_ready_review,19.85,false
twenty two,twenty two,2,cet4,true,a|n,twenty-two%1:06:00::|twenty-two%1:23:00::|twenty-two%5:00:00:cardinal:00,true,2,evidence_ready_review,19.85,false
two dimensional,two dimensional,2,cet4,true,a,two-dimensional%3:00:02::|two-dimensional%5:00:00:multidimensional:00,true,2,evidence_ready_review,19.85,false
urban renewal,urban renewal,2,cet4,true,n,urban_renewal%1:04:00::,true,2,evidence_ready_review,19.85,false
water mill,water mill,2,cet4,true,n,water_mill%1:06:00::,true,2,evidence_ready_review,19.85,false
chop chop,chop chop,2,cet4,true,r,chop-chop%4:02:00::,true,1,evidence_ready_review,19.0,false
first rate,first rate,2,cet4,true,a|r,first-rate%4:02:00::|first-rate%5:00:00:superior:02,true,1,evidence_ready_review,19.0,false
north northeast,north northeast,2,cet4,true,n|r,north-northeast%4:02:00::|north_northeast%1:24:00::,true,1,evidence_ready_review,19.0,false
second hand,second hand,2,cet4,true,n|r,second_hand%1:06:00::|second_hand%1:18:00::|second_hand%4:02:00::,true,1,evidence_ready_review,19.0,false
speak of the devil,speak of the devil,4,cet4,true,v,speak_of_the_devil%2:32:00::,false,1,evidence_ready_review,18.0,false
ash tree,ash tree,2,cet4,true,n,ash_tree%1:20:00::,false,2,evidence_ready_review,15.85,false
