word,selection_route,relevance_score,part_of_speech,theme_candidates,selection_reason
furnished,lexical_edge_semantic_review,,a,一般阅读,住房和生活场景中的常用形容词
wayside,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
seagull,lexical_edge_semantic_review,,n,一般阅读,自然和海洋主题中的常见动物名词
disobey,original_medium_frequency,5,v,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
porridge,original_medium_frequency,5,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
thunderstorm,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
battleground,lexical_edge_semantic_review,,n,一般阅读,社会、历史和新闻阅读中的常见复合名词
comma,original_medium_frequency,5,n,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
tasteless,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
merciful,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
attentively,original_medium_frequency,5,r,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
beehive,original_medium_frequency,5,n,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
snowball,original_medium_frequency,5,n|v,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
prairie,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
memorize,original_medium_frequency,5,v,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bookshop,lexical_edge_semantic_review,,n,一般阅读,学习和社区生活中的常见英式复合词
roundabout,original_medium_frequency,5,a|n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
microcomputer,lexical_edge_semantic_review,,n,一般阅读,科技史和计算机主题中仍需识别
leftover,original_medium_frequency,5,a|n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
quake,original_medium_frequency,5,n|v,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
freeway,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
popcorn,original_medium_frequency,5,n,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
flashlight,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
dustbin,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
aeroplane,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
aluminium,original_medium_frequency,5,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
labourer,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bookstore,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bathtub,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
mailbox,original_medium_frequency,5,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
cosy,original_medium_frequency,5,a|n|s,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
sceptical,original_medium_frequency,5,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
organiser,lexical_edge_semantic_review,,n,一般阅读,活动和组织主题中的常用英式拼写
skyscraper,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
violinist,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
undivided,original_medium_frequency,4,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
botany,original_medium_frequency,4,n,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
veal,original_medium_frequency,4,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
boating,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
locust,original_medium_frequency,4,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
playmate,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bookshelf,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
mutton,original_medium_frequency,4,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
ouch,lexical_edge_semantic_review,,,一般阅读,对话和身体感受表达中的常用感叹词
motorbike,original_medium_frequency,4,n|v,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
hibernation,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
omelette,original_medium_frequency,4,n,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
reuse,original_medium_frequency,4,v,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
drier,original_medium_frequency,4,n,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
typist,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
airspace,original_medium_frequency,4,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
westerner,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
forgetful,original_medium_frequency,4,a,一般阅读,结合高中阅读主题、词族冗余和英美变体决定是否纳入
snowman,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
thermos,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
irrigate,original_medium_frequency,4,v,人与自我|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
zipper,original_medium_frequency,4,n|v,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
minibus,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bathrobe,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
schoolmate,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
semicircle,original_medium_frequency,4,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
retell,original_medium_frequency,4,v,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
rooster,original_medium_frequency,4,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
brunch,original_medium_frequency,4,n|v,人与自我,结合高中阅读主题、词族冗余和英美变体决定是否纳入
woollen,original_medium_frequency,4,a|n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
mommy,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
organise,original_medium_frequency,4,v,人与自我|人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
humour,original_medium_frequency,4,n|v,人与自我|人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
acre,original_medium_frequency,4,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
traveler,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
pint,original_medium_frequency,4,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
jewelry,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
penny,original_medium_frequency,4,n,人与社会|人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
tyre,original_medium_frequency,4,n,人与社会,结合高中阅读主题、词族冗余和英美变体决定是否纳入
bacterium,original_medium_frequency,4,n,人与自然,结合高中阅读主题、词族冗余和英美变体决定是否纳入
dictation,promoted_from_low_frequency_semantic_review,3,n,人与社会,学校学习和语言教学场景中有明确价值
subtraction,promoted_from_low_frequency_semantic_review,3,n,人与自然,数学学科阅读中的基础术语
hibernate,promoted_from_low_frequency_semantic_review,3,v,人与自然,动物、生物与科技休眠语境均有价值
punctual,promoted_from_low_frequency_semantic_review,3,a,人与自我,时间管理和人物品质主题中的常用形容词
ballpoint,promoted_from_low_frequency_semantic_review,3,n,人与社会,学习用品和日常物品主题中有实用价值
motherland,promoted_from_low_frequency_semantic_review,3,n,人与社会,国家、文化与身份主题阅读中有价值
rewind,promoted_from_low_frequency_semantic_review,3,v,人与社会,媒体操作及比喻性表达中仍有识别价值
bookmark,promoted_from_low_frequency_semantic_review,3,n,人与社会,纸质阅读和数字阅读场景均常用
backache,promoted_from_low_frequency_semantic_review,3,n,人与自我,健康与身体主题中的常用症状词
stopwatch,promoted_from_low_frequency_semantic_review,3,n,人与社会,体育计时和实验测量场景中实用
sharpener,lexical_edge_semantic_review,,n,一般阅读,学校用品主题中的常用派生名词
workmate,lexical_edge_semantic_review,,n,一般阅读,工作和人际关系主题中的常见英式名词
workday,promoted_from_low_frequency_semantic_review,3,n,人与社会,工作制度和日常生活阅读中的常用复合词
seashell,promoted_from_low_frequency_semantic_review,3,n,人与自然,海洋、生物和自然观察主题中有明确价值
skillful,promoted_from_low_frequency_semantic_review,3,a,人与自我,能力和表现描述中常用，需与英式拼写 skilful 对照
northwards,promoted_from_low_frequency_semantic_review,3,r,人与自然,方向和地理阅读中实用，后续与 northward 建立词形关系
litre,promoted_from_low_frequency_semantic_review,3,n,人与自然,公制容量单位及英式拼写，说明文中实用
gallon,promoted_from_low_frequency_semantic_review,3,n,人与自然,英美计量单位，说明文和生活阅读中需要识别
sunglasses,promoted_from_low_frequency_semantic_review,3,n,人与自我,虽为固定复数形式，但属于常见生活和健康词
yourselves,lexical_edge_semantic_review,,,一般阅读,语法和一般阅读中的固定反身代词形式
softball,promoted_from_low_frequency_semantic_review,3,n,人与社会,体育和跨文化阅读中的常见运动名词
firework,promoted_from_low_frequency_semantic_review,3,n,人与社会,节庆、文化和安全主题中常见
addicted,promoted_from_low_frequency_semantic_review,2,a,人与自我,健康、习惯与社会问题阅读中有明确价值
eggplant,promoted_from_low_frequency_semantic_review,2,n,人与自然,食物、植物及美式英语阅读中常见
ox,promoted_from_low_frequency_semantic_review,2,n,人与自然,动物、农业和文化阅读中的基础名词
westwards,lexical_edge_semantic_review,,r,一般阅读,方向和地理阅读中的有效英式词形
eastwards,promoted_from_low_frequency_semantic_review,2,r,人与自然,方向和地理阅读中实用，后续与 eastward 建立词形关系
secondhand,promoted_from_low_frequency_semantic_review,2,a|r,人与社会,消费、环保和信息来源语境均常用
barbershop,promoted_from_low_frequency_semantic_review,2,n,人与社会,社区生活和服务场景中有明确价值
windbreaker,promoted_from_low_frequency_semantic_review,2,n,人与社会,服饰和天气场景中具有实际阅读价值
hardworking,promoted_from_low_frequency_semantic_review,2,a,人与自我,人物品质描述中常见，OEWN确认当前拼写为独立词头
bodybuilding,lexical_edge_semantic_review,,n,一般阅读,体育、健康和生活方式主题中的独立名词
postcode,promoted_from_low_frequency_semantic_review,1,n,人与社会,地址、邮政和英式生活场景中实用
oilfield,promoted_from_low_frequency_semantic_review,1,n,人与自然,能源、资源和环境主题中的常见复合词
centigrade,promoted_from_low_frequency_semantic_review,1,a,人与自然,温度和科学阅读中仍需识别，后续应与 Celsius 建立变体关系
sneaker,promoted_from_low_frequency_semantic_review,1,n,人与社会,服饰、运动和美式英语生活场景中常见
chips,lexical_edge_semantic_review,,n,一般阅读,食物义为固定复数形式，不能简单还原为单数义
customs,promoted_from_low_frequency_semantic_review,0,n,人与社会,作为海关和关税的独立集合名词，不按 custom 的普通复数处理
latest,promoted_from_low_frequency_semantic_review,0,a|n,一般阅读,除规则最高级外还有“最新消息/最新的”词汇化用法
